1,PERA - Public Employees' Retirement Association of Colorado,Retirement PlansDefined Benefit Pension Plan,Self,"$50,001 - $100,000","Excepted Investment Fund,",None (or less than $201)
2,"Truist - f/k/a Suntrust(Richmond, VA)Type: Certificate of Deposit,",Bank Deposit,Spouse,"$1,001 - $15,000","None,",None (or less than $201)
3,CollegeInvest FundInstitution: CollegeInvest,Education Savings Plans529 College Savings Plan,Spouse,,,
3.1,Moderate Age-Based Option: Income Portfolio,Mutual FundsMutual Fund,Spouse,"$100,001 - $250,000","Excepted Investment Fund,",None (or less than $201)
3.2,Conservative Age-Based Option: Interest Accumulation Portfolio,Mutual FundsMutual Fund,Spouse,"$100,001 - $250,000","Excepted Investment Fund,",None (or less than $201)
4,CollegeInvest FundInstitution: CollegeInvest,Education Savings Plans529 College Savings Plan,Child,,,
4.1,Moderate Age-Based option: Income Portfolio,Mutual FundsMutual Fund,Child,"$50,001 - $100,000","Excepted Investment Fund,",None (or less than $201)
4.2,Conservative Age-Based option: Interest Accumulation Portfolio,Mutual FundsMutual Fund,Child,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
5,"Daggett Farms Limited PartnershipDescription: 1500 acre family farm (Marianna, AR) Filer comment:  9.42% limited partnership",Farm,Spouse,"$15,001 - $50,000","Rent/Royalties, Interest,","$5,001 - $15,000"
6,"LMD Farms Limited PartnershipDescription: 1500 acre family farm (Marianna, AR) Filer comment:  8.97% limited partnership",Farm,Spouse,"$15,001 - $50,000","Rent/Royalties, Interest,","$15,001 - $50,000"
7,The Michael F. Bennet Trust,TrustGeneral Trust,Self,,,
7.1,"Charles Schwab Bank(Denver, CO)Type: Money Market Account,",Bank Deposit,Self,"$15,001 - $50,000","Interest,","$201 - $1,000"
7.2,SPY - SPDR S&P 500 ETF,Mutual FundsExchange Traded Fund/Note,Self,"$1,000,001 - $5,000,000","Excepted Investment Fund,","$15,001 - $50,000"
7.3,EAERX - Eaton Vance Stock A,Mutual FundsMutual Fund,Self,"$1,000,001 - $5,000,000","Excepted Investment Fund,","$100,001 - $1,000,000"
7.4,"Canyon Balanced Fund LPDescription: Hedge fund (Los Angeles, CA)",Investment FundHedge Fund,Self,"$1,000,001 - $5,000,000","Excepted Investment Fund,","$50,001 - $100,000"
7.5,"Belmar HH Owner LLCDescription: Hotel (Lakewood, CO)",Real EstateCommercial,Self,"$15,001 - $50,000","Other, (Ordinary Business Income)","$15,001 - $50,000Other $15,001.00"
7.6,"CP Block A Member, LLCDescription: Mixed use development (Denver, CO)",Real EstateCommercial,Self,"$15,001 - $50,000","None,",None (or less than $201)
7.7,"LUMN - Lumen Technologies, Inc.",Corporate SecuritiesStock,Self,"$15,001 - $50,000","None,",None (or less than $201)
7.8,"Continuum Real Estate Investors 2016, LLCCompany: Continuum Real Estate Investors 2016, LLC (Denver, CO) Description: Commercial Real Estate",Business EntityLimited Liability Company (LLC),Self,,,
7.8.1,"Continuum Market Station, LLCDescription: Continuum Market Station, LLC (Denver, CO)",Real EstateCommercial,Self,"$100,001 - $250,000","None,",None (or less than $201)
7.8.2,"Continuum 640 Santa Fe, LLCDescription: Continuum 640 Santa Fe, LLC (Los Angeles, CA)",Real EstateCommercial,Self,"$100,001 - $250,000","None,",None (or less than $201)
7.8.3,"CP 90Co Member, LLCDescription: CP 90Co Member, LLC (Denver, CO)",Real EstateCommercial,Self,"$100,001 - $250,000","None,",None (or less than $201)
7.9,"Madeira Capital Investments LimitedCompany: Madeira Capital Investments Limited (Ebene, Muritius (India)) Description: Private Equity - Retail",Business EntityLimited Partnership (LP),Self,,,
7.9.1,"MoreDescription: Grocery Chain (Ebene, Muritius (India))",Other Securities,Self,"$250,001 - $500,000","None,",None (or less than $201)
