1,"Payflex Systems USA INC(Omaha, NE)Type: Savings,",Bank Deposit,Self,"$15,001 - $50,000","None,",None (or less than $201)
2,"Strategic Sales Tactics Inc.Company: Strategic Sales Tactics Inc (Brentwood, TN) Description: Marketing Consulting",Corporate SecuritiesNon-Public Stock,Spouse,"$1,001 - $15,000","None,",None (or less than $201)
3,Principal Investment Plus Variable AnnuityProvider: Principal Financial Group,AnnuityVariable Annuity,Spouse,,,
3.1,Principal Diversified Income Division,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000","None,",None (or less than $201)
4,Principal Investment Plus Variable AnnuityProvider: Principal Financial Group,AnnuityVariable Annuity,Self,,,
4.1,Principal Diversified Growth Division,Mutual FundsMutual Fund,Self,"$100,001 - $250,000","None,",None (or less than $201)
5,American Funds Brokerage Account,Brokerage/Managed Account,Self,,,
5.1,ABALX - American Funds American Balanced Fund Class A,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Dividends, Capital Gains,","$1,001 - $2,500"
5.2,"AIVSX - American Funds Investment Company of America ClassFiler comment:  Capital gains and dividend reinvestment increased value above $15,000",Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Dividends, Capital Gains,","$1,001 - $2,500"
5.3,ANWPX - American Funds New Perspective Fund Class A,Mutual FundsMutual Fund,Self,"$100,001 - $250,000","Dividends, Capital Gains,","$5,001 - $15,000"
6,MetLife IRA,Brokerage/Managed Account,Spouse,,,
6.1,AB Global Dynamic Allocation Portfolio,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","None,",None (or less than $201)
6.2,Invesco Balanced Risk Allocation Portfolio,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","None,",None (or less than $201)
6.3,Blackrock Global Tactical Strategies Portfolio,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","None,",None (or less than $201)
6.4,JP Morgan Global Active Allocation Portfolio,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","None,",None (or less than $201)
6.5,BHLife Balanced Plus Portfolio,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","None,",None (or less than $201)
6.6,Schroeders Global Multi-Asset Portfolio,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","None,",None (or less than $201)
7,State of Tennessee Pension,Retirement PlansDefined Benefit Pension Plan,Self,Unascertainable,"Other, (Annual Pension Payment)","Other $5,138.46"
8,"Pinnacle Bank(Nashville, TN)Type: Checking,",Bank Deposit,Self,"$100,001 - $250,000","None,",None (or less than $201)
9,"First Horizon(Memphis, TN)Type: Checking,",Bank Deposit,Spouse,"$1,001 - $15,000","Interest,",None (or less than $201)
10,529 Account - grandchild 1Institution: Capital Group College America,Education Savings Plans529 College Savings Plan,Self,,,
10.1,CLBAX - American Balanced Fund Class 529-A Shares,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","None,",None (or less than $201)
10.2,CICAX - The Investment Company of America Class 529-A S,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","None,",None (or less than $201)
11,529 Account - grandchild 3Institution: Capital Group College America,Education Savings Plans529 College Savings Plan,Self,,,
11.1,CCFAX - American Funds College Fund 2036 Class 529-A,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","None,",None (or less than $201)
12,"M Financial Group(Portland, OR)Type: Money Market Account,",Bank Deposit,Self,"$100,001 - $250,000","Interest,","$5,001 - $15,000"
13,Jackson National Life Insurance Perspective II Variable and Fixed Annuity,Life InsuranceVariable,Self,,,
13.1,JNL/American Funds Growth A,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","None,",None (or less than $201)
13.2,JNL/Mellon Nasdaq 100 Index A,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","None,",None (or less than $201)
13.3,JNL/Newton Equity Income A,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","None,",None (or less than $201)
13.4,JNL/Mellon Dow Index A,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","None,",None (or less than $201)
13.5,JNL/JPMorgan MidCap Growth A,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","None,",None (or less than $201)
13.6,JNL/T. Rowe Price Established Growth A,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","None,",None (or less than $201)
13.7,JNL/Mellon Information Technology Sector A,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","None,",None (or less than $201)
13.8,JNL/Mellon Healthcare Sector A,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","None,",None (or less than $201)
13.9,JNL/T.Rowe Price Capital Appreciation A,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","None,",None (or less than $201)
14,529 Account - grandchild 2Institution: Capital Group College America,Education Savings Plans529 College Savings Plan,Self,,,
14.1,CLBAX - American Balanced Fund Class 529-A Shares,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","None,",None (or less than $201)
14.2,CICAX - The Investment Company of America Class 529-A S,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","None,",None (or less than $201)
15,529 Account - grandchild 4Institution: Capital Group College America,Education Savings Plans529 College Savings Plan,Self,,,
15.1,"CDJAX - American Funds College 2039 Fund Class 529-AFiler comment:  mulitple purchases below $1,000",Mutual FundsMutual Fund,Self,"$1,001 - $15,000","None,",None (or less than $201)
