1,"Bank of America(Charlotte, NC)Type: Checking,",Bank Deposit,Self,"$15,001 - $50,000","None,",None (or less than $201)
2,New Jersey Public Employee Retirement System Pension,Retirement PlansDefined Benefit Pension Plan,Self,"$50,001 - $100,000","Excepted Investment Fund,",None (or less than $201)
3,"Bank of America(Charlotte, NC)Type: Savings,",Bank Deposit,Self,"$15,001 - $50,000","None,",None (or less than $201)
4,Fidelity Brokerage Account,Brokerage/Managed Account,Self,,,
4.1,FNCMX - Fidelity Nasdaq Composite Index,Mutual FundsMutual Fund,Self,"$50,001 - $100,000","Excepted Investment Fund,",None (or less than $201)
4.2,FOCPX - Fidelity OTC Pt,Mutual FundsMutual Fund,Self,"$50,001 - $100,000","Excepted Investment Fund,",None (or less than $201)
4.3,FBGRX - Fidelity Blue Chip Growth Fund,Mutual FundsMutual Fund,Self,"$50,001 - $100,000","Excepted Investment Fund,",None (or less than $201)
4.4,FLCEX - Fidelity Large Cap Core Enhanced Index Fund,Mutual FundsMutual Fund,Self,"None (or less than $1,001)","Excepted Investment Fund,","$5,001 - $15,000"
4.5,"QQQ - Invesco QQQ Trust, Series 1",Mutual FundsExchange Traded Fund/Note,Self,"$50,001 - $100,000","Excepted Investment Fund,","$201 - $1,000"
4.6,FSPTX - Fidelity Select Technology,Mutual FundsMutual Fund,Self,"$50,001 - $100,000","Excepted Investment Fund,",None (or less than $201)
4.7,FMILX - Fidelity New Millennium Fund,Mutual FundsMutual Fund,Self,"$50,001 - $100,000","Excepted Investment Fund,","$1,001 - $2,500"
4.8,FXAIX - Fidelity 500 Index FundFiler comment:  Purchased and sold in 2023,Mutual FundsMutual Fund,Self,"None (or less than $1,001)","Excepted Investment Fund,","$5,001 - $15,000"
4.9,FDIVX - Fidelity Diversified International FundFiler comment:  Purchased and sold in 2023,Mutual FundsMutual Fund,Self,"None (or less than $1,001)","Excepted Investment Fund,","$2,501 - $5,000"
5,Fidelity Traditional IRA,Retirement PlansIRA,Self,,,
5.1,FNCMX - Fidelity Nasdaq Composite Index,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
5.2,FOCPX - Fidelity OTC Pt,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
5.3,FBGRX - Fidelity Blue Chip Growth Fund,Mutual FundsMutual Fund,Self,"$50,001 - $100,000","Excepted Investment Fund,",None (or less than $201)
5.4,BPTIX - Baron Partners Fund Inst Shs,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
5.5,AKRIX - Akre Focus - Institutional,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
5.6,IVW - iShares S&P 500 Growth ETF,Mutual FundsExchange Traded Fund/Note,Self,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
5.7,FELC - Fidelity Enhanced Large Cap Core ETF,Mutual FundsExchange Traded Fund/Note,Self,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
