1,"Arvest(Bentonville, Arkansas)Type: Checking,",Bank Deposit,Joint,"$50,001 - $100,000","Interest,",None (or less than $201)
2,"Fed Credit Union(Washington, DC)Type: Checking, Savings,",Bank Deposit,Joint,"$1,001 - $15,000","Interest,",None (or less than $201)
3,"Senate Credit Union(Washington, DC)Type: Checking,",Bank Deposit,Self,"$1,001 - $15,000","Interest,",None (or less than $201)
4,Merrill Lynch Account,Brokerage/Managed Account,Joint,,,
4.1,MADCX - Blackrock  Emerging Markets Fund Class I,Mutual FundsExchange Traded Fund/Note,Joint,"$1,001 - $15,000","None,",None (or less than $201)
4.2,MAHQX - Blackrock Total Return Fund Class I,Mutual FundsExchange Traded Fund/Note,Joint,"$1,001 - $15,000","None,",None (or less than $201)
4.3,EFV - iShares MSCI EAFE Value ETF,Mutual FundsExchange Traded Fund/Note,Joint,"$1,001 - $15,000","None,",None (or less than $201)
4.4,EFG - iShares MSCI EAFE Growth ETF,Mutual FundsExchange Traded Fund/Note,Joint,"$1,001 - $15,000","None,",None (or less than $201)
4.5,LQD - iShares iBoxx $ Investment Grade Corporate Bond ET,Mutual FundsExchange Traded Fund/Note,Joint,"$1,001 - $15,000","None,",None (or less than $201)
4.6,TLT - iShares 20+ Year Treasury Bond ETF,Mutual FundsExchange Traded Fund/Note,Joint,"$1,001 - $15,000","None,",None (or less than $201)
4.7,TIP - iShares TIPS Bond ETF,Mutual FundsExchange Traded Fund/Note,Joint,"$1,001 - $15,000","None,",None (or less than $201)
4.8,MBB - iShares MBS ETF,Mutual FundsExchange Traded Fund/Note,Joint,"$1,001 - $15,000","None,",None (or less than $201)
4.9,TFLO - iShares Treasury Floating Rate Bond ETF,Mutual FundsExchange Traded Fund/Note,Joint,"$1,001 - $15,000","None,",None (or less than $201)
4.10,IVV - iShares Core S&P 500 ETF,Mutual FundsExchange Traded Fund/Note,Joint,"$1,001 - $15,000","None,",None (or less than $201)
4.11,IYW - iShares U.S. Technology ETF,Mutual FundsExchange Traded Fund/Note,Joint,"$1,001 - $15,000","None,",None (or less than $201)
4.12,IVW - iShares S&P 500 Growth ETF,Mutual FundsExchange Traded Fund/Note,Joint,"$1,001 - $15,000","None,",None (or less than $201)
4.13,OEF - iShares S&P 100 ETF,Mutual FundsExchange Traded Fund/Note,Joint,"$1,001 - $15,000","None,",None (or less than $201)
4.14,QUAL - iShares MSCI USA Quality Factor ETF,Mutual FundsExchange Traded Fund/Note,Joint,"$1,001 - $15,000","None,",None (or less than $201)
4.15,MRGRX - MFS Core Equity Fund Class I,Mutual FundsExchange Traded Fund/Note,Joint,"$1,001 - $15,000","None,",None (or less than $201)
4.16,PONPX - Pimco Income Fund Class I-2,Mutual FundsExchange Traded Fund/Note,Joint,"$1,001 - $15,000","None,",None (or less than $201)
