1,"Old National Bank(Jasper, IN)Type: Checking,",Bank Deposit,Self,"$1,001 - $15,000","None,",None (or less than $201)
2,"Old National Bank(Jasper, IN)Type: Savings,",Bank Deposit,Self,"$1,001 - $15,000","Interest,",None (or less than $201)
3,"German American Bank(Jasper, IN)Type: Checking,",Bank Deposit,Self,"$100,001 - $250,000","None,","$201 - $1,000"
4,"German American Bank (Finishing Touches)(Jasper, IN)Type: Checking,",Bank Deposit,Spouse,"$100,001 - $250,000","None,",None (or less than $201)
5,Edward D Jones,Retirement PlansIRA,Spouse,,,
5.1,ACGIX - Invesco Growth and Income A,Mutual FundsMutual Fund,Spouse,"$100,001 - $250,000","None,",None (or less than $201)
5.2,ACSTX - Invesco Comstock A,Mutual FundsMutual Fund,Spouse,"$50,001 - $100,000","None,",None (or less than $201)
6,Edward D Jones,Retirement PlansIRA,Self,,,
6.1,CWGIX - American Funds Capital World Growth and Income Fun,Mutual FundsMutual Fund,Self,"$50,001 - $100,000","None,",None (or less than $201)
6.2,AEPGX - American Funds Europacific Growth A,Mutual FundsMutual Fund,Self,"$50,001 - $100,000","None,",None (or less than $201)
6.3,AGTHX - American Funds Growth Fund of Amer A,Mutual FundsMutual Fund,Self,"$100,001 - $250,000","None,",None (or less than $201)
6.4,Investment Company of America Fd A,Mutual FundsMutual Fund,Self,"$100,001 - $250,000","None,",None (or less than $201)
7,Voya Financial (Meyer Distributing Inc. 401-k plan),Retirement PlansDefined Contribution Pension Plan,Self,,,
7.1,Voya Fixed Account (4450),Mutual FundsMutual Fund,Self,"None (or less than $1,001)","None,",None (or less than $201)
7.2,VBIAX - Vanguard Balanced Index Fd Admiral Shs,Mutual FundsMutual Fund,Self,"$100,001 - $250,000","None,",None (or less than $201)
7.3,VEIRX - Vanguard Equity Income Fund Admiral Shares,Mutual FundsMutual Fund,Self,"None (or less than $1,001)","None,",None (or less than $201)
7.4,CSXAX - Calvert U.S. Large-Cap Core Responsible Index Fun,Mutual FundsMutual Fund,Self,"None (or less than $1,001)","None,",None (or less than $201)
7.5,MGRPX - Msif Growth Portfolio Class Is,Mutual FundsMutual Fund,Self,"None (or less than $1,001)","None,",None (or less than $201)
7.6,FRVFX - Franklin Small Cap Value Fund Class C,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","None,",None (or less than $201)
7.7,FSSNX - Fidelity Small Cap Index Fund,Mutual FundsMutual Fund,Self,"None (or less than $1,001)","None,",None (or less than $201)
7.8,PSKCX - Virtus Kar Mid-Cap Growth Fund C,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","None,",None (or less than $201)
7.9,VWIGX - Vanguard International Growth Fund,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","None,",None (or less than $201)
8,Pacific Life Variable AnnuityProvider: ROYAL ALLIANCE ASSOCIATES INC (ALICIA RASCHE),AnnuityVariable Annuity,Self,,,
8.1,State Street Global Advisors Corporate Bond,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Interest,",None (or less than $201)
8.2,State Stree Global Advisors Aggregate Bond Indx,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Interest,","$201 - $1,000"
8.3,State Street Global Advosors High Yld Bond Mkt,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Interest,","$201 - $1,000"
8.4,BlackRock Large Cap Growth Index,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Capital Gains,","$1,001 - $2,500"
8.5,BlackRock Large Cap Value Indx,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Dividends, Capital Gains,","$1,001 - $2,500"
8.6,BlackRock Mid-Cap Indx,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Dividends, Capital Gains,","$201 - $1,000"
