1,"Truist Financial(Winston Salem, North Carolina)Type: Checking, Money Market Account, Savings,",Bank Deposit,Joint,"$100,001 - $250,000","Interest,",None (or less than $201)
2,"Truist Financial(Winston Salem, North Carolina)Type: Checking, Money Market Account,",Bank Deposit,Child,"$1,001 - $15,000","Interest,",None (or less than $201)
3,"PS1 Rural Hall LLCFiler comment:  Retail sporting goods, indoor range and training facility.  Doing business as ProShots.",Business EntitySole Proprietorship,Self,"$1,000,001 - $5,000,000","Other, (Business income)","Other $184,670.00"
4,Amy Kathryn Budd 2017 Irrv Trust FBO (DC2) - Trust,TrustGeneral Trust,Child,,,
4.1,RTSSX - Russell Investment Tax-Managed U.S. Mid & Small Ca,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
4.2,RETSX - Russell Investment Tax-Managed U.S. Large Cap Fund,Mutual FundsMutual Fund,Child,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
4.3,RTXSX - Russell Investment Tax-Managed Real Assets Fund Cl,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","Excepted Investment Fund,","$201 - $1,000"
4.4,RTHSX - Russell Investments Tax-Exempt High Yield Bond Fun,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
4.5,FIPDX - Fidelity Inflation-Protected Bond Index Fund,Mutual FundsMutual Fund,Child,"None (or less than $1,001)","Excepted Investment Fund,",None (or less than $201)
4.6,DFUS - Dimensional U.S. Equity ETF,Mutual FundsExchange Traded Fund/Note,Child,"$1,001 - $15,000","Capital Gains, Excepted Investment Fund,","$201 - $1,000"
4.7,DFAX - Dimensional World Ex U.S. Core Equity 2 ETF,Mutual FundsExchange Traded Fund/Note,Child,"$15,001 - $50,000","Excepted Investment Fund,","$201 - $1,000"
4.8,DFNM - Dimensional National Municipal Bond ETF,Mutual FundsExchange Traded Fund/Note,Child,"$15,001 - $50,000","Excepted Investment Fund,","$201 - $1,000"
4.9,FUMBX - Fidelity Short-Term Treasury Bond Index Fund,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
5,Amy Kathryn Budd 2017 Irrv Trust FBO (DC3) - Trust,TrustGeneral Trust,Child,,,
5.1,RTSSX - Russell Investment Tax-Managed U.S. Mid & Small Ca,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
5.2,RETSX - Russell Investment Tax-Managed U.S. Large Cap Fund,Mutual FundsMutual Fund,Child,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
5.3,RTXSX - Russell Investment Tax-Managed Real Assets Fund Cl,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","Excepted Investment Fund,","$201 - $1,000"
5.4,RTHSX - Russell Investments Tax-Exempt High Yield Bond Fun,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
5.5,FIPDX - Fidelity Inflation-Protected Bond Index Fund,Mutual FundsMutual Fund,Child,"None (or less than $1,001)","Capital Gains, Excepted Investment Fund,",None (or less than $201)
5.6,DFUS - Dimensional U.S. Equity ETF,Mutual FundsExchange Traded Fund/Note,Child,"$1,001 - $15,000","Capital Gains, Excepted Investment Fund,","$201 - $1,000"
5.7,DFAX - Dimensional World Ex U.S. Core Equity 2 ETF,Mutual FundsExchange Traded Fund/Note,Child,"$15,001 - $50,000","Excepted Investment Fund,","$201 - $1,000"
5.8,DFNM - Dimensional National Municipal Bond ETF,Mutual FundsExchange Traded Fund/Note,Child,"$15,001 - $50,000","Excepted Investment Fund,","$201 - $1,000"
5.9,FUMBX - Fidelity Short-Term Treasury Bond Index Fund,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
6,Fidelity Brokerage Services #18,Brokerage/Managed Account,Spouse,,,
6.1,RTSSX - Russell Investment Tax-Managed U.S. Mid & Small Ca,Mutual FundsMutual Fund,Spouse,"None (or less than $1,001)","None, Excepted Investment Fund,",None (or less than $201)
6.2,RTNSX - Russell Investment Tax-Managed International Equit,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000","Capital Gains, Excepted Investment Fund,","$201 - $1,000"
6.3,RTXSX - Russell Investment Tax-Managed Real Assets Fund Cl,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000","Excepted Investment Fund,","$201 - $1,000"
6.4,RTHSX - Russell Investments Tax-Exempt High Yield Bond Fun,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000","Excepted Investment Fund,","$201 - $1,000"
6.5,DFUS - Dimensional U.S. Equity ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$50,001 - $100,000","Capital Gains, Excepted Investment Fund,","$2,501 - $5,000"
6.6,DFAS - Dimensional U.S. Small Cap ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$15,001 - $50,000","Excepted Investment Fund,","$201 - $1,000"
6.7,DFAX - Dimensional World Ex U.S. Core Equity 2 ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$50,001 - $100,000","Excepted Investment Fund,","$1,001 - $2,500"
6.8,"Fidelity - SPRXX(Matthews, NC)Type: Money Market Account,",Bank Deposit,Spouse,"$1,001 - $15,000","Interest,",None (or less than $201)
7,Fidelity Brokerage Services #96,Brokerage/Managed Account,Spouse,,,
7.1,"RTHSX - Tax-Exempt High Yield Bond Fund Class SFiler comment:  This asset should have been reported with a value of None with the  12/31/2022 report, 2022 amended",Mutual FundsMutual Fund,Spouse,"None (or less than $1,001)","Excepted Investment Fund,",None (or less than $201)
8,College Foundation NC 529 PlanInstitution: NC,Education Savings Plans529 College Savings Plan,Child,,,
8.1,"VG 12.5% Stocks, 87.5% Bonds(Age-Based)Filer comment:  Change in investments automatic - based on age",Mutual FundsMutual Fund,Child,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
9,AKB - ROTH IRA,Retirement PlansIRA,Spouse,,,
9.1,VADDX - Invesco Equally-Weighted S&P 500 Fund Class Y,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000","None,",None (or less than $201)
9.2,RGISX - Russell Investments Global Infrastructure Fund Cla,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","None,",None (or less than $201)
9.3,RINTX - Russell Investments International Developed Market,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000","None,",None (or less than $201)
9.4,RLESX - Russell Investments U.S. Small Cap Equity Fund Cla,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","None,",None (or less than $201)
9.5,CMCYX - VanEck CM Commodity Index Fund Class Y,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","None,",None (or less than $201)
9.6,RGCSX - Russell Investments Opportunistic Credit Fund Clas,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","None,",None (or less than $201)
9.7,REZ - iShares Residential and Multisector Real Estate ET,Mutual FundsExchange Traded Fund/Note,Spouse,"None (or less than $1,001)","None,",None (or less than $201)
9.8,FIQGX - Fidelity Advisor Emerging Markets Discovery Fund,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","None,",None (or less than $201)
