1,"Ally Bank(Philadelphia, Pennsylvania)Type: Savings,",Bank Deposit,Joint,"$50,001 - $100,000","Interest,","$201 - $1,000"
2,"Truist Financial(Winston Salem, North Carolina)Type: Checking, Money Market Account,",Bank Deposit,Child,"$1,001 - $15,000","Interest,",None (or less than $201)
3,"PS1 Rural Hall LLCFiler comment:  Retail sporting goods, indoor range and training facility.  Doing business as ProShots.",Business EntitySole Proprietorship,Self,"$1,000,001 - $5,000,000","Other, (Business income)","Other $100,001.00"
4,Amy Kathryn Budd 2017 Irrv Trust FBO (DC3) - Trust,TrustGeneral Trust,Child,,,
4.1,RTSSX - Russell Investment Tax-Managed U.S. Mid & Small Ca,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
4.2,RETSX - Russell Investment Tax-Managed U.S. Large Cap Fund,Mutual FundsMutual Fund,Child,"$15,001 - $50,000","Excepted Investment Fund,","$201 - $1,000"
4.3,RTXSX - Russell Investment Tax-Managed Real Assets Fund Cl,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","Excepted Investment Fund,","$201 - $1,000"
4.4,RTHSX - Russell Investments Tax-Exempt High Yield Bond Fun,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","Excepted Investment Fund,","$1,001 - $2,500"
4.5,DFUS - Dimensional U.S. Equity ETF,Mutual FundsExchange Traded Fund/Note,Child,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
4.6,DFAX - Dimensional World Ex U.S. Core Equity 2 ETF,Mutual FundsExchange Traded Fund/Note,Child,"$15,001 - $50,000","Excepted Investment Fund,","$201 - $1,000"
4.7,DFNM - Dimensional National Municipal Bond ETF,Mutual FundsExchange Traded Fund/Note,Child,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
4.8,FUMBX - Fidelity Short-Term Treasury Bond Index Fund,Mutual FundsMutual Fund,Child,"None (or less than $1,001)","Excepted Investment Fund,",None (or less than $201)
4.9,MUB - iShares National Muni Bond ETF,Mutual FundsExchange Traded Fund/Note,Child,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
5,Fidelity Brokerage Services #18,Brokerage/Managed Account,Spouse,,,
5.1,RTNSX - Russell Investment Tax-Managed International Equit,Mutual FundsMutual Fund,Spouse,"None (or less than $1,001)","Excepted Investment Fund,",None (or less than $201)
5.2,RTXSX - Russell Investment Tax-Managed Real Assets Fund Cl,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000","Excepted Investment Fund,","$201 - $1,000"
5.3,RTHSX - Russell Investments Tax-Exempt High Yield Bond Fun,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000","Excepted Investment Fund,","$201 - $1,000"
5.4,DFUS - Dimensional U.S. Equity ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$100,001 - $250,000","Excepted Investment Fund,","$1,001 - $2,500"
5.5,DFAS - Dimensional U.S. Small Cap ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$15,001 - $50,000","Excepted Investment Fund,","$201 - $1,000"
5.6,DFAX - Dimensional World Ex U.S. Core Equity 2 ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$50,001 - $100,000","Excepted Investment Fund,","$1,001 - $2,500"
5.7,"Fidelity - SPRXX(Matthews, NC)Type: Money Market Account,",Bank Deposit,Spouse,"$1,001 - $15,000","Interest,",None (or less than $201)
6,College Foundation NC 529 PlanInstitution: NC,Education Savings Plans529 College Savings Plan,Child,,,
6.1,VG 12.5% Stocks 87.5% Bonds (Age-Based)Filer comment:  Change in investments automatic - based on age,Mutual FundsMutual Fund,Child,"None (or less than $1,001)","Excepted Investment Fund,",None (or less than $201)
7,AKB - ROTH IRA,Retirement PlansIRA,Spouse,,,
7.1,VADDX - Invesco Equally-Weighted S&P 500 Fund Class Y,Mutual FundsMutual Fund,Spouse,"None (or less than $1,001)","None,",None (or less than $201)
7.2,RGISX - Russell Investments Global Infrastructure Fund Cla,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","None,",None (or less than $201)
7.3,RINTX - Russell Investments International Developed Market,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000","None,",None (or less than $201)
7.4,RLESX - Russell Investments U.S. Small Cap Equity Fund Cla,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","None,",None (or less than $201)
7.5,CMCYX - VanEck CM Commodity Index Fund Class Y,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","None,",None (or less than $201)
7.6,RGCSX - Russell Investments Opportunistic Credit Fund Clas,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","None,",None (or less than $201)
7.7,FIQGX - Fidelity Advisor Emerging Markets Discovery Fund,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","None,",None (or less than $201)
7.8,DFAU - Dimensional US Core Equity Market ETF,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","None,",None (or less than $201)
7.9,DUHP - Dimensional US High Profitability ETF,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000","None,",None (or less than $201)
7.10,CRERX - Columbia Real Estate Equity Fund Class Adv,Mutual FundsMutual Fund,Spouse,"None (or less than $1,001)","None,",None (or less than $201)
7.11,CREEX - Columbia Real Estate Equity Fund Class I,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","None,",None (or less than $201)
7.12,PEIYX - Putnam Large Cap Value Fund Class Y,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000","None,",None (or less than $201)
8,TPB - ROTH IRA,Retirement PlansIRA,Self,,,
8.1,VADDX - Invesco Equally-Weighted S&P 500 Fund Class Y,Mutual FundsMutual Fund,Self,"None (or less than $1,001)","None,",None (or less than $201)
8.2,RGISX - Russell Investments Global Infrastructure Fund Cla,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","None,",None (or less than $201)
8.3,RINTX - Russell Investments International Developed Market,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","None,",None (or less than $201)
8.4,RLESX - Russell Investments U.S. Small Cap Equity Fund Cla,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","None,",None (or less than $201)
8.5,CMCYX - VanEck CM Commodity Index Fund Class Y,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","None,",None (or less than $201)
8.6,RGCSX - Russell Investments Opportunistic Credit Fund Clas,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","None,",None (or less than $201)
8.7,FIQGX - Fidelity Advisor Emerging Markets Discovery Fund,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","None,",None (or less than $201)
8.8,DFAU - Dimensional US Core Equity Market ETF,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","None,",None (or less than $201)
8.9,DUHP - Dimensional US High Profitability ETF,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","None,",None (or less than $201)
8.10,CRERX - Columbia Real Estate Equity Fund Class Adv,Mutual FundsMutual Fund,Self,"None (or less than $1,001)","None,",None (or less than $201)
8.11,CREEX - Columbia Real Estate Equity Fund Class I,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","None,",None (or less than $201)
8.12,PEIYX - Putnam Large Cap Value Fund Class Y,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","None,",None (or less than $201)
9,"Budd Family LLCCompany: Budd Family LLC (Winston Salem, North Carolina) Description: Real Estate Rental and Farm",Business EntityLimited Liability Company (LLC),Child,,,
9.1,"Budd FarmDescription: Farm (Advance, North Carolina)",Farm,Child,"$250,001 - $500,000","Rent/Royalties,",None (or less than $201)
9.2,"Beach PropertyDescription: Beach Rental Property (Wilmington, North Carolina)",Real EstateResidential,Child,"$250,001 - $500,000","Rent/Royalties, Interest,",None (or less than $201)
9.3,"Budd Hope LLCCompany: Budd Hope LLC (Advance, NC) Description: Owner of commercial building",Business EntityLimited Liability Company (LLC),Child,,,
9.3.1,"Real EstateDescription: Warehouse on Hope Church Road (Winston-Salem, NC)",Real EstateCommercial,Child,"$250,001 - $500,000","Rent/Royalties,","$15,001 - $50,000"
10,Lincoln Flexible Premium Variable Life Insurance - 351,Life InsuranceVariable,Self,,,
10.1,LVIP Vanguard Bnd Alloc Fnd SC (791),Mutual FundsMutual Fund,Self,"$15,001 - $50,000","None,",None (or less than $201)
10.2,LVIP SSGA S&P 500 Index SC (946),Mutual FundsMutual Fund,Self,"$15,001 - $50,000","None,",None (or less than $201)
11,Lincoln Flexible Premium Variable Life Insurance - 613,Life InsuranceVariable,Joint,,,
11.1,LVIP Vanguard Bnd Alloc Fnd SC (791),Mutual FundsMutual Fund,Joint,"$100,001 - $250,000","None,",None (or less than $201)
11.2,LVIP SSGA S&P 500 Index SC (946),Mutual FundsMutual Fund,Joint,"$100,001 - $250,000","None,",None (or less than $201)
12,"T Paul Properties, LLCCompany: T Paul Properties, LLC (Advance, NC) Description: Partner in commercial real estate business",Business EntityLimited Liability Company (LLC),Spouse,,,
12.1,"Budd Hope LLCCompany: Budd Hope LLC (Advance, NC) Description: Owner of commercial building",Business EntityLimited Liability Company (LLC),Spouse,,,
12.1.1,"Real EstateDescription: Warehouse on Hope Church Road (Winston-Salem, NC)",Real EstateCommercial,Spouse,"$500,001 - $1,000,000","Rent/Royalties,","$15,001 - $50,000"
13,"Citibank, NA(Sioux Falls, SD)Type: Savings,",Bank Deposit,Joint,"$1,001 - $15,000","Interest,","$201 - $1,000"
