1,FIADX - Fidelity Advisor International Discovery Fund C,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Dividends,","$201 - $1,000"
2,FLCSX - Fidelity Large Cap Stock Fund,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Dividends,",None (or less than $201)
3,FZAEX - Fidelity Advisor Emerging Markets Fd Cl Z,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Dividends,",None (or less than $201)
4,FPADX - Fidelity Emerging Markets Index Fund,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Dividends,","$201 - $1,000"
5,FZAJX - Fidelity Advisor International Growth Fd Cl Z,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Dividends,",None (or less than $201)
6,FSPGX - Fidelity Large Cap Growth Index Fund,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Dividends,",None (or less than $201)
7,FBGRX - Fidelity Blue Chip Growth Fund,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Dividends,",None (or less than $201)
8,FEMKX - Fidelity Emerging Markets Fund,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Dividends,",None (or less than $201)
9,FUQIX - Fidelity Sai U.S. Quality Index Fund,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Dividends,","$201 - $1,000"
10,FMNDX - Fidelity Conservative Income Municipal Bond Fund,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Dividends,",None (or less than $201)
11,FSAJX - Fidelity Sai Tax-Free Bond Fund,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Dividends,",None (or less than $201)
12,FSTFX - Fidelity Limited Term Municipal Income Fund,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Dividends,",None (or less than $201)
13,IJK - S&P Mid-Cap 400 Growth Ishares ETF,Mutual FundsExchange Traded Fund/Note,Self,"$1,001 - $15,000","Dividends,",None (or less than $201)
14,VO - Vanguard Mid-Cap ETF,Mutual FundsExchange Traded Fund/Note,Self,"$1,001 - $15,000","Dividends,",None (or less than $201)
15,DFAE - Dimensional Emerging Core Equity Market ETF,Mutual FundsExchange Traded Fund/Note,Self,"$1,001 - $15,000","Dividends,",None (or less than $201)
16,VTEB - Tax-Exempt Bond Vanguard,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Dividends,",None (or less than $201)
17,iShare TR US Treas BD ETF (GOVT),Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Dividends,",None (or less than $201)
18,ABNB - Airbnb Inc Cl A,Corporate SecuritiesStock,Self,"$50,001 - $100,000","Dividends,",None (or less than $201)
19,Fidelity Government Cash Reserves (FDRXX),Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Dividends,",None (or less than $201)
20,"Rental HomeDescription: Single Family Residence (Los Angeles, CA)",Real EstateResidential,Self,"$1,000,001 - $5,000,000","Rent/Royalties,","$100,001 - $1,000,000"
21,"Navy Federal Credit Union(Washington, DC)Type: Certificate of Deposit, Checking, Savings,",Bank Deposit,Self,"$100,001 - $250,000","Interest,","$2,501 - $5,000"
22,"Bank of America(Los Angeles, CA)Type: Checking, Savings,",Bank Deposit,Self,"$50,001 - $100,000","Interest,","$2,501 - $5,000"
23,SEIU Affilates' Officers and Employees Pension Plan,Retirement PlansDefined Contribution Pension Plan,Self,,,
23.1,BCOIX - Baird Core Plus Bond Fund Institutional Class,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","None,",None (or less than $201)
23.2,CEYIX - Calvert Equity Fund Class I,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","None,",None (or less than $201)
23.3,Dryden S&P 500 Index,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","None,",None (or less than $201)
23.4,DFUEX - Dfa U.S. Social Core Equity 2 Portfolio,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","None,",None (or less than $201)
23.5,GS GQG Intl Opp R6,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","None,",None (or less than $201)
23.6,Guaranteed Income Fund (GIF),Mutual FundsMutual Fund,Self,"$1,001 - $15,000","None,",None (or less than $201)
23.7,Vanguard Tgt Ret 2040,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","None,",None (or less than $201)
23.8,Small Cap Value/Kennedy Capit,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","None,",None (or less than $201)
23.9,SCG II (Wellington),Mutual FundsMutual Fund,Self,"$1,001 - $15,000","None,",None (or less than $201)
