1,LBSAX-Columbia Dividend Income A (NASDAQ),Mutual FundsMutual Fund,Joint,"$100,001 - $250,000","Excepted Investment Fund,","$5,001 - $15,000"
2,"Congressional Credit Union(Washington, DC)Type: Checking, Savings,",Bank Deposit,Self,"$1,001 - $15,000","Interest,",None (or less than $201)
3,"Wells Fargo Advisors(Baltimore, Md)Type: Brokerage Sweep Account,",Bank Deposit,Joint,"$15,001 - $50,000","Interest,",None (or less than $201)
4,"Wells Fargo Advisors(Baltimore, Md)Type: Brokerage Sweep Account,",Bank Deposit,Self,"None (or less than $1,001)","Interest,",None (or less than $201)
5,LBSAX-Columbia Dividend Income A (NASDAQ),Mutual FundsMutual Fund,Self,"$100,001 - $250,000","Excepted Investment Fund,","$5,001 - $15,000"
6,CVTCX - Calamos Growth & Income C (NASDAQ),Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Excepted Investment Fund,","$1,001 - $2,500"
7,AEGFX-American Funds EuroPacific Gr F1 (NASDAQ),Mutual FundsMutual Fund,Self,"$100,001 - $250,000","Excepted Investment Fund,","$5,001 - $15,000"
8,BGRFX - Baron Growth Retail (NASDAQ),Mutual FundsMutual Fund,Joint,"$1,001 - $15,000","Excepted Investment Fund,","$201 - $1,000"
9,AFIFX-American Funds Fundamental Invs F1 (NASDAQ),Mutual FundsMutual Fund,Joint,"$15,001 - $50,000","Excepted Investment Fund,","$1,001 - $2,500"
10,GFAFX-American Funds Growth Fund of Amer F1 (NASDAQ),Mutual FundsMutual Fund,Joint,"$15,001 - $50,000","Excepted Investment Fund,","$1,001 - $2,500"
11,HCAIX-Harbor Capital Appreciation Inv (NASDAQ),Mutual FundsMutual Fund,Joint,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
12,Meyer M. Cardin TrustFiler comment:  A trust established by filer's father for the benefit of filer and spouse during their lifetime with remainderman interest to filer's children,TrustGeneral Trust,Joint,,,
12.1,"Baltimore Co., Md. BondRate/Coupon: 2.25%  Matures: 8/1/29",Government SecuritiesMunicipal Security,Joint,"$1,001 - $15,000","Interest,","$201 - $1,000"
12.2,"Wells Fargo Advisors(Baltimore, Md.)Type: Brokerage Sweep Account,",Bank Deposit,Joint,"$1,001 - $15,000","Interest,",None (or less than $201)
12.3,Invesco Global 45 Dividend 2021-4Cash,Mutual FundsMutual Fund,Joint,"None (or less than $1,001)","Excepted Investment Fund,",None (or less than $201)
12.4,First Trust Select DSIP 1st Q 2022,Mutual FundsMutual Fund,Joint,"None (or less than $1,001)","Excepted Investment Fund,","$201 - $1,000"
12.5,Invesco Global 45 Dividend Fund 2022-2 cash,Mutual FundsMutual Fund,Joint,"None (or less than $1,001)","Excepted Investment Fund,","$201 - $1,000"
12.6,Invesco Global 45 Dividend Fund 2022 - 1C,Mutual FundsMutual Fund,Joint,"None (or less than $1,001)","Excepted Investment Fund,","$201 - $1,000"
12.7,Invesco Global 45 Dividend Fund 2022 - 3C,Mutual FundsMutual Fund,Joint,"None (or less than $1,001)","Excepted Investment Fund,","$201 - $1,000"
12.8,US Treasury Notes due 11/30/24 CPN 2.125%Rate/Coupon: None  Matures: None,Government SecuritiesUS Treasury/Agency Security,Joint,"$15,001 - $50,000","Interest,","$201 - $1,000"
12.9,US Treasury Notes due 1/15/25 CPN 1.25%Rate/Coupon: None  Matures: NoneFiler comment:  same US Treasury Note reported in 2022 at 1.125%,Government SecuritiesUS Treasury/Agency Security,Joint,"$15,001 - $50,000","Interest,","$201 - $1,000"
12.10,US Treasury Notes due 2/15/25 CPN 1.5%Rate/Coupon: None  Matures: None,Government SecuritiesUS Treasury/Agency Security,Joint,"$15,001 - $50,000","Interest,","$201 - $1,000"
12.11,Invesco Global 45 Dividend Fund 2023 1 C,Mutual FundsMutual Fund,Joint,"$50,001 - $100,000","Excepted Investment Fund,","$1,001 - $2,500"
12.12,Invesco Global 45 Dividend Fund 2023 2 C,Mutual FundsMutual Fund,Joint,"$15,001 - $50,000","Excepted Investment Fund,","$201 - $1,000"
12.13,Invesco Global 45 Dividend Fund 2023 3 C,Mutual FundsMutual Fund,Joint,"$15,001 - $50,000","Excepted Investment Fund,","$201 - $1,000"
12.14,Invesco Global 45 Dividend Fund 2023 4 C,Mutual FundsMutual Fund,Joint,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
12.15,First Trust Select DSIP 2nd Q 2023,Mutual FundsMutual Fund,Joint,"$100,001 - $250,000","Excepted Investment Fund,","$1,001 - $2,500"
13,Minnesota Life Variable Life InsFiler comment:  Values represent cash value. Investments directed by agent.,Life InsuranceVariable,Self,,,
13.1,Advantus Bond (AKA Core Bond Fund),Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
13.2,Ivy VIP Int Core,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
13.3,Advantus Index 400 MidCap,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
13.4,Advantus Real Estate Security,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
13.5,Templeton Develpment Market Security,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
13.6,Fidelity VIP Equity-Income (previously IFVEX - G Fidelity VIP Equity-Income Po (NASDAQ)),Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
13.7,SFT Delaware Ivy Growth Fund (AKA SFT Ivy Growth Fund),Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
13.8,SFT Ivy Small Growth Fund,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
13.9,Ivy VIP High Income Fund,Mutual FundsMutual Fund,Self,"None (or less than $1,001)","Excepted Investment Fund,",None (or less than $201)
13.10,Invesco Oppenheimer International Growth Fund,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
13.11,Guaranteed Principal Account (Minnesota Life),Mutual FundsStable Value Fund,Self,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
14,USF & G Life Insuance Co. - Cash ValueProvider: USF & G Life Insurance Co.,Life InsuranceWhole,Self,"$1,001 - $15,000","None,",None (or less than $201)
15,"Venture BG, LLCCompany: Venture BG, LLC (Baltimore, Md) Description: Real Estate Filer comment:  See ""Attachments and Comments""; evaluation based on cap rate of rental income less debt; Capital Account negative;  income as reflected K1",Business EntityLimited Liability Company (LLC),Spouse,"$100,001 - $250,000","Rent/Royalties, Interest, Other, (Distribution)","$15,001 - $50,000Other $2,700.00"
16,Maryland College Investment PlanInstitution: College Savings Plans of Maryland,Education Savings Plans529 College Savings Plan,Self,,,
16.1,Portfolio For Education TodayFiler comment:  Portfolio 2018 converted to For Education Today 6/11/18,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
16.2,Portfolio For Education TodayFiler comment:  Portfolio 2021 converted to For Education Today 6/25/21,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
17,Maryland College Investment PlanInstitution: College Savings Plans of Maryland,Education Savings Plans529 College Savings Plan,Spouse,,,
17.1,Portfolio For Education TodayFiler comment:  Portfolio 2018 converted to For Education Today 6/11/18,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
17.1,Portfolio For Education TodayFiler comment:  Portfolio 2021 converted to For Education Today 6/25/21,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
18,IRA - Wells Fargo AdvisorsFiler comment:  Includes rollover from TIAA - Cref Retirement Plan and Deferred Compensation Plan,Retirement PlansIRA,Spouse,,,
18.1,EMB - iShares JPMorgan USD Emerg Markets Bond,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
18.2,XLK - Technology Select Sector SPDR,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
18.3,VEA - Vanguard FTSE Developed Markets ETF,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
18.4,"Wells Fargo Advisors(Baltimore, Md)Type: Brokerage Sweep Account,",Bank Deposit,Spouse,"$1,001 - $15,000","Interest,",None (or less than $201)
18.5,IJH - iShares Core S&P Mid-Cap,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
18.6,AGG-iShares Core US Aggregate Bond,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
18.7,IWM - iShares Russell 2000 ETF,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
18.8,IVV - iShares Core S&P 500 ETF,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
18.9,Israel BondRate/Coupon: 4%  Matures: 02/01/27,Government SecuritiesMunicipal Security,Spouse,"$15,001 - $50,000","Interest,",None (or less than $201)
18.10,IEMG-iShares Core MSCI Emerging Markets ETF,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
18.11,GSLC - Goldman Sachs ActiveBeta U.S. Large Cap Equity ETF,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
18.12,VO - Vanguard Mid-Cap Index Fund ETF Shares,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
18.13,PDBC - Invesco Optimum Yield Diversified Commodity Strate,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
18.14,USHY - Broad USD High Yield Corp Bond Ishares ETF,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
18.15,IUSB - iShares Core Total USD Bond Market ETF,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
18.16,XLV - SPDR Select Sector Fund - Health Care,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
18.17,FTGC - First Trust Global Tactical Commodity Strategy Fun,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
18.18,BLV - Vanguard Long-Term Bond ETF,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
18.19,IEFA - EAFE Ishares Core MSCI ETF,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
18.20,MINT - Enhanced Short-Maturity Strgy ETF Pimco,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
18.21,FRGXX Fidelity Government Portfolio Fund,Mutual FundsMutual Fund,Spouse,"None (or less than $1,001)","Interest,",None (or less than $201)
19,IRA - Wells Fargo Advisors,Retirement PlansIRA,Self,,,
19.1,PRTNX - PIMCO Real Return A (NASDAQ),Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
19.2,"Wells Fargo Advisors(Baltimore, Md)Type: Brokerage Sweep Account,",Bank Deposit,Self,"$15,001 - $50,000","Interest,",None (or less than $201)
