1,"Morgan Stanley Bank NA(Kansas City, Missouri)Type: Checking,",Bank Deposit,Self,"$15,001 - $50,000","Interest,",None (or less than $201)
2,DUK - Duke Energy Corporation (NYSE),Corporate SecuritiesStock,Self,"$15,001 - $50,000","Dividends,","$201 - $1,000"
3,LNC - Lincoln National Corporation (NYSE),Corporate SecuritiesStock,Self,"$50,001 - $100,000","Dividends,","$5,001 - $15,000"
4,ENB-Enbridge Inc.,Corporate SecuritiesStock,Self,"$15,001 - $50,000","Dividends,","$1,001 - $2,500"
5,SPDR S&P 500 ETF Trust,Mutual FundsExchange Traded Fund/Note,Self,"$50,001 - $100,000","Dividends,","$201 - $1,000"
6,MDY-SPDR S&P MidCap 400,Mutual FundsExchange Traded Fund/Note,Self,"$50,001 - $100,000","Dividends,","$201 - $1,000"
7,AACFX - Invesco Greater China Fund Cl A,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Dividends, Capital Gains,","$201 - $1,000"
8,DOW - Dow Inc.,Corporate SecuritiesStock,Self,"$15,001 - $50,000","Dividends,","$1,001 - $2,500"
9,"CTVA - Corteva, Inc.",Corporate SecuritiesStock,Self,"$15,001 - $50,000","Dividends,","$201 - $1,000"
10,"DD - DuPont de Nemours, Inc.",Corporate SecuritiesStock,Self,"$15,001 - $50,000","Dividends,","$201 - $1,000"
11,CC-The Chemours Company,Corporate SecuritiesStock,Self,"$1,001 - $15,000","Dividends,",None (or less than $201)
12,"Citizens Bank(Wilmington, Delaware)Type: Checking,",Bank Deposit,Joint,"$100,001 - $250,000","Interest,",None (or less than $201)
13,"M & T Bank(Wilmington, Delaware)Type: Checking,",Bank Deposit,Joint,"$15,001 - $50,000","Interest,",None (or less than $201)
14,"Rental PropertyDescription: Rental Property (Washington, DC)",Real EstateResidential,Joint,"$500,001 - $1,000,000","Rent/Royalties,","$15,001 - $50,000"
15,"Rental PropertyDescription: Rental Property (Bald Head Island, North Carolina)",Real EstateResidential,Joint,"$1,000,001 - $5,000,000","Rent/Royalties,","$50,001 - $100,000"
16,"Unimproved LandDescription: Undeveloped farm land with farm house and barn (Zionville, NC)",Real EstateUnimproved Land,Joint,"$500,001 - $1,000,000","None,",None (or less than $201)
17,"Capital One(St. Cloud, MN)Type: Money Market Account,",Bank Deposit,Spouse,"$15,001 - $50,000","Interest,",None (or less than $201)
18,Spouse IRA 615,Brokerage/Managed Account,Spouse,,,
18.1,"Morgan Stanley Bank N.A.(Kansas City, MO)Type: Brokerage Sweep Account,",Bank Deposit,Spouse,"$1,001 - $15,000","Interest,",None (or less than $201)
18.2,"LGI - Lazard Global Total Return and Income Fund, Inc.",Corporate SecuritiesStock,Spouse,"$1,001 - $15,000","Dividends,","$201 - $1,000"
18.3,CIBR - First Trust NASDAQ Cybersecurity ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$1,001 - $15,000","Dividends,",None (or less than $201)
18.4,CFA - VictoryShares US 500 Volatility Wtd ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$1,001 - $15,000","Dividends,",None (or less than $201)
18.5,GBIL - Goldman Sachs Access Treasury 0-1 Year ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$15,001 - $50,000","Dividends,","$1,001 - $2,500"
18.6,CEF - Sprott Physical Gold and Silver Trust,Corporate SecuritiesStock,Spouse,"$1,001 - $15,000","None,",None (or less than $201)
18.7,SRVR - Pacer Benchmark Data & Infrastructure Real Estate,Mutual FundsExchange Traded Fund/Note,Spouse,"$1,001 - $15,000","Dividends, Capital Gains,",None (or less than $201)
18.8,ABYIX - Abbey Capital Futures Strategy Fund- Class I Sha,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Dividends, Capital Gains,",None (or less than $201)
18.9,FDRR - Fidelity Dividend ETF For Rising Rates,Mutual FundsExchange Traded Fund/Note,Spouse,"$1,001 - $15,000","Dividends, Capital Gains,","$201 - $1,000"
18.10,GSSC - GS Activebeta U.S. Small Cap Equity ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$1,001 - $15,000","Dividends, Capital Gains,",None (or less than $201)
18.11,PRF - Invesco FTSE RAFI US 1000 ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$1,001 - $15,000","Dividends, Capital Gains,",None (or less than $201)
18.12,SPGP - Invesco S&P 500 GARP ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$1,001 - $15,000","Dividends, Capital Gains,",None (or less than $201)
18.13,EELV - Invesco S&P Emerging Markets Low Volatility ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$1,001 - $15,000","Dividends, Capital Gains,",None (or less than $201)
18.14,ITA - iShares U.S. Aerospace & Defense ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$1,001 - $15,000","Dividends, Capital Gains,",None (or less than $201)
