1,Fidelity Investments 529 AccountInstitution: Fidelity Investments,Education Savings Plans529 College Savings Plan,Joint,,,
1.1,Massachusetts College Portfolio,Mutual FundsMutual Fund,Joint,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
2,Pennsylvania State Employees Retirement System,Retirement PlansDefined Benefit Pension Plan,Self,Unascertainable,"None,",None (or less than $201)
3,Ameriprise One Financial Account,Brokerage/Managed Account,Joint,,,
3.1,JDFAX-Janus Henderson Flexible Bond A,Mutual FundsMutual Fund,Joint,"$15,001 - $50,000","Excepted Investment Fund,","$201 - $1,000"
3.2,"Ameriprise Insured(Minneapolis, MN)Type: Money Market Account,",Bank Deposit,Joint,"$1,001 - $15,000","None,",None (or less than $201)
4,"United States Senate Federal Credit Union(Washington, DC)Type: Checking, Savings,",Bank Deposit,Self,"$1,001 - $15,000","None,",None (or less than $201)
5,"First National Community Bank(Dunmore, PA)Type: Checking,",Bank Deposit,Joint,"$15,001 - $50,000","None,",None (or less than $201)
6,"First National Community Bank(Dunmore, PA)Type: Savings,",Bank Deposit,Spouse,"$50,001 - $100,000","None,",None (or less than $201)
7,"Pennsylvania State Employees Credit Union (PSECU)(Harrisburg, PA)Type: Checking,",Bank Deposit,Joint,"$1,001 - $15,000","None,",None (or less than $201)
8,TD Ameritrade Brokerage Account,Brokerage/Managed Account,Joint,,,
8.1,"Charles Schwab(Westlake, TX)Type: Money Market Account, Filer comment:  Listed in previous years as TD Ameritrade Brokerage Account, name change due to merger.",Bank Deposit,Joint,"$1,001 - $15,000","None,",None (or less than $201)
9,Vanguard Rollover IRA Brokerage Account,Retirement PlansIRA,Self,,,
9.1,"Vanguard Federal Money Market Fund(Malvern, PA)Type: Money Market Account,",Bank Deposit,Self,"$100,001 - $250,000","None,",None (or less than $201)
10,Drexel University TIAA Multi-Asset Portfolio,Retirement PlansDefined Contribution Pension Plan,Spouse,,,
10.1,TCYIX - Tiaa-Cref Lifecycle 2025 Fund Institutional Clas,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
11,"Cottage 22 LLCCompany: Cottage 22 LLC (Clarks Green, Pennsylvania) Description: Holds bank account for insurance proceeds related to rebuilding family property damaged in fire. Value reported reflects the filer and his spouse’s 20% ownership interest in the LLC.",Business EntityLimited Liability Company (LLC),Joint,"$50,001 - $100,000","Interest,",None (or less than $201)
