1,Wells Fargo IRA #1,Retirement PlansIRA,Self,,,
1.1,SGIIX - First Eagle Global I (NASDAQ),Mutual FundsMutual Fund,Self,"None (or less than $1,001)","None,",None (or less than $201)
1.2,VWIAX - Vanguard Wellesley Income Fund Admiral Shares,Mutual FundsMutual Fund,Self,"None (or less than $1,001)","None,",None (or less than $201)
2,Wells Fargo IRA #3,Retirement PlansIRA,Spouse,,,
2.1,Green Tree 95-8 B2 Financial CorporationRate/Coupon: 7.65  Matures: 12/15/2026,Corporate SecuritiesCorporate Bond,Spouse,"$15,001 - $50,000","None,",None (or less than $201)
2.2,Green Tree 95-10 B2 Financial CorporationRate/Coupon: 7.4  Matures: 01/15/2027,Corporate SecuritiesCorporate Bond,Spouse,"$1,001 - $15,000","None,",None (or less than $201)
2.3,Countrywide 05-17 1X2 Adjustable Rate CallableRate/Coupon: 1.297  Matures: 07/25/2035,Corporate SecuritiesCorporate Bond,Spouse,"None (or less than $1,001)","None,",None (or less than $201)
2.4,Green Tree 1996-6 B2Rate/Coupon: 8.35  Matures: 8/15/26,Corporate SecuritiesCorporate Bond,Spouse,"None (or less than $1,001)","None,",None (or less than $201)
2.5,Green Tree 97-7 B2Rate/Coupon: 7.59  Matures: 1/15/28,Corporate SecuritiesCorporate Bond,Spouse,"None (or less than $1,001)","None,",None (or less than $201)
2.6,Green Tree 97-3 B2Rate/Coupon: 8.03  Matures: 3/15/28,Corporate SecuritiesCorporate Bond,Spouse,"None (or less than $1,001)","None,",None (or less than $201)
2.7,Green Tree 98-2 B2Rate/Coupon: 8.44  Matures: 6/1/28,Corporate SecuritiesCorporate Bond,Spouse,"None (or less than $1,001)","None,",None (or less than $201)
2.8,Green Tree 98-3 B2Rate/Coupon: 8.07  Matures: 3/1/30,Corporate SecuritiesCorporate Bond,Spouse,"None (or less than $1,001)","None,",None (or less than $201)
2.9,Countrywide 05-27 1X2Rate/Coupon: 1.29  Matures: 8/23/35,Corporate SecuritiesCorporate Bond,Spouse,"None (or less than $1,001)","None,",None (or less than $201)
2.10,CWALT 05-27 1X1Rate/Coupon: 1.26  Matures: 8/25/35,Corporate SecuritiesCorporate Bond,Spouse,"None (or less than $1,001)","None,",None (or less than $201)
2.11,"Wells Fargo(San Francisco, California)Type: Brokerage Sweep Account,",Bank Deposit,Spouse,"$1,001 - $15,000","None,",None (or less than $201)
3,TIAA Traditional,Retirement PlansIRA,Spouse,,,
3.1,TIAA Traditional,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","None,",None (or less than $201)
4,TIAA- CREF Retirement,Retirement PlansIRA,Self,,,
4.1,TIAA - CREF Traditional,Mutual FundsMutual Fund,Self,"$250,001 - $500,000","None,",None (or less than $201)
