1,"WSFS Bank(Wilmington, DE)Type: Checking,",Bank Deposit,Joint,"$250,001 - $500,000","Interest,",None (or less than $201)
2,"W.L. Gore & Associates Inc.Company: W.L. Gore & Associates Inc. (Newark, DE) Description: Manufacturing",Corporate SecuritiesNon-Public Stock,Self,"$1,000,001 - $5,000,000","Dividends, Capital Gains,","$100,001 - $1,000,000"
3,NFS/FMTC IRA FBO Christopher A Coons,Retirement PlansIRA,Self,,,
3.1,GQGIX - Gqg Partners Emerging Markets Equity Fund Instit,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
3.2,RGERX - Columbia Select Global Equity Fund Class I2,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
3.3,IYMIX - Ivy Mid Cap Growth Fund Class I,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
3.4,JENIX - Jensen Quality Growth Fund Cl I,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
3.5,RAIIX - Rainier International Discovery Series - Class I,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
3.6,TSCSX - Thrivent Small Cap Stock Fund Class S,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
3.7,VWUAX - Vanguard  U.S. Growth Fund Admiral Shares,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
3.8,VGISX - Virtus Duff & Phelps Global Real Estate Securiti,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
3.9,PLSRX - Aristotle Strategic Income Fund I,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
3.10,BSBIX - Baird Short Term Bond Fund Institutional Class,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
3.11,MAWIX - Blackrock Strategic Global Bond Fund Inc. - Ins,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
3.12,EIFAX - Eaton Vance Floating-Rate Advantaged Fund Class,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
3.13,GIBIX - Guggenheim Total Return Bond Fund- Institutional,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
3.14,LAHYX - Lord Abbett Investment Trust High Yield Fund Cla,Mutual FundsMutual Fund,Self,"None (or less than $1,001)","Excepted Investment Fund,",None (or less than $201)
3.15,IXUS - Total Intl Stock Ishares Core MSCI ETF,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
3.16,DGRO - iShares Core Dividend Growth ETF,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
3.17,HIGFX - American High-Income Trust - Class F-3,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
3.18,FDRXX - FIDELITY GOVERNMENT CASH RESERVES,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
4,"W.L. Gore & Associates Inc.Company: W.L. Gore & Associates Inc. (Newark, DE) Description: Manufacturing",Corporate SecuritiesNon-Public Stock,Spouse,"Over $1,000,000 and held independently by spouse or dependent child","Dividends,","$15,001 - $50,000"
5,NFS/FMTC IRA FBO Ann M Coons,Retirement PlansIRA,Spouse,,,
5.1,FSGGX - Fidelity Global Ex U.S. Index Fund,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
5.2,CNSFX - Invesco Convertible Securities Fund Cl R6,Mutual FundsMutual Fund,Spouse,"None (or less than $1,001)","Excepted Investment Fund,",None (or less than $201)
5.3,BIOIX - Baron Opportunity Fund Inst Shs,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
5.4,FTHSX - Fuller & Thaler Behavioral Small-Cap Equity Fund,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
5.5,CSSPX - Cohen & Steers Global Realty Shares Inc Class I,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
5.6,GERIX - Goldman Sachs Emerging Mkts Equity Insight Fd IN,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
5.7,OANMX - Oakmark Fund Institutional Class,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
5.8,GLIFX - Lazard Global Listed Infrastructure Ptf Insti Sh,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
5.9,LBFIX - Clearbridge Select Fd I,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
5.10,VWILX - Vanguard International Growth Fund Admiral Share,Mutual FundsMutual Fund,Spouse,"None (or less than $1,001)","Excepted Investment Fund,",None (or less than $201)
5.11,HIGFX - American High-Income Trust - Class F-3,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
5.12,BSBIX - Baird Short Term Bond Fund Institutional Class,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
