1,"Clark County Credit Union(Las Vegas, Nevada)Type: Checking, Savings,",Bank Deposit,Self,"$100,001 - $250,000","Interest,","$201 - $1,000"
2,"Town & Country Bank(Las Vegas, Nevada)Type: Certificate of Deposit, Checking, Savings,",Bank Deposit,Joint,"$1,000,001 - $5,000,000","Interest,","$15,001 - $50,000"
3,"United States Senate Federal Credit Union(Alexandria, Virginia)Type: Checking, Savings,",Bank Deposit,Joint,"$1,001 - $15,000","Interest,",None (or less than $201)
4,"Rental PropertyDescription: Single family rental property (Las Vegas, Nevada)",Real EstateResidential,Joint,"None (or less than $1,001)","Rent/Royalties, Capital Gains,","$100,001 - $1,000,000"
5,Nevada Public Employees' Retirement System,Retirement PlansDefined Benefit Pension Plan,Self,"$250,001 - $500,000","None,",None (or less than $201)
6,Nevada Public Employees’ Deferred Compensation Program,Deferred CompensationDeferred Compensation - Other,Self,,,
6.1,VINIX - Vanguard Institutional Index,Mutual FundsMutual Fund,Self,"$100,001 - $250,000","Excepted Investment Fund,",None (or less than $201)
6.2,Voya Fixed Account 457/401 II,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
6.3,VIEIX - Vanguard Index Trust Extended Market Index Fd IN,Mutual FundsMutual Fund,Self,"$50,001 - $100,000","Excepted Investment Fund,",None (or less than $201)
6.4,VTIAX - Vanguard Total International Stock Index Fd Admi,Mutual FundsMutual Fund,Self,"$50,001 - $100,000","Excepted Investment Fund,",None (or less than $201)
6.5,VBTIX - Vanguard Bond Index Fund Total Bond Mkt Index Fu,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
7,Charles Schwab,Retirement PlansIRA,Spouse,,,
7.1,OAKLX - Oakmark Select I,Mutual FundsMutual Fund,Spouse,"$100,001 - $250,000","Excepted Investment Fund,",None (or less than $201)
7.2,WEBAX - TETON Westwood Balanced AAA,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
7.3,"TBGVX - Tweedy, Browne Global Value",Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
7.4,VLAAX - Value Line Asset Allocation Investor,Mutual FundsMutual Fund,Spouse,"$100,001 - $250,000","Excepted Investment Fund,",None (or less than $201)
