1,"American Bank(Bozeman, MT)Type: Checking, Savings,",Bank Deposit,Joint,"$100,001 - $250,000","Interest,","$1,001 - $2,500"
2,"Yellowstone Bank(Bozeman, MT)Type: Checking, Savings,",Bank Deposit,Joint,"$100,001 - $250,000","Interest,","$1,001 - $2,500"
3,"Residential LotDescription: Residential Lot (Bozeman, MT)",Real EstateResidential,Joint,"$500,001 - $1,000,000","None,",None (or less than $201)
4,"Ag Land BelgradeDescription: Agriculture land (Belgrade, MT)",Real EstateUnimproved Land,Joint,"$1,000,001 - $5,000,000","None,",None (or less than $201)
5,"GenesisCompany: Genesis Business Park (Bozeman, MT) Description: Commercial real estate",Business EntityLimited Liability Company (LLC),Joint,,,
5.1,"Gen 1Description: Office Building (Bozeman, MT)",Real EstateCommercial,Joint,"$500,001 - $1,000,000","Rent/Royalties,","$15,001 - $50,000"
5.2,"Gen 2Description: Office Building (Bozeman, MT)",Real EstateCommercial,Joint,"$1,000,001 - $5,000,000","Rent/Royalties,","$100,001 - $1,000,000"
5.3,"Gen 3Description: Office Building (Bozeman, MT)",Real EstateCommercial,Joint,"$1,000,001 - $5,000,000","Rent/Royalties,","$100,001 - $1,000,000"
5.4,"Gen Lot 3Description: Lot 3 (Bozeman, MT) Filer comment:  Empty parcel of land in Genesis Business park",Real EstateUnimproved Land,Joint,"$250,001 - $500,000","None,",None (or less than $201)
5.5,"Gen Lot 20Description: Lot 20 (Bozeman, MT) Filer comment:  Empty parcel of land in Genesis Business park",Real EstateUnimproved Land,Joint,"$250,001 - $500,000","None,",None (or less than $201)
5.6,"Gen 5Description: Office Building (Bozeman, Montana)",Real EstateCommercial,Joint,"None (or less than $1,001)","Rent/Royalties,","$100,001 - $1,000,000"
6,"Gen 7Description: Office Building (Bozeman, MT)",Real EstateCommercial,Joint,"$1,000,001 - $5,000,000","Rent/Royalties,","$100,001 - $1,000,000"
7,"Vanguard Federal Money Market Fund (Settlement fund)(Monroe, WI)Type: Money Market Account,",Bank Deposit,Self,"$1,000,001 - $5,000,000","Dividends,","$15,001 - $50,000"
8,Vanguard IRA,Retirement PlansIRA,Self,,,
8.1,VGSTX - Vanguard Star Fund Investor Shares,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Dividends, Capital Gains,","$1,001 - $2,500"
8.2,VSGAX - Vanguard Small-Cap Growth Index Fund Admiral Share,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Dividends,",None (or less than $201)
8.3,VTTHX - Vanguard Target Retirement 2035 Fund Investor Shar,Mutual FundsMutual Fund,Self,"$50,001 - $100,000","Dividends, Capital Gains,","$1,001 - $2,500"
8.4,VCPAX Vanguard Core Plus Bond Admiral CL,Mutual FundsMutual Fund,Self,"$50,001 - $100,000","Dividends, Capital Gains,","$2,501 - $5,000"
8.5,VTINX,Mutual FundsMutual Fund,Self,"$50,001 - $100,000","Dividends, Capital Gains,","$2,501 - $5,000"
8.6,VHYAX,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Dividends,","$201 - $1,000"
9,"Vanguard Federal Money Market Fund(Monroe, WI)Type: Money Market Account,",Bank Deposit,Joint,"$500,001 - $1,000,000","Dividends,","$15,001 - $50,000"
10,"Cultivate MD Capital Accelerator FundDescription: Venture capital fund focused on medical devices. (Grand Rapids, MI)",Investment FundPrivate Equity Fund,Joint,"$100,001 - $250,000","Capital Gains,","$15,001 - $50,000"
