1,"American Bank(Bozeman, MT)Type: Checking, Savings,",Bank Deposit,Joint,"$100,001 - $250,000","Interest,","$1,001 - $2,500"
2,"Yellowstone Bank(Bozeman, MT)Type: Checking, Savings,",Bank Deposit,Joint,"$100,001 - $250,000","Interest,","$1,001 - $2,500"
3,"Residential LotDescription: Residential Lot (Bozeman, MT)",Real EstateResidential,Joint,"$500,001 - $1,000,000","None,",None (or less than $201)
4,"Ag Land BelgradeDescription: Agriculture land (Belgrade, MT)",Real EstateUnimproved Land,Joint,"$1,000,001 - $5,000,000","Rent/Royalties,","$5,001 - $15,000"
5,"Residential/Agricultural PropertyDescription: Residential/Agricultural Property (Belgrade, MT)",Real EstateResidential,Joint,"$1,000,001 - $5,000,000","Other, (Barley crop sales)","Other $2,501.00"
6,"GenesisCompany: Genesis Business Park (Bozeman, MT) Description: Commercial real estate",Business EntityLimited Liability Company (LLC),Joint,,,
6.1,"Gen 1Description: Office Building (Bozeman, MT)",Real EstateCommercial,Joint,"$500,001 - $1,000,000","Rent/Royalties,","$15,001 - $50,000"
6.2,"Gen 2Description: Office Building (Bozeman, MT)",Real EstateCommercial,Joint,"$1,000,001 - $5,000,000","Rent/Royalties,","$100,001 - $1,000,000"
6.3,"Gen 3Description: Office Building (Bozeman, MT)",Real EstateCommercial,Joint,"$1,000,001 - $5,000,000","Rent/Royalties,","$100,001 - $1,000,000"
6.4,"Gen Lot 3Description: Lot 3 (Bozeman, MT) Filer comment:  Empty parcel of land in Genesis Business park",Real EstateUnimproved Land,Joint,"$250,001 - $500,000","None,",None (or less than $201)
6.5,"Gen Lot 20Description: Lot 20 (Bozeman, MT) Filer comment:  Empty parcel of land in Genesis Business park",Real EstateUnimproved Land,Joint,"$250,001 - $500,000","None,",None (or less than $201)
7,"Gen 7Description: Office Building (Bozeman, MT)",Real EstateCommercial,Joint,"$1,000,001 - $5,000,000","Rent/Royalties,","$100,001 - $1,000,000"
8,"Vanguard Federal Money Market Fund (Settlement fund)(Monroe, WI)Type: Money Market Account,",Bank Deposit,Self,"$1,000,001 - $5,000,000","Dividends,","$50,001 - $100,000"
9,Vanguard IRA,Retirement PlansIRA,Self,,,
9.1,VGSTX - Vanguard Star Fund Investor Shares,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Dividends, Capital Gains,","$1,001 - $2,500"
9.2,VSGAX - Vanguard Small-Cap Growth Index Fund Admiral Share,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Dividends,",None (or less than $201)
9.3,VTTHX - Vanguard Target Retirement 2035 Fund Investor Shar,Mutual FundsMutual Fund,Self,"$50,001 - $100,000","Dividends, Capital Gains,","$1,001 - $2,500"
9.4,VCPAX Vanguard Core Plus Bond Admiral CL,Mutual FundsMutual Fund,Self,"$50,001 - $100,000","Dividends, Capital Gains,","$2,501 - $5,000"
9.5,VTINX,Mutual FundsMutual Fund,Self,"$100,001 - $250,000","Dividends, Capital Gains,","$2,501 - $5,000"
9.6,VHYAX,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Dividends,","$201 - $1,000"
10,"Vanguard Federal Money Market Fund(Monroe, WI)Type: Money Market Account,",Bank Deposit,Joint,"$100,001 - $250,000","Dividends,","$15,001 - $50,000"
11,"Cultivate MD Capital Accelerator FundDescription: Venture capital fund focused on medical devices. (Grand Rapids, MI)",Investment FundPrivate Equity Fund,Joint,"$100,001 - $250,000","Capital Gains,","$15,001 - $50,000"
