1,Edward Jones Brokerage #1,Brokerage/Managed Account,Joint,,,
1.1,"Edward Jones Investments(Streamwood, IL)Type: Brokerage Sweep Account,",Bank Deposit,Joint,"$1,001 - $15,000","None,",None (or less than $201)
1.2,Lincoln Shareholdrs Adv Old Contract #953048073Provider: Edward Jones Investments,AnnuityFixed,Joint,"$50,001 - $100,000","None,",None (or less than $201)
1.3,CWGIX - American Funds Capital World Growth & Income Fun,Mutual FundsMutual Fund,Joint,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
1.4,AMECX - The Income Fund of America Class A Shares,Mutual FundsMutual Fund,Joint,"$15,001 - $50,000","Excepted Investment Fund,","$1,001 - $2,500"
1.5,AIVSX - American Funds Investment CO of America A,Mutual FundsMutual Fund,Joint,"$15,001 - $50,000","Excepted Investment Fund,","$1,001 - $2,500"
1.6,ANWPX - New Perspective Fund Class A Shares,Mutual FundsMutual Fund,Joint,"$15,001 - $50,000","Excepted Investment Fund,","$1,001 - $2,500"
1.7,VBR - Vanguard Small-Cap Value ETF,Mutual FundsExchange Traded Fund/Note,Joint,"None (or less than $1,001)","Excepted Investment Fund,","$201 - $1,000"
2,IRA #1,Retirement PlansIRA,Self,,,
2.1,"Edward Jones Investments(Streamwood, IL)Type: IRA Cash Accounts,",Bank Deposit,Self,"$1,001 - $15,000","None,",None (or less than $201)
2.2,VYM - Vanguard High Dividend Yield ETF,Mutual FundsExchange Traded Fund/Note,Self,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
2.3,VIG - Vanguard Div Appreciation ETF,Mutual FundsExchange Traded Fund/Note,Self,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
2.4,VSS - Vanguard FTSE All-Wld ex-US SmCp Idx ETF,Mutual FundsExchange Traded Fund/Note,Self,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
2.5,VWO - Vanguard FTSE Emerging Markets ETF,Mutual FundsExchange Traded Fund/Note,Self,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
2.6,VUG - Vanguard Growth ETF,Mutual FundsExchange Traded Fund/Note,Self,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
2.7,VB - Vanguard Small-Cap ETF,Mutual FundsExchange Traded Fund/Note,Self,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
2.8,BIV - Vanguard Intermediate-Term Bond ETF,Mutual FundsExchange Traded Fund/Note,Self,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
