1,State of Iowa Retirement,Retirement PlansDeferred Compensation,Self,"$1,001 - $15,000","None,",None (or less than $201)
2,State of Iowa Retirement,Retirement PlansDefined Benefit Pension Plan,Self,Unascertainable,"None,",None (or less than $201)
3,"First Interstate Bank(Omaha, NE)Type: Checking,",Bank Deposit,Self,"$1,001 - $15,000","Interest,",None (or less than $201)
4,"U.S. Senate Federal Credit Union(Washington, DC)Type: Checking, Savings,",Bank Deposit,Self,"$1,001 - $15,000","Dividends,",None (or less than $201)
5,Axos Advisor Services Roth IRAFiler comment:  E-Trade Advisor Services changed name to Axos Advisor Services,Retirement PlansIRA,Self,,,
5.1,IVV - iShares Core S&P 500 ETF,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","None,",None (or less than $201)
5.2,LQD - iShares iBoxx $ Investment Grade Corporate Bond ET,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","None,",None (or less than $201)
5.3,BIL - SPDR Bloomberg 1-3 Month T-Bill ETF,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","None,",None (or less than $201)
5.4,DWGHX - American Funds Developing World Growth and Incom,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","None,",None (or less than $201)
5.5,AMRFX - American Mutual Fund Class F-2 Shares,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","None,",None (or less than $201)
5.6,ABNFX - The Bond Fd of America Class F-2 Shares,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","None,",None (or less than $201)
5.7,WGIFX - Capital World Growth and Income Fund Class F-2 S,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","None,",None (or less than $201)
5.8,FINFX - Fundamental Investors Class F-2 Shares,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","None,",None (or less than $201)
5.9,IGFFX - International Growth and Income Fd Cl F-2 Shs,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","None,",None (or less than $201)
5.10,NEFFX - The New Economy Fund Class F-2 Shs,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","None,",None (or less than $201)
5.11,SBFFX - American Fds Short-Term Bond Fund of America C,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","None,",None (or less than $201)
5.12,SMCFX - Smallcap World Fund Inc. Class F-2 Shs,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","None,",None (or less than $201)
6,Pershing LLC,Brokerage/Managed Account,Self,,,
6.1,DODIX - Dodge & Cox Income Fund,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Dividends,","$201 - $1,000"
6.2,FIHBX - Federated Hermes Institutional High Yield Bond Fun,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Dividends,","$201 - $1,000"
6.3,FXAIX - Fidelity 500 Index Fund,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Dividends,","$201 - $1,000"
6.4,TRLGX - T. Rowe Price Large-Cap Growth Fund I Class,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Capital Gains,","$201 - $1,000"
6.5,MEIIX - MFS Value Fund Class I,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Dividends, Capital Gains,","$1,001 - $2,500"
6.6,PRRIX - PIMCO Real Return Fund Institutional Class,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Dividends,","$201 - $1,000"
6.7,PIREX - Principal Real Estate Securities Fund Institutiona,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Dividends,",None (or less than $201)
6.8,VMVAX - Vanguard Mid-Cap Value Index Fund Admiral Shares,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Dividends,","$201 - $1,000"
6.9,VIMAX - Vanguard Mid-Cap Index Fund Admiral Shares,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Dividends,",None (or less than $201)
6.10,GOSXX - Federated Hermes Govt Oblig SS,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Dividends,",None (or less than $201)
6.11,OTCIX - MFS Mid Cap Growth Fund - Class IFiler comment:  Asset was inadvertently deleted while preparing report.,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Capital Gains,",None (or less than $201)
7,Axos Advisor Services Traditional IRA,Brokerage/Managed Account,Self,,,
7.1,IVV - iShares Core S&P 500,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","None,",None (or less than $201)
7.2,LQD - iShares iBoxx $ Investment Grade Corporate Bond ET,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","None,",None (or less than $201)
7.3,BIL - SPDR Bloomberg 1-3 Month T-Bill ETF,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","None,",None (or less than $201)
7.4,MALOX - Blackrock Global Alloc I,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","None,",None (or less than $201)
7.5,SIRRX - Sierra Tactical All Asset Fund Instl Class,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","None,",None (or less than $201)
7.6,SSIRX - Sierra Tactical Core Income Fund Instl Class,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","None,",None (or less than $201)
7.7,STBJX - Sierra Tactical Bond Fund Class Institutional,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","None,",None (or less than $201)
7.8,STMEX - Sierra Tactical Municipal Fund Institutional Sha,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","None,",None (or less than $201)
7.9,SRFJX - Sierra Tactical Risk Spectrum 50 Fund Institutio,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","None,",None (or less than $201)
7.10,SWPPX - Schwab S&P 500 Index Fund- Select Shares,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","None,",None (or less than $201)
8,"Capital One(Richmond, Virginia)Type: Savings,",Bank Deposit,Self,"$15,001 - $50,000","Interest,","$201 - $1,000"
