1,State of Iowa Retirement,Retirement PlansDefined Benefit Pension Plan,Self,Unascertainable,"None,",None (or less than $201)
2,"First Interstate Bank(Omaha, NE)Type: Checking,",Bank Deposit,Self,"$1,001 - $15,000","Interest,",None (or less than $201)
3,"U.S. Senate Federal Credit Union(Washington, DC)Type: Checking, Savings,",Bank Deposit,Self,"$1,001 - $15,000","Dividends,",None (or less than $201)
4,Axos Advisor Services Roth IRA,Retirement PlansIRA,Self,,,
4.1,LQD - iShares iBoxx $ Investment Grade Corporate Bond ET,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","None,",None (or less than $201)
4.2,DWGHX - American Funds Developing World Growth and Incom,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","None,",None (or less than $201)
4.3,AMRFX - American Mutual Fund Class F-2 Shares,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","None,",None (or less than $201)
4.4,FINFX - Fundamental Investors Class F-2 Shares,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","None,",None (or less than $201)
4.5,IGFFX - International Growth and Income Fd Cl F-2 Shs,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","None,",None (or less than $201)
4.6,NEFFX - The New Economy Fund Class F-2 Shs,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","None,",None (or less than $201)
4.7,IVW - iShares S&P 500 Growth ETF,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","None,",None (or less than $201)
4.8,IVE - S&P 500 Value Ishares ETF,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","None,",None (or less than $201)
4.9,IYR - iShares U.S. Real Estate ETF,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","None,",None (or less than $201)
4.10,HYG - iShares iBoxx $ High Yield Corporate Bond ETF,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","None,",None (or less than $201)
4.11,SPY - SPDR??S&P 500? ETF Trust,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","None,",None (or less than $201)
4.12,MIAYX - American Funds Multi-Sector Income Fund Class F-,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","None,",None (or less than $201)
4.13,AIVFX - American Funds International Vantage Fund Class,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","None,",None (or less than $201)
4.14,DIA - SPDR Dow Jones Industrial Average ETF,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","None,",None (or less than $201)
5,Pershing LLC,Brokerage/Managed Account,Self,,,
5.1,DODIX - Dodge & Cox Income Fund,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Dividends,","$201 - $1,000"
5.2,FIHBX - Federated Hermes Institutional High Yield Bond Fun,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Dividends,","$201 - $1,000"
5.3,FXAIX - Fidelity 500 Index Fund,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Dividends,","$201 - $1,000"
5.4,TRLGX - T. Rowe Price Large-Cap Growth Fund I Class,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Capital Gains,","$201 - $1,000"
5.5,MEIIX - MFS Value Fund Class I,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Dividends, Capital Gains,","$1,001 - $2,500"
5.6,PRRIX - PIMCO Real Return Fund Institutional Class,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Dividends,","$201 - $1,000"
5.7,PIREX - Principal Real Estate Securities Fund Institutiona,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Dividends, Capital Gains,",None (or less than $201)
5.8,VMVAX - Vanguard Mid-Cap Value Index Fund Admiral Shares,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Dividends,","$201 - $1,000"
5.9,VIMAX - Vanguard Mid-Cap Index Fund Admiral Shares,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Dividends,",None (or less than $201)
5.10,GOSXX - Federated Hermes Govt Oblig SS,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Dividends,",None (or less than $201)
5.11,OTCIX - MFS Mid Cap Growth Fund - Class I,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Capital Gains,",None (or less than $201)
6,Axos Advisor Services Traditional IRA,Brokerage/Managed Account,Self,,,
6.1,LQD - iShares iBoxx $ Investment Grade Corporate Bond ET,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","None,",None (or less than $201)
6.2,SIRRX - Sierra Tactical All Asset Fund Instl Class,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","None,",None (or less than $201)
6.3,SSIRX - Sierra Tactical Core Income Fund Instl Class,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","None,",None (or less than $201)
6.4,STBJX - Sierra Tactical Bond Fund Class Institutional,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","None,",None (or less than $201)
6.5,STMEX - Sierra Tactical Municipal Fund Institutional Sha,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","None,",None (or less than $201)
6.6,SRFJX - Sierra Tactical Risk Spectrum 50 Fund Institutio,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","None,",None (or less than $201)
6.7,SWPPX - Schwab S&P 500 Index Fund- Select Shares,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","None,",None (or less than $201)
6.8,IVW - iShares S&P 500 Growth ETF,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","None,",None (or less than $201)
6.9,IVE - iShares S&P 500 Value ETF,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","None,",None (or less than $201)
6.10,IYR - iShares U.S. Real Estate ETF,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","None,",None (or less than $201)
6.11,HYG - iShares iBoxx $ High Yield Corporate Bond ETF,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","None,",None (or less than $201)
6.12,SPY - SPDR??S&P 500? ETF Trust,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","None,",None (or less than $201)
6.13,DIA - SPDR Dow Jones Industrial Average ETF,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","None,",None (or less than $201)
6.14,PIMIX - Pimco Income Fund Insti Class,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","None,",None (or less than $201)
