1,"Aspiration(San Francisco, CA)Type: Checking, Savings,",Bank Deposit,Joint,"$15,001 - $50,000","None,",None (or less than $201)
2,"Aspiration Fund Adviser LLCCompany: Aspiration Fund Adviser LLC (Marina Del Rey, CA) Description: Investment Advisory Services",Corporate SecuritiesNon-Public Stock,Self,"$15,001 - $50,000","None,",None (or less than $201)
3,IRA Club,Retirement PlansIRA,Self,,,
3.1,"NameCoach Inc.Company: NameCoach Inc. (Palo Alto, CA) Filer comment:  Convertible Note. Pronunciation Guide Services",Accounts ReceivableFrom a Business,Self,"$15,001 - $50,000","None,",None (or less than $201)
4,National Association of Realtors Pension Plan,Retirement PlansDefined Benefit Pension Plan,Spouse,Unascertainable,"None,",None (or less than $201)
5,UBS Simple IRA,Retirement PlansIRA,Spouse,,,
5.1,JFFCX - Jpmorgan Smartretirement 2055 Fd C,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
6,"USAA Federal Savings Bank(San Antonio, TX)Type: Checking,",Bank Deposit,Self,"$1,001 - $15,000","None,",None (or less than $201)
7,Arizona 529 PlanInstitution: Charles Schwab,Education Savings Plans529 College Savings Plan,Child,,,
7.1,Aggressive Track: 80% Equity Portfolio,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
