1,VIG-Vanguard Dividend Apprec Idx ETF,Mutual FundsExchange Traded Fund/Note,Self,"$50,001 - $100,000","Dividends,",None (or less than $201)
2,VIG - Vanguard Dividend Appreciation Index Fund ETF IRA,Mutual FundsExchange Traded Fund/Note,Self,"$15,001 - $50,000","Dividends,",None (or less than $201)
3,DODGX-Dodge & Cox Stock (NASDAQ) IRA,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Dividends, Capital Gains,",None (or less than $201)
4,DODGX - Dodge & Cox Stock (NASDAQ),Mutual FundsMutual Fund,Self,"$50,001 - $100,000","Dividends, Capital Gains,","$201 - $1,000"
5,HOVLX-Homestead Value (NASDAQ) IRA,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Dividends,",None (or less than $201)
6,HOVLX - Homestead Value (NASDAQ),Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Dividends,","$201 - $1,000"
7,TRBCX-T. Rowe Price Blue Chip Growth (NASDAQ),Mutual FundsMutual Fund,Self,"$100,001 - $250,000","Dividends,","$201 - $1,000"
8,VWUSX - Vanguard U.S. Growth Fund Investor Shares,Mutual FundsMutual Fund,Self,"$50,001 - $100,000","Dividends, Capital Gains,","$201 - $1,000"
9,yacktman fund (YACKX),Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Dividends,","$201 - $1,000"
10,MERDX - Meridian Growth Legacy (NASDAQ),Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Dividends, Capital Gains,","$201 - $1,000"
11,"US Senate Federal Credit Union (savings)(Washington,, DC)Type: Savings,",Bank Deposit,Self,"None (or less than $1,001)","None,",None (or less than $201)
12,"US Senate Federal Credit Union (checking)(Washington, DC)Type: Checking,",Bank Deposit,Self,"$1,001 - $15,000","None,",None (or less than $201)
13,"First Citizens (savings)(Columbia, SC)Type: Savings,",Bank Deposit,Self,"$15,001 - $50,000","Interest,",None (or less than $201)
14,"First Citizens (checking)(Columbia, SC)Type: Checking,",Bank Deposit,Self,"$15,001 - $50,000","Interest,",None (or less than $201)
15,"TD Ameritrade Cash Account(Omaha, NE)Type: Money Market Account,",Bank Deposit,Self,"$100,001 - $250,000","Interest,",None (or less than $201)
16,"TD Ameritrade Insured Dep. Acct. (IRA)(Omaha, NE)Type: IRA Cash Accounts,",Bank Deposit,Self,"$50,001 - $100,000","Interest,",None (or less than $201)
17,FLOT - iShares Floating Rate Bond ETF,Mutual FundsExchange Traded Fund/Note,Self,"$15,001 - $50,000","Dividends,","$201 - $1,000"
18,TFLO - iShares Treasury Floating Rate Bond ETF,Mutual FundsExchange Traded Fund/Note,Self,"$15,001 - $50,000","Dividends,","$201 - $1,000"
19,IBDQ - Dec 2025 Term Corp Ishares Ibonds ETF IRA,Mutual FundsExchange Traded Fund/Note,Self,"$15,001 - $50,000","Dividends,",None (or less than $201)
20,PRF - Invesco FTSE RAFI US 1000 ETF,Mutual FundsExchange Traded Fund/Note,Self,"$15,001 - $50,000","None,",None (or less than $201)
21,BSCP - Invesco BulletShares 2025 Corporate Bond ETF,Mutual FundsExchange Traded Fund/Note,Self,"$15,001 - $50,000","None,",None (or less than $201)
22,SYLD - Cambria Shareholder Yield ETF,Mutual FundsExchange Traded Fund/Note,Self,"$1,001 - $15,000","None,",None (or less than $201)
23,USFR - Wisdomtree Floating Rate Treasury Fund,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Dividends,","$1,001 - $2,500"
24,BSCR - Invesco BulletShares 2027 Corporate Bond ETF,Mutual FundsExchange Traded Fund/Note,Self,"$15,001 - $50,000","None,",None (or less than $201)
25,USFR - Wisdomtree Floating Rate Treasury Fund (IRA),Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Dividends,","$1,001 - $2,500"
26,XHLF - BondBloxx ETF Trust BondBloxx Bloomberg Six Month,Mutual FundsExchange Traded Fund/Note,Self,"$50,001 - $100,000","Dividends,","$201 - $1,000"
27,BSCT - Invesco BulletShares 2029 Corporate Bond ETF,Mutual FundsExchange Traded Fund/Note,Self,"$15,001 - $50,000","None,",None (or less than $201)
28,XONE - BondBloxx ETF Trust BondBloxx Bloomberg One Year T (IRA),Mutual FundsExchange Traded Fund/Note,Self,"$15,001 - $50,000","None,",None (or less than $201)
29,BSCU - Invesco BulletShares 2030 Corporate Bond ETF (IRA),Mutual FundsExchange Traded Fund/Note,Self,"$15,001 - $50,000","None,",None (or less than $201)
30,BSCS - Invesco BulletShares 2028 Corporate Bond ETF,Mutual FundsExchange Traded Fund/Note,Self,"$15,001 - $50,000","None,",None (or less than $201)
31,US Treasury NoteRate/Coupon: None  Matures: None,Government SecuritiesUS Treasury/Agency Security,Self,"$50,001 - $100,000","None,",None (or less than $201)
32,US Treasury NoteRate/Coupon: None  Matures: None,Government SecuritiesUS Treasury/Agency Security,Self,"$50,001 - $100,000","None,",None (or less than $201)
