1,"Farmer's Cooperative Co.Description: Cooperative (Readlyn, Iowa) Filer comment:  Value of asset is under reporting threshold.  This asset will be removed on the 2025 report.",Farm,Joint,"None (or less than $1,001)","None, Dividends,",None (or less than $201)
2,"Landus CooperativeDescription: Landus Cooperative (New Hartford, IA)",Farm,Joint,"$1,001 - $15,000","Dividends,","$201 - $1,000"
3,"Grassley Family Farms, L.L.C.Company: Grassley Family Farms, L.L.C. (New Hartford, Iowa) Description: L.L.C. created to hold farmland owned by Senator Grassley",Business EntityLimited Liability Company (LLC),Self,,,
3.1,"Farmstead where Senator Grassley was bornDescription: Farmstead where Senator Grassley was born (New Hartford, IA) (New Hartford, IA)",Farm,Self,"$1,001 - $15,000","None,",None (or less than $201)
3.2,"Farmland - all located in Butler County, Iowa, Beaver TownshipDescription: Sec. 24, Rng. 15-72 A (New Hartford, Iowa) (New Hartford, IA) Filer comment:  Combined Income for all farmland.  Income and cash rent.",Farm,Self,"$50,001 - $100,000","Rent/Royalties,","$100,001 - $1,000,000"
3.3,"Farmland - all located in Butler County, Iowa, Beaver TownshipDescription: Sec. 16, Rng. 15-118 A (New Hartford, IA) Filer comment:  See 3.2 for Net Income for all farmland.  Land being sold under long-term contract.",Farm,Self,"$100,001 - $250,000","Rent/Royalties,","$50,001 - $100,000"
3.4,"Farmland - all located in Butler County, Iowa, Beaver TownshipDescription: Sec. 16, Rng. 15-40 A (New Hartford, IA) Filer comment:  See 3.3 for Net Income for all farmland being sold under long-term contract.",Farm,Self,"$100,001 - $250,000","Rent/Royalties,",None (or less than $201)
3.5,"Farmland - all located in Butler County, Iowa, Beaver TownshipDescription: Sec. 15, Rng. 15-43 A (New Hartford, IA) Filer comment:  See 3.2 for Net Income for all farmland.",Farm,Self,"$50,001 - $100,000","Rent/Royalties,",None (or less than $201)
3.6,"Farmland - all located in Butler County, Iowa, Beaver TownshipDescription: Sec. 15, Rng. 15-87 A (New Hartford, IA) Filer comment:  See 3.3 for Net Income for all farmland being sold under long-term contract.",Farm,Self,"$100,001 - $250,000","Rent/Royalties,",None (or less than $201)
3.7,"Farmland - all located in Butler County, Iowa, Beaver TownshipDescription: Sec. 34 & 35, Rng. 18-120 A (New Hartford, IA) Filer comment:  See 3.2 for Net Income for all farmland.",Farm,Self,"$100,001 - $250,000","Rent/Royalties,",None (or less than $201)
3.8,"Farmland - all located in Butler County, Iowa, Beaver TownshipDescription: Sec. 34, Rng. 15-118 A (New Hartford, IA) Filer comment:  See 3.2 for Net Income for all farmland.",Farm,Self,"$100,001 - $250,000","Rent/Royalties,",None (or less than $201)
3.9,"Farm Land-All located in Butler County, Iowa, Beaver TownshipDescription: Sec. 34, Rng. 15-114 A (New Hartford, IA) Filer comment:  See 3.2 for Net Income for all farmland.",Farm,Self,"$100,001 - $250,000","Rent/Royalties,",None (or less than $201)
4,Grandchildren 529 AccountInstitution: Iowa-managed by Vangard,Education Savings Plans529 College Savings Plan,Self,,,
4.1,Moderate Growth Aged Based 19 and Older Money Market,Mutual FundsMutual Fund,Self,"$50,001 - $100,000","Excepted Investment Fund,",None (or less than $201)
4.2,Conservative Income Portfolio,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
5,Grandchildren 529 College SavingsInstitution: Iowa-managed by Vangard,Education Savings Plans529 College Savings Plan,Spouse,,,
5.1,Moderate Growth Aged Based 19 and Older Money Market,Mutual FundsMutual Fund,Spouse,"$50,001 - $100,000","Excepted Investment Fund,",None (or less than $201)
5.2,Conservative Income Portfolio,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
6,New York Life Insurance Provider: New York Life Insurance,Life InsuranceWhole,Self,"$1,001 - $15,000","Dividends,",None (or less than $201)
7,New York Life InsuranceProvider: New York Life Insurance,Life InsuranceWhole,Self,"$15,001 - $50,000","Dividends,","$201 - $1,000"
8,AuguStar FinancialProvider: AuguStar Financial Filer comment:  Formerly named Ohio National Life Insurance.,Life InsuranceWhole,Self,"$15,001 - $50,000","Dividends,","$201 - $1,000"
9,AuguStar FinancialProvider: AuguStar Financial Filer comment:  Formerly named Ohio National Life Insurance.,Life InsuranceWhole,Self,"$1,001 - $15,000","Dividends,","$201 - $1,000"
10,Metlife Insurance CompanyProvider: Metlife Insurance Company,AnnuityFixed,Spouse,"$1,001 - $15,000","Interest,",None (or less than $201)
11,"Community Bank & Trust (formerly Communiy National Bank)(Waterloo, IA)Type: Checking, Filer comment:  Barbara's personal account.  Farm checking account closed July 2024.",Bank Deposit,Joint,"$15,001 - $50,000","Interest,",None (or less than $201)
12,"Community Bank & Trust (formerly Communiy National Bank)(Waterloo, Iowa)Type: Checking, Filer comment:  Checking account for Grassley Family Farms, L.L.C.",Bank Deposit,Self,"$100,001 - $250,000","Interest,",None (or less than $201)
13,BARBARA IRA  RJ,Brokerage/Managed Account,Spouse,,,
13.1,"RAYMOND JAMES BANK DEPOSIT PROGRAM(ST PETERSBURG, FL)Type: Brokerage Sweep Account,",Bank Deposit,Spouse,"$15,001 - $50,000","Interest,",None (or less than $201)
13.2,GSFTX - Columbia Dividend Income Fund Institutional Class,Mutual FundsMutual Fund,Spouse,"$250,001 - $500,000","Excepted Investment Fund,",None (or less than $201)
13.3,IGFFX - American Funds International Growth and Income Fun,Mutual FundsMutual Fund,Spouse,"$250,001 - $500,000","Excepted Investment Fund,",None (or less than $201)
13.4,PMDIX - Principal Small-MidCap Dividend Income Fund Instit,Mutual FundsMutual Fund,Spouse,"$100,001 - $250,000","Excepted Investment Fund,",None (or less than $201)
13.5,SOPYX - ClearBridge Dividend Strategy Fund Class I,Mutual FundsMutual Fund,Spouse,"$250,001 - $500,000","Excepted Investment Fund,",None (or less than $201)
13.6,HHDFX - Hamlin High Dividend Equity Fd Inst Cl,Mutual FundsMutual Fund,Spouse,"$100,001 - $250,000","Excepted Investment Fund,",None (or less than $201)
14,GRASSLEY FREEDOM,Brokerage/Managed Account,Joint,,,
14.1,ALTVX-AllianceBern Muni Income Natl Adv (NASDAQ),Mutual FundsMutual Fund,Joint,"$100,001 - $250,000","Excepted Investment Fund,","$2,501 - $5,000"
14.2,MQGIX - MFS International Growth I (NASDAQ),Mutual FundsMutual Fund,Joint,"$50,001 - $100,000","Excepted Investment Fund,","$1,001 - $2,500"
14.3,MRFIX - MFS Research Fund Class I,Mutual FundsMutual Fund,Joint,"$250,001 - $500,000","Excepted Investment Fund,","$5,001 - $15,000"
14.4,PRINX - T. Rowe Price Summit Municipal Inc (NASDAQ),Mutual FundsMutual Fund,Joint,"$100,001 - $250,000","Excepted Investment Fund,","$5,001 - $15,000"
14.5,"RAYMOND JAMES BANK DEPOSIT PROGRAM(ST PETERSBURG, FL)Type: Brokerage Sweep Account,",Bank Deposit,Joint,"$15,001 - $50,000","Interest,",None (or less than $201)
14.6,ARSIX - ASTON/River Road Small Cap Value I (NASDAQ),Mutual FundsMutual Fund,Joint,"$50,001 - $100,000","Excepted Investment Fund,","$1,001 - $2,500"
14.7,CISMX-Clarkston Partners InstitutionalFiler comment:  Sold 8-8-24,Mutual FundsMutual Fund,Joint,"None (or less than $1,001)","Excepted Investment Fund,",None (or less than $201)
14.8,MYSIX-Victory Trivalent International Sm-Cp Y,Mutual FundsMutual Fund,Joint,"$15,001 - $50,000","Excepted Investment Fund,","$1,001 - $2,500"
14.9,GSFTX - Columbia Dividend Income Fund Institutional ClassFiler comment:  Sold 8-8-24,Mutual FundsMutual Fund,Joint,"None (or less than $1,001)","Excepted Investment Fund,","$201 - $1,000"
14.10,PRCOX - T. Rowe Price U.S. Equity Research Fund,Mutual FundsMutual Fund,Joint,"$250,001 - $500,000","Excepted Investment Fund,","$1,001 - $2,500"
14.11,WIAEX - Wasatch Small Cap Growth Fund Institutional Class,Mutual FundsMutual Fund,Joint,"$50,001 - $100,000","Excepted Investment Fund,",None (or less than $201)
14.12,BAFGX - Brown Advisory Growth Equity Fund Institutional ShFiler comment:  Sold 2-15-24,Mutual FundsMutual Fund,Joint,"None (or less than $1,001)","Excepted Investment Fund,",None (or less than $201)
14.13,TROSX - T. Rowe Price Overseas Stock Fund,Mutual FundsMutual Fund,Joint,"$50,001 - $100,000","Excepted Investment Fund,","$1,001 - $2,500"
14.14,MADVX - Blackrock Eq Dividend I,Mutual FundsMutual Fund,Joint,"$100,001 - $250,000","Excepted Investment Fund,","$5,001 - $15,000"
14.15,DFMLX - Df Dent Midcap Growth Fund - Institutional PlusFiler comment:  sold 8-8-24,Mutual FundsMutual Fund,Joint,"None (or less than $1,001)","Excepted Investment Fund,",None (or less than $201)
14.16,JMIEX - Jpmorgan Emerging Markets Equity Fund Class L,Mutual FundsMutual Fund,Joint,"$50,001 - $100,000","Excepted Investment Fund,","$201 - $1,000"
14.17,WFMIX - Allspring Special Mid Cap Value Fund Insti Class,Mutual FundsMutual Fund,Joint,"$50,001 - $100,000","Excepted Investment Fund,","$2,501 - $5,000"
14.18,JMGRX - Janus Henderson Enterprise Fund - I SharesFiler comment:  Purchase 8-8-24,Mutual FundsMutual Fund,Joint,"$50,001 - $100,000","Excepted Investment Fund,","$1,001 - $2,500"
14.19,PBCKX - Principal Funds Inc. Blue Chip Fd Inst ClFiler comment:  Purchased 2-15-24,Mutual FundsMutual Fund,Joint,"$100,001 - $250,000","Excepted Investment Fund,","$1,001 - $2,500"
15,CHUCK SEP IRA,Brokerage/Managed Account,Self,,,
15.1,ARIDX-ASTON/River Road Dividend All Cap Val I (NASDAQ)Filer comment:  Sold 2-13-24,Mutual FundsMutual Fund,Self,"None (or less than $1,001)","Excepted Investment Fund,",None (or less than $201)
15.2,CAIFX-American Funds Capital Inc Bldr F2 (NASDAQ),Mutual FundsExchange Traded Fund/Note,Self,"$50,001 - $100,000","Excepted Investment Fund,",None (or less than $201)
15.3,SVAIX-Federated Strategic Value Dividend Instl (NASDAQ),Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
15.4,EPSYX - Mainstay Epoch Global Equity Yield Fund Class I,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
15.5,PPSIX - Principal Preferred Securities Inst,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
15.6,"RAYMOND JAMES BANK DEPOSIT PROGRAM(ST PETERSBURG, FL)Type: Brokerage Sweep Account,",Bank Deposit,Self,"$1,001 - $15,000","Interest,",None (or less than $201)
15.7,IGFFX-American Funds Intl Gr and Inc F2,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
15.8,GSFTX-Columbia Dividend Income Z,Mutual FundsMutual Fund,Self,"$50,001 - $100,000","Excepted Investment Fund,",None (or less than $201)
15.9,HHDFX-Hamlin High Dividend Equity Instl,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
15.10,BIICX-BlackRock Multi-Asset Income Instl,Mutual FundsMutual Fund,Self,"$50,001 - $100,000","Excepted Investment Fund,",None (or less than $201)
15.11,VYM - Vanguard High Dividend Yield ETF,Mutual FundsExchange Traded Fund/Note,Self,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
15.12,GLIFX - Lazard Global Listed Infrastructure Portfolio Inst,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
15.13,VDIGX - Vanguard Dividend Growth Fund Investor Shares,Mutual FundsMutual Fund,Self,"$50,001 - $100,000","Excepted Investment Fund,",None (or less than $201)
15.14,VIG - Vanguard Div Appreciation ETFFiler comment:  Purchased 2-12-24 & 4-4-24,Mutual FundsExchange Traded Fund/Note,Self,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
16,GRASSLEY CAPITAL ACCESS JOINT,Brokerage/Managed Account,Joint,,,
16.1,NEA-Nuveen AMT-Free Quality Municipal Income Fund,Mutual FundsExchange Traded Fund/Note,Joint,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
16.2,"RAYMOND JAMES BANK DEPOSIT PROGRAM(ST PETERSBURG, FL)Type: Brokerage Sweep Account,",Bank Deposit,Joint,"$50,001 - $100,000","Interest,",None (or less than $201)
17,AXA EQUITABLE LIFE INS ACCUMULATORProvider: AXA,AnnuityVariable Annuity,Self,,,
17.1,AXA INTL VALUE VOLATILITY,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
17.2,EQ/CORE BOND INDEX,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
17.3,AXA MID CAP VALUE VOLAT,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
17.4,EQ/EQUITY 500 INDEX,Mutual FundsMutual Fund,Self,"$100,001 - $250,000","Excepted Investment Fund,",None (or less than $201)
18,Barbara Grassley RJ Account,Brokerage/Managed Account,Spouse,,,
18.1,AMRMX - American Funds American Mutual A,Mutual FundsMutual Fund,Spouse,"$50,001 - $100,000","Excepted Investment Fund,","$1,001 - $2,500"
