1,"BankProv(Amesbury, MA)Type: Checking, Filer comment:  Formerly known as The Provident Bank",Bank Deposit,Joint,"$500,001 - $1,000,000","Interest,","$201 - $1,000"
2,Northwestern Mutual Adjustable Comp LifeProvider: Northwestern Mutual,Life InsuranceWhole,Self,"$100,001 - $250,000","Dividends,","$2,501 - $5,000"
3,Northwestern Mutual Whole LifeProvider: Northwestern Mutual,Life InsuranceWhole,Self,"$50,001 - $100,000","Dividends,","$1,001 - $2,500"
4,Northwestern Mutual Whole Life Policy Provider: Northwestern Mutual,Life InsuranceWhole,Spouse,"$15,001 - $50,000","Dividends,","$201 - $1,000"
5,Northwestern Mutual Adjustable Comp Life Provider: Northwestern Mutual,Life InsuranceWhole,Spouse,"$100,001 - $250,000","Dividends,","$1,001 - $2,500"
6,Northwestern Mutual Adjustable Comp LifeProvider: Northwestern Mutual,Life InsuranceWhole,Spouse,"$50,001 - $100,000","Dividends,","$1,001 - $2,500"
7,"Citizens Bank(Medford, MA)Type: Certificate of Deposit,",Bank Deposit,Joint,"$1,001 - $15,000","None,",None (or less than $201)
8,Citizens Bank IRA CD,Retirement PlansIRA,Self,,,
8.1,"Citizens Bank(Medford, MA)Type: Certificate of Deposit,",Bank Deposit,Self,"$15,001 - $50,000","None,",None (or less than $201)
9,"Onadune, LLCCompany: Onadune, LLC (Boston, MA) Description: Shared ownership of rental property in RI",Business EntityLimited Liability Company (LLC),Self,,,
9.1,"OnaduneDescription: Vacation/Rental Property (Little Compton, RI)",Real EstateResidential,Self,"$100,001 - $250,000","Rent/Royalties,","$5,001 - $15,000"
10,"Onadune, LLCCompany: Onadune, LLC (Boston, MA) Description: Shared ownership of rental property in RI",Business EntityLimited Liability Company (LLC),Spouse,,,
10.1,"OnaduneDescription: Vacation/Rental Property (Little Compton, RI)",Real EstateResidential,Spouse,"$15,001 - $50,000","Rent/Royalties,","$1,001 - $2,500"
11,Charles Schwab - Rollover IRA,Retirement PlansIRA,Spouse,,,
11.1,"Charles Schwab Bank(Westlake, TX)Type: Brokerage Sweep Account,",Bank Deposit,Spouse,"$15,001 - $50,000","None,",None (or less than $201)
11.2,AMLP - Alerian MLP ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"None (or less than $1,001)","Excepted Investment Fund,",None (or less than $201)
11.3,PSP - Invesco Global Listed Private Equity ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
11.4,SLVP - iShares MSCI Global Silver Miners ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"None (or less than $1,001)","Excepted Investment Fund,",None (or less than $201)
11.5,IXC - iShares Global Energy ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
11.6,IYE - iShares U.S. Energy ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"None (or less than $1,001)","Excepted Investment Fund,",None (or less than $201)
11.7,TIP - iShares TIPS Bond ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$100,001 - $250,000","Excepted Investment Fund,",None (or less than $201)
11.8,JNK - SPDR Bloomberg Barclays High Yield Bond ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
11.9,YYY - YieldShares High Income ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
11.10,DBC - Invesco DB Commodity Index Tracking Fund,Mutual FundsExchange Traded Fund/Note,Spouse,"$50,001 - $100,000","Excepted Investment Fund,",None (or less than $201)
11.11,AWF - AllianceBernstein Global High Income Fund,Mutual FundsMutual Fund,Spouse,"$50,001 - $100,000","Excepted Investment Fund,",None (or less than $201)
11.12,FHLC - Fidelity MSCI Health Care Index ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"None (or less than $1,001)","Excepted Investment Fund,",None (or less than $201)
11.13,EEM - iShares MSCI Emerging Markets ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
11.14,RING - iShares MSCI Global Gold Miners ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"None (or less than $1,001)","Excepted Investment Fund,",None (or less than $201)
11.15,HYS - PIMCO 0-5 Year High Yield Corporate Bond Index Exc,Mutual FundsExchange Traded Fund/Note,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
11.16,XLV - Health Care Select Sector SPDR Fund,Mutual FundsExchange Traded Fund/Note,Spouse,"None (or less than $1,001)","Excepted Investment Fund,",None (or less than $201)
11.17,VIS - Vanguard Industrials Index Fund ETF Shares,Mutual FundsExchange Traded Fund/Note,Spouse,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
11.18,VTV - Vanguard Value Index Fund ETF Shares,Mutual FundsExchange Traded Fund/Note,Spouse,"$100,001 - $250,000","Excepted Investment Fund,",None (or less than $201)
11.19,IYF - iShares U.S. Financials ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"None (or less than $1,001)","Excepted Investment Fund,",None (or less than $201)
11.20,VTI - Vanguard Total Stock Market Index Fund ETF Shares,Mutual FundsExchange Traded Fund/Note,Spouse,"$50,001 - $100,000","Excepted Investment Fund,",None (or less than $201)
11.21,DES - WisdomTree U.S. SmallCap Dividend Fund,Mutual FundsExchange Traded Fund/Note,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
11.22,QQQ - Invesco QQQ Trust,Mutual FundsExchange Traded Fund/Note,Spouse,"$50,001 - $100,000","Excepted Investment Fund,",None (or less than $201)
11.23,LQD - iShares iBoxx $ Investment Grade Corporate Bond ET,Mutual FundsExchange Traded Fund/Note,Spouse,"$50,001 - $100,000","Excepted Investment Fund,",None (or less than $201)
11.24,SHY - iShares 1-3 Year Treasury Bond ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
11.25,SCZ - iShares MSCI EAFE Small-Cap ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
11.26,IWC - iShares Micro-Cap ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
11.27,BND - Vanguard Total Bond Market Index Fund ETF Shares,Mutual FundsExchange Traded Fund/Note,Spouse,"$100,001 - $250,000","Excepted Investment Fund,",None (or less than $201)
11.28,VEA - Vanguard FTSE Developed Markets Index Fund ETF Sha,Mutual FundsExchange Traded Fund/Note,Spouse,"$50,001 - $100,000","Excepted Investment Fund,",None (or less than $201)
11.29,VNQI - Vanguard Global ex-U.S. Real Estate Index Fund ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
11.30,VWO - Vanguard FTSE Emerging Markets Index Fund ETF Shar,Mutual FundsExchange Traded Fund/Note,Spouse,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
11.31,VOE - Vanguard Mid-Cap Value Index Fund ETF Shares,Mutual FundsExchange Traded Fund/Note,Spouse,"$50,001 - $100,000","Excepted Investment Fund,",None (or less than $201)
11.32,VOT - Vanguard Mid-Cap Growth Index Fund ETF Shares,Mutual FundsExchange Traded Fund/Note,Spouse,"$50,001 - $100,000","Excepted Investment Fund,",None (or less than $201)
11.33,VNQ - Vanguard Real Estate Index Fund ETF Shares,Mutual FundsExchange Traded Fund/Note,Spouse,"None (or less than $1,001)","Excepted Investment Fund,",None (or less than $201)
11.34,VBK - Vanguard Small-Cap Growth Index Fund ETF Shares,Mutual FundsExchange Traded Fund/Note,Spouse,"$50,001 - $100,000","Excepted Investment Fund,",None (or less than $201)
11.35,VBR - Vanguard Small-Cap Value Index Fund ETF Shares,Mutual FundsExchange Traded Fund/Note,Spouse,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
11.36,VUG - Vanguard Growth Index Fund ETF Shares,Mutual FundsExchange Traded Fund/Note,Spouse,"$100,001 - $250,000","Excepted Investment Fund,",None (or less than $201)
11.37,VV - Vanguard Large-Cap ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
11.38,IYY - iShares Dow Jones U.S. ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
12,Charles Schwab - Rollover IRA,Retirement PlansIRA,Self,,,
12.1,AMLP - Alerian MLP ETF,Mutual FundsExchange Traded Fund/Note,Self,"None (or less than $1,001)","Excepted Investment Fund,",None (or less than $201)
12.2,PSP - Invesco Global Listed Private Equity ETF,Mutual FundsExchange Traded Fund/Note,Self,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
12.3,IXC - iShares Global Energy ETF,Mutual FundsExchange Traded Fund/Note,Self,"None (or less than $1,001)","Excepted Investment Fund,",None (or less than $201)
12.4,TIP - iShares TIPS Bond ETF,Mutual FundsExchange Traded Fund/Note,Self,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
12.5,JNK - SPDR Bloomberg Barclays High Yield Bond ETF,Mutual FundsExchange Traded Fund/Note,Self,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
12.6,DBC - Invesco DB Commodity Index Tracking Fund,Mutual FundsExchange Traded Fund/Note,Self,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
12.7,AWF - AllianceBernstein Global High Income Fund,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
12.8,"Charles Schwab Bank(Westlake, TX)Type: Brokerage Sweep Account,",Bank Deposit,Self,"$1,001 - $15,000","None,",None (or less than $201)
12.9,LQD - iShares iBoxx $ Investment Grade Corporate Bond ET,Mutual FundsExchange Traded Fund/Note,Self,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
12.10,SHY - iShares 1-3 Year Treasury Bond ETF,Mutual FundsExchange Traded Fund/Note,Self,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
12.11,IYF - iShares U.S. Financials ETF,Mutual FundsExchange Traded Fund/Note,Self,"None (or less than $1,001)","Excepted Investment Fund,",None (or less than $201)
12.12,SCZ - iShares MSCI EAFE Small-Cap ETF,Mutual FundsExchange Traded Fund/Note,Self,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
12.13,IWC - iShares Micro-Cap ETF,Mutual FundsExchange Traded Fund/Note,Self,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
12.14,BND - Vanguard Total Bond Market Index Fund ETF Shares,Mutual FundsExchange Traded Fund/Note,Self,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
12.15,VEA - Vanguard FTSE Developed Markets Index Fund ETF Sha,Mutual FundsExchange Traded Fund/Note,Self,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
12.16,VNQI - Vanguard Global ex-U.S. Real Estate Index Fund ETF,Mutual FundsExchange Traded Fund/Note,Self,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
12.17,VWO - Vanguard FTSE Emerging Markets Index Fund ETF Shar,Mutual FundsExchange Traded Fund/Note,Self,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
12.18,VOE - Vanguard Mid-Cap Value Index Fund ETF Shares,Mutual FundsExchange Traded Fund/Note,Self,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
12.19,VOT - Vanguard Mid-Cap Growth Index Fund ETF Shares,Mutual FundsExchange Traded Fund/Note,Self,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
12.20,VNQ - Vanguard Real Estate Index Fund ETF Shares,Mutual FundsExchange Traded Fund/Note,Self,"None (or less than $1,001)","Excepted Investment Fund,",None (or less than $201)
12.21,VBK - Vanguard Small-Cap Growth Index Fund ETF Shares,Mutual FundsExchange Traded Fund/Note,Self,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
12.22,VBR - Vanguard Small-Cap Value Index Fund ETF Shares,Mutual FundsExchange Traded Fund/Note,Self,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
12.23,VUG - Vanguard Growth Index Fund ETF Shares,Mutual FundsExchange Traded Fund/Note,Self,"$50,001 - $100,000","Excepted Investment Fund,",None (or less than $201)
12.24,VTV - Vanguard Value Index Fund ETF Shares,Mutual FundsExchange Traded Fund/Note,Self,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
12.25,VTI - Vanguard Total Stock Market Index Fund ETF Shares,Mutual FundsExchange Traded Fund/Note,Self,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
12.26,IYY - iShares Dow Jones U.S. ETF,Mutual FundsExchange Traded Fund/Note,Self,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
13,"Fidelity Partners Healthcare System, Inc. Retirement Plan",Retirement PlansDefined Contribution Pension Plan,Self,,,
13.1,VTTVX - Vanguard Target Retirement 2025 Fund,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
14,Charles Schwab - Brokerage,Brokerage/Managed Account,Joint,,,
14.1,"Charles Schwab(Westlake, TX)Type: Brokerage Sweep Account,",Bank Deposit,Joint,"$15,001 - $50,000","None,",None (or less than $201)
14.2,AWF - AllianceBernstein Global High Income Fund,Mutual FundsMutual Fund,Joint,"$50,001 - $100,000","Excepted Investment Fund,","$2,501 - $5,000"
14.3,AMLP - Alerian MLP ETF,Mutual FundsExchange Traded Fund/Note,Joint,"None (or less than $1,001)","Excepted Investment Fund,",None (or less than $201)
14.4,YYY - Amplify High Income ETF,Mutual FundsExchange Traded Fund/Note,Joint,"$1,001 - $15,000","Excepted Investment Fund,","$1,001 - $2,500"
14.5,DBC - Invesco DB Commodity Index Tracking Fund,Mutual FundsExchange Traded Fund/Note,Joint,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
14.6,SLVP - iShares MSCI Global Silver Miners ETF,Mutual FundsExchange Traded Fund/Note,Joint,"None (or less than $1,001)","Excepted Investment Fund,","$201 - $1,000"
14.7,DVY - iShares Select Dividend ETF,Mutual FundsExchange Traded Fund/Note,Joint,"$15,001 - $50,000","Excepted Investment Fund,","$201 - $1,000"
14.8,TIP - iShares TIPS Bond ETF,Mutual FundsExchange Traded Fund/Note,Joint,"$50,001 - $100,000","Excepted Investment Fund,","$1,001 - $2,500"
14.9,JNK - SPDR Bloomberg Barclays High Yield Bond ETF,Mutual FundsExchange Traded Fund/Note,Joint,"$15,001 - $50,000","Excepted Investment Fund,","$201 - $1,000"
14.10,BND - Vanguard Total Bond Market Index Fund ETF Shares,Mutual FundsExchange Traded Fund/Note,Joint,"$15,001 - $50,000","Excepted Investment Fund,","$201 - $1,000"
14.11,VNQ - Vanguard Real Estate Index Fund ETF Shares,Mutual FundsExchange Traded Fund/Note,Joint,"None (or less than $1,001)","Excepted Investment Fund,","$2,501 - $5,000"
14.12,FHLC - Fidelity MSCI Health Care Index ETF,Mutual FundsExchange Traded Fund/Note,Joint,"None (or less than $1,001)","Excepted Investment Fund,","$1,001 - $2,500"
14.13,RING - iShares MSCI Global Gold Miners ETF,Mutual FundsExchange Traded Fund/Note,Joint,"None (or less than $1,001)","Excepted Investment Fund,","$201 - $1,000"
14.14,HYS - PIMCO 0-5 Year High Yield Corporate Bond Index Exc,Mutual FundsExchange Traded Fund/Note,Joint,"$1,001 - $15,000","Excepted Investment Fund,","$201 - $1,000"
14.15,VTI - Vanguard Total Stock Market Index Fund ETF Shares,Mutual FundsExchange Traded Fund/Note,Joint,"$15,001 - $50,000","Excepted Investment Fund,","$201 - $1,000"
14.16,"QQQ - Invesco QQQ Trust, Series 1",Mutual FundsExchange Traded Fund/Note,Joint,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
14.17,VTV - Vanguard Value ETF,Mutual FundsExchange Traded Fund/Note,Joint,"$15,001 - $50,000","Excepted Investment Fund,","$201 - $1,000"
14.18,IYY - iShares Dow Jones U.S. ETF,Mutual FundsExchange Traded Fund/Note,Joint,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
14.19,VUG - Vanguard Growth ETF,Mutual FundsExchange Traded Fund/Note,Joint,"$50,001 - $100,000","Excepted Investment Fund,",None (or less than $201)
15,TIAA-CREF Retirement Plan - Phillips Exeter Academy,Retirement PlansDefined Contribution Pension Plan,Spouse,,,
15.1,TIAA TraditionalProvider: TIAA-CREF,AnnuityFixed,Spouse,"$250,001 - $500,000","Excepted Investment Fund,",None (or less than $201)
16,TIAA-CREF Retirement Plan - Wesleyan University,Retirement PlansDeferred Compensation,Spouse,,,
16.1,TIAA TraditionalProvider: TIAA-CREF,AnnuityFixed,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
17,TIAA-CREF Retirement Plan - School Year Abroad 403(b) DC Plan,Retirement PlansDefined Contribution Pension Plan,Spouse,,,
17.1,QCMMRX - College Retirement Equities Fund - CREF Money Mark,Mutual FundsMutual Fund,Spouse,"$250,001 - $500,000","Excepted Investment Fund,",None (or less than $201)
18,TIAA-CREF Retirement Plan - School Year Abroad 403(b) TDA Plan,Retirement PlansDeferred Compensation,Spouse,,,
