1,"BankProv(Amesbury, MA)Type: Checking,",Bank Deposit,Joint,"$50,001 - $100,000","None,",None (or less than $201)
2,Northwestern Mutual Adjustable Comp LifeProvider: Northwestern Mutual,Life InsuranceWhole,Self,"$100,001 - $250,000","Dividends,","$2,501 - $5,000"
3,Northwestern Mutual Whole LifeProvider: Northwestern Mutual,Life InsuranceWhole,Self,"$50,001 - $100,000","Dividends,","$1,001 - $2,500"
4,Northwestern Mutual Whole Life Policy Provider: Northwestern Mutual,Life InsuranceWhole,Spouse,"$15,001 - $50,000","Dividends,","$201 - $1,000"
5,Northwestern Mutual Adjustable Comp Life Provider: Northwestern Mutual,Life InsuranceWhole,Spouse,"$100,001 - $250,000","Dividends,","$2,501 - $5,000"
6,Northwestern Mutual Adjustable Comp LifeProvider: Northwestern Mutual,Life InsuranceWhole,Spouse,"$50,001 - $100,000","Dividends,","$1,001 - $2,500"
7,"Citizens Bank(Medford, MA)Type: Certificate of Deposit,",Bank Deposit,Joint,"None (or less than $1,001)","None,",None (or less than $201)
8,Citizens Bank IRA CD,Retirement PlansIRA,Self,,,
8.1,"Citizens Bank(Medford, MA)Type: Certificate of Deposit,",Bank Deposit,Self,"$15,001 - $50,000","None,",None (or less than $201)
9,"Onadune, LLCCompany: Onadune, LLC (Boston, MA) Description: Shared ownership of rental property in RI",Business EntityLimited Liability Company (LLC),Self,,,
9.1,"OnaduneDescription: Vacation/Rental Property (Little Compton, RI)",Real EstateResidential,Self,"$100,001 - $250,000","Rent/Royalties,","$1,001 - $2,500"
10,"Onadune, LLCCompany: Onadune, LLC (Boston, MA) Description: Shared ownership of rental property in RI",Business EntityLimited Liability Company (LLC),Spouse,,,
10.1,"OnaduneDescription: Vacation/Rental Property (Little Compton, RI)",Real EstateResidential,Spouse,"$15,001 - $50,000","Rent/Royalties,","$201 - $1,000"
11,Fidelity - Rollover IRAFiler comment:  Account transferred from Charles Schwab,Retirement PlansIRA,Spouse,,,
11.1,PSP - Invesco Global Listed Private Equity ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
11.2,IXC - iShares Global Energy ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
11.3,TIP - iShares TIPS Bond ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$100,001 - $250,000","Excepted Investment Fund,",None (or less than $201)
11.4,JNK - SPDR Bloomberg Barclays High Yield Bond ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
11.5,YYY - Amplify High Income ETFFiler comment:  Formerly reported as YYY - YieldShares High Income ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
11.6,DBC - Invesco DB Commodity Index Tracking Fund,Mutual FundsExchange Traded Fund/Note,Spouse,"$50,001 - $100,000","Excepted Investment Fund,",None (or less than $201)
11.7,AWF - AllianceBernstein Global High Income Fund,Mutual FundsMutual Fund,Spouse,"$50,001 - $100,000","Excepted Investment Fund,",None (or less than $201)
11.8,EEM - iShares MSCI Emerging Markets ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
11.9,HYS - PIMCO 0-5 Year High Yield Corporate Bond Index Exc,Mutual FundsExchange Traded Fund/Note,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
11.10,VIS - Vanguard Industrials Index Fund ETF Shares,Mutual FundsExchange Traded Fund/Note,Spouse,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
11.11,VTV - Vanguard Value ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$100,001 - $250,000","Excepted Investment Fund,",None (or less than $201)
11.12,VTI - Vanguard Total Stock Market Index Fund ETF Shares,Mutual FundsExchange Traded Fund/Note,Spouse,"$50,001 - $100,000","Excepted Investment Fund,",None (or less than $201)
11.13,DES - WisdomTree U.S. SmallCap Dividend Fund,Mutual FundsExchange Traded Fund/Note,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
11.14,QQQ - Invesco QQQ Trust,Mutual FundsExchange Traded Fund/Note,Spouse,"$100,001 - $250,000","Excepted Investment Fund,",None (or less than $201)
11.15,LQD - iShares iBoxx $ Investment Grade Corporate Bond ET,Mutual FundsExchange Traded Fund/Note,Spouse,"$50,001 - $100,000","Excepted Investment Fund,",None (or less than $201)
11.16,SHY - iShares 1-3 Year Treasury Bond ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
11.17,SCZ - iShares MSCI EAFE Small-Cap ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
11.18,IWC - iShares Micro-Cap ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
11.19,BND - Vanguard Total Bond Market Index Fund ETF Shares,Mutual FundsExchange Traded Fund/Note,Spouse,"$100,001 - $250,000","Excepted Investment Fund,",None (or less than $201)
11.20,VEA - Vanguard FTSE Developed Markets Index Fund ETF Sha,Mutual FundsExchange Traded Fund/Note,Spouse,"$50,001 - $100,000","Excepted Investment Fund,",None (or less than $201)
11.21,VNQI - Vanguard Global ex-U.S. Real Estate Index Fund ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
11.22,VWO - Vanguard FTSE Emerging Markets Index Fund ETF Shar,Mutual FundsExchange Traded Fund/Note,Spouse,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
11.23,VOE - Vanguard Mid-Cap Value Index Fund ETF Shares,Mutual FundsExchange Traded Fund/Note,Spouse,"$50,001 - $100,000","Excepted Investment Fund,",None (or less than $201)
11.24,VOT - Vanguard Mid-Cap Growth Index Fund ETF Shares,Mutual FundsExchange Traded Fund/Note,Spouse,"$50,001 - $100,000","Excepted Investment Fund,",None (or less than $201)
11.25,VBK - Vanguard Small-Cap Growth Index Fund ETF Shares,Mutual FundsExchange Traded Fund/Note,Spouse,"$50,001 - $100,000","Excepted Investment Fund,",None (or less than $201)
