1,"Bank of America(Columbia, MO)Type: Checking, Savings,",Bank Deposit,Joint,"$15,001 - $50,000","Interest,",None (or less than $201)
2,Missouri 529 AccountInstitution: State of Missouri,Education Savings Plans529 College Savings Plan,Self,,,
2.1,Vanguard Aggressive Growth Portfolio,Mutual FundsMutual Fund,Self,"$100,001 - $250,000","Excepted Investment Fund,",None (or less than $201)
3,T Rowe Price,Retirement PlansIRA,Spouse,,,
3.1,PRWCX - T. Rowe Price Capital Appreciation Fund,Mutual FundsMutual Fund,Spouse,"$50,001 - $100,000","None,",None (or less than $201)
3.2,RPMGX - T. Rowe Price Mid-Cap Growth Fund,Mutual FundsMutual Fund,Spouse,"$100,001 - $250,000","None,",None (or less than $201)
4,Bank of America IRA,Retirement PlansIRA,Self,,,
4.1,"Bank of America IRA(Columbia, MO)Type: Certificate of Deposit,",Bank Deposit,Self,"$1,001 - $15,000","None,",None (or less than $201)
5,Missouri Deferred Compensation,Deferred CompensationDeferred Compensation - Other,Self,,,
5.1,Missouri Target Date 2045 Fund,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","None,",None (or less than $201)
6,MOSERS Pension,Retirement PlansDefined Benefit Pension Plan,Self,"$1,001 - $15,000","None,",None (or less than $201)
7,University of Missouri Retirement Plan,Retirement PlansDeferred Compensation,Self,,,
7.1,FCNTX - Fidelity Contrafund Fund,Mutual FundsMutual Fund,Self,"$50,001 - $100,000","None,",None (or less than $201)
7.2,FSNZX - Fidelity Freedom 2045 Fund Class K,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","None,",None (or less than $201)
8,University of Missouri Retirement Plan,Retirement PlansDeferred Compensation,Spouse,,,
8.1,FCNKX - Fidelity Contrafund Fund Class K,Mutual FundsMutual Fund,Spouse,"$100,001 - $250,000","None,",None (or less than $201)
8.2,FSNZX - Fidelity Freedom 2045 Fund Class K,Mutual FundsMutual Fund,Spouse,"$50,001 - $100,000","None,",None (or less than $201)
9,"University of Missouri Retirement, Disability, and Death Benefit Plan",Retirement PlansDefined Benefit Pension Plan,Spouse,"$15,001 - $50,000","None,",None (or less than $201)
10,"Cowboy Rose Cattle Company LLCCompany: Cowboy Rose Cattle Company LLC (Folsom, NM) Description: Ranch-agriculture and livestock Filer comment:  Spouse holds one-third interest.",Business EntityLimited Liability Company (LLC),Spouse,,,
10.1,"Winecup RanchDescription: Ranch-agriculture and livestock (Folsom, NM) Filer comment:  Spouse holds 1/3 interest in this asset.  Asset value and income is spouse's proportionate share.",Farm,Spouse,"Over $1,000,000 and held independently by spouse or dependent child","Rent/Royalties,","$15,001 - $50,000"
10.2,"Bank of America(Columbia, MO)Type: Checking, Savings,",Bank Deposit,Spouse,"$50,001 - $100,000","Interest,",None (or less than $201)
11,Spouse IRA,Retirement PlansIRA,Spouse,,,
11.1,ISTB - iShares Core 1-5 Year USD Bond ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$1,001 - $15,000","None,",None (or less than $201)
11.2,IEFA - iShares Core MSCI EAFE ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$15,001 - $50,000","None,",None (or less than $201)
11.3,IJR - iShares Core S&P Small-Cap ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$1,001 - $15,000","None,",None (or less than $201)
11.4,NWJVX - Nationwide Loomis Short Term Bond Fund Institution,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","None,",None (or less than $201)
