1,Scholar's Edge 529Institution: The Education Trust Board of New Mexico,Education Savings Plans529 College Savings Plan,Spouse,,,
1.1,Scholar's Edge Today Portfolio A,Mutual FundsMutual Fund,Spouse,"$50,001 - $100,000","None,",None (or less than $201)
1.2,Scholar's Edge Conservative Portfolio A,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","None,",None (or less than $201)
2,"Congressional Federal Credit Union(Washington, DC)Type: Checking, Savings,",Bank Deposit,Self,"$15,001 - $50,000","Interest,",None (or less than $201)
3,"Congressional Federal Credit Union(Washington, DC)Type: Checking, Savings,",Bank Deposit,Spouse,"$1,001 - $15,000","Interest,",None (or less than $201)
4,"Congressional Federal Credit Union(Washington, DC)Type: Checking, Savings,",Bank Deposit,Child,"None (or less than $1,001)","None,",None (or less than $201)
5,"Congressional Federal Credit Union(Washington, DC)Type: Checking, Savings,",Bank Deposit,Child,"$1,001 - $15,000","None,",None (or less than $201)
6,"NUSENDA Credit Union(Albuquerque, NM)Type: Checking, Savings,",Bank Deposit,Child,"$1,001 - $15,000","None,",None (or less than $201)
7,Martin Heinrich IRA,Retirement PlansIRA,Self,,,
7.1,FNIAX-Fidelity Advisor New Insights A (NASDAQ),Mutual FundsMutual Fund,Self,"$15,001 - $50,000","None,",None (or less than $201)
7.2,FSTAX-Fidelity Advisor Strategic Income A (NASDAQ),Mutual FundsMutual Fund,Self,"$1,001 - $15,000","None,",None (or less than $201)
7.3,FSCDX-Fidelity Advisor Small Cap A (NASDAQ),Mutual FundsMutual Fund,Self,"$1,001 - $15,000","None,",None (or less than $201)
7.4,FIIAX-Fidelity Advisor Mid Cap II A (NASDAQ),Mutual FundsMutual Fund,Self,"$1,001 - $15,000","None,",None (or less than $201)
7.5,FDAGX-Fidelity Advisor Consumer Staples A (NASDAQ),Mutual FundsMutual Fund,Self,"$1,001 - $15,000","None,",None (or less than $201)
8,Julie Heinrich IRA,Retirement PlansIRA,Spouse,,,
8.1,FDAGX-Fidelity Advisor Consumer Staples A (NASDAQ),Mutual FundsMutual Fund,Spouse,"None (or less than $1,001)","None,",None (or less than $201)
8.2,FNIAX-Fidelity Advisor New Insights A (NASDAQ),Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","None,",None (or less than $201)
8.3,FSCDX-Fidelity Advisor Small Cap A (NASDAQ),Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","None,",None (or less than $201)
8.4,FSTAX-Fidelity Advisor Strategic Income A (NASDAQ),Mutual FundsMutual Fund,Spouse,"None (or less than $1,001)","None,",None (or less than $201)
8.5,FIIAX-Fidelity Advisor Mid Cap II A (NASDAQ),Mutual FundsMutual Fund,Spouse,"None (or less than $1,001)","None,",None (or less than $201)
9,Julie Heinrich Defined Contribution Pension Plan,Retirement PlansDefined Contribution Pension Plan,Spouse,,,
9.1,RERCX-American Funds EuroPacific Gr R3 (NASDAQ),Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","None,",None (or less than $201)
9.2,AIG Fixed Interest OptionProvider: AIG,AnnuityFixed,Spouse,"$1,001 - $15,000","None,",None (or less than $201)
9.3,HLIEX-JPMorgan Equity Income Select (NASDAQ),Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","None,",None (or less than $201)
9.4,PESPX - BNY Mellon MidCap Index Fund Investor Shares,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","None,",None (or less than $201)
9.5,DISSX - BNY Mellon Small Cap Stock Index Fund Investor Sha,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","None,",None (or less than $201)
10,Public Employees Retirement Association of New Mexico,Retirement PlansDefined Benefit Pension Plan,Self,"$15,001 - $50,000","None,",None (or less than $201)
11,Public Employees Retirement Association of New Mexico,Retirement PlansDefined Benefit Pension Plan,Spouse,"$100,001 - $250,000","None,",None (or less than $201)
12,Empower Retirement,Retirement PlansDefined Contribution Pension Plan,Spouse,,,
12.1,JPMCB SmartRetirement DRE 2040 Fund-CF-A,Mutual FundsMutual Fund,Spouse,"$50,001 - $100,000","None,",None (or less than $201)
