1,"First Western Bank & Trust(Minot, North Dakota)Type: Checking, Savings,",Bank Deposit,Spouse,"$1,001 - $15,000","Interest,",None (or less than $201)
2,"Stifel(Bismarck, North Dakota)Type: Money Market Account,",Bank Deposit,Self,"$100,001 - $250,000","Interest,","$201 - $1,000"
3,BFIGX - American Funds Inflation Linked Bond Fund - Clas,Mutual FundsMutual Fund,Self,"$100,001 - $250,000","Dividends,","$1,001 - $2,500"
4,BREIX - Baron Real Estate Fd Insti Shs,Mutual FundsMutual Fund,Self,"$50,001 - $100,000","Dividends,","$201 - $1,000"
5,FCNTX-Fidelity Contrafund (NASDAQ),Mutual FundsMutual Fund,Self,"$500,001 - $1,000,000","Dividends, Capital Gains,","$15,001 - $50,000"
6,SGIIX-First Eagle Global I (NASDAQ),Mutual FundsMutual Fund,Self,"$100,001 - $250,000","Dividends, Capital Gains,","$5,001 - $15,000"
7,FLMVX - JPMorgan Mid Cap Value L,Mutual FundsMutual Fund,Self,"$250,001 - $500,000","Dividends, Capital Gains,","$15,001 - $50,000"
8,HFQIX - Janus Henderson Global Equity Income Fund - I Sh,Mutual FundsMutual Fund,Self,"$100,001 - $250,000","Dividends,","$5,001 - $15,000"
9,NINLX - Neuberger Berman Intrinsic Value Insti,Mutual FundsMutual Fund,Self,"$50,001 - $100,000","Capital Gains,","$201 - $1,000"
10,PRGTX - T. Rowe Price Global Technology Fd Inc,Mutual FundsMutual Fund,Self,"$50,001 - $100,000","None,",None (or less than $201)
11,PRNHX-T. Rowe Price New Horizons (NASDAQ),Mutual FundsMutual Fund,Self,"$500,001 - $1,000,000","None,",None (or less than $201)
12,VLIIX - Value Line Capital Appreciation Fund Inc. Insti,Mutual FundsMutual Fund,Self,"$50,001 - $100,000","Dividends,","$201 - $1,000"
13,"Westbrand, Inc. Company: Westbrand, Inc. (Minot, ND) Description: Bank Holding Company",Corporate SecuritiesNon-Public Stock,Self,"$1,000,001 - $5,000,000","Dividends,","$15,001 - $50,000"
14,"Tompson-Hoeven PartnershipCompany: Tompson-Hoeven Partnership (Bismarck, North Dakota) Description: Montana Farmland Rental",Business EntityGeneral Partnership,Self,,,
14.1,"FarmlandDescription: 720 acres of farmland (Stanford, MT)",Real EstateUnimproved Land,Self,"$50,001 - $100,000","Rent/Royalties, Interest,","$2,501 - $5,000"
15,First Western Bank & Trust IRA,Retirement PlansIRA,Spouse,,,
15.1,"First Western Bank & Trust Collective Asset Fund(Minot, ND)Type: Money Market Account,",Bank Deposit,Spouse,"None (or less than $1,001)","None,",None (or less than $201)
15.2,DFREX - DFA Real Estate Securities Portfolio Institutional,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","None,",None (or less than $201)
15.3,JHQRX - JPMorgan Hedged Equity Fund Class R6,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","None,",None (or less than $201)
15.4,FSMAX - Fidelity Extended Market Index Fund,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","None,",None (or less than $201)
