1,"USAA Federal Savings Bank(San Antonio, TX)Type: Checking,",Bank Deposit,Joint,"$100,001 - $250,000","None,",None (or less than $201)
2,"Lightspeed Partners LLCCompany: Lightspeed Partners LLC (Tucson, AZ) Description: Media Production",Business EntityLimited Liability Company (LLC),Self,"$1,001 - $15,000","None,",None (or less than $201)
3,"Northern Trust(Chicago, IL)Type: Checking,",Bank Deposit,Self,"$1,001 - $15,000","None,",None (or less than $201)
4,"Northern Trust(Chicago, IL)Type: Checking,",Bank Deposit,Joint,"$1,001 - $15,000","None,",None (or less than $201)
5,Retirement Annuity Provider: USAA,AnnuityFixed,Self,"$100,001 - $250,000","None,",None (or less than $201)
6,Retirement Annuity 2Provider: USAA,AnnuityFixed,Self,"$15,001 - $50,000","None,",None (or less than $201)
7,Flexible Retirement Annuity - Traditional IRAProvider: USAA,AnnuityFixed,Self,"$1,001 - $15,000","None,",None (or less than $201)
8,Jackson National Life Insurance CompanyProvider: Jackson National Life Insurance Company Filer comment:  50% ownership,Life InsuranceWhole,Spouse,"$500,001 - $1,000,000","None,",None (or less than $201)
9,"The Kelly Qualified Blind Trust dated June 25, 2021",TrustBlind,Joint,"$5,000,001 - $25,000,000","Qualified Blind Trust,","$50,001 - $100,000"
10,"Mark Kelly Traditional Individual Retirement Account Qualified Blind Trust No. 1 dated June 25, 2021",TrustBlind,Self,"$1,000,001 - $5,000,000","Qualified Blind Trust,",None (or less than $201)
11,"Mark Kelly Roth Individual Retirement Account Qualified Blind Trust No. 2 dated June 25, 2021",TrustBlind,Self,"$1,001 - $15,000","Qualified Blind Trust,",None (or less than $201)
12,"Gabrielle Giffords Traditional Individual Retirement Account Qualified Blind Trust No. 1 dated June 25, 2021",TrustBlind,Spouse,"$500,001 - $1,000,000","Qualified Blind Trust,",None (or less than $201)
13,"Gabrielle Giffords Roth Individual Retirement Account Qualified Blind Trust No. 2 dated June 25,2021",TrustBlind,Spouse,"$50,001 - $100,000","Qualified Blind Trust,",None (or less than $201)
14,"Residential PropertyDescription: Residential Real Estate (Tucson, AZ)",Real EstateResidential,Spouse,"$250,001 - $500,000","Rent/Royalties,","$5,001 - $15,000"
15,Giffords 401(k),Retirement PlansDefined Contribution Pension Plan,Spouse,,,
15.1,LIJKX - Blackrock Lifepath Index 2035 Port Cl K Shs,Mutual FundsMutual Fund,Spouse,"$50,001 - $100,000","Excepted Investment Fund,",None (or less than $201)
