1,"First Louisiana Investment Properties LLC - JK has 1/3 interestCompany: First Louisiana Investment Properties LLC (Madisonville, Louisiana) Description: Investment Company",Business EntityLimited Liability Company (LLC),Self,,,
1.1,ILCB - Mstar Large-Cap Ishares ETF,Mutual FundsExchange Traded Fund/Note,Self,"$100,001 - $250,000","Dividends,","$1,001 - $2,500"
1.2,"Chase Bank(Baton Rouge, Louisiana)Type: Checking,",Bank Deposit,Self,"$1,001 - $15,000","None,",None (or less than $201)
1.3,"5005 Main StDescription: 5005 Main Street (Zachary, Louisiana) Filer comment:  Commercial office space; this is gross rent (John Kennedy share)",Real EstateCommercial,Self,"$100,001 - $250,000","Rent/Royalties,","$2,501 - $5,000"
1.4,"4312 Marshall StreetDescription: 4312 Marshall Street (Zachary, LA)",Real EstateUnimproved Land,Self,"$1,001 - $15,000","None,",None (or less than $201)
1.5,IVV - iShares Core S&P 500 ETF,Mutual FundsExchange Traded Fund/Note,Self,"$1,001 - $15,000","Dividends,",None (or less than $201)
1.6,VOO - S&P 500 ETF Vanguard,Mutual FundsMutual Fund,Self,"$50,001 - $100,000","Dividends,","$201 - $1,000"
1.7,"5037 Main St.Description: 5037 Main Street ( (Zachary, Louisiana) Filer comment:  Commercial office space; this represents gross (John Kennedy share)",Real EstateCommercial,Self,"$100,001 - $250,000","Rent/Royalties,","$5,001 - $15,000"
1.8,"3150 Church Street, Zachary, LA 70791Description: 3150 Church Street (Zachary, Louisiana)",Real EstateCommercial,Self,"$250,001 - $500,000","Rent/Royalties,","$5,001 - $15,000"
1.9,"1520 Main Street, Baker LADescription: 1520 Main Street, Baker, LA (Baker, LA)",Real EstateCommercial,Self,"$50,001 - $100,000","Rent/Royalties,","$1,001 - $2,500"
1.10,"102 acres, Church StreetDescription: 102 acres, Zachary, LA (Zachary, LA) Filer comment:  Rent for cattle-raising, Gross rent (John Kennedy share)",Real EstateUnimproved Land,Self,"$1,000,001 - $5,000,000","Rent/Royalties,","$201 - $1,000"
1.11,"Lot A, Zachary Heights, Zachary, LADescription: Lot A, Zachary Heights, Zachary, LA (Zachary, LA)",Real EstateUnimproved Land,Self,"$1,001 - $15,000","None,",None (or less than $201)
1.12,"Lot 3, 38th St. Zachary, LADescription: Lot 3, 38th St. Zachary, LA (Zachary, LA)",Real EstateUnimproved Land,Self,"$1,001 - $15,000","None,",None (or less than $201)
1.13,"Lot 4, 38th St. Zachary, LADescription: Lot 4, 38th St. Zachary, LA (Zachary, LA)",Real EstateUnimproved Land,Self,"$1,001 - $15,000","None,",None (or less than $201)
1.14,"Lot 2, Creech sub., Old Weis Rd., Zachary, LADescription: Lot 2, Creech sub., Old Weis Rd., Zachary, LA (Zachary, LA)",Real EstateUnimproved Land,Self,"$1,001 - $15,000","None,",None (or less than $201)
