1,"Bank of America(Washington, DC)Type: Checking,",Bank Deposit,Joint,"$15,001 - $50,000","Interest,",None (or less than $201)
2,"Bank of America(Washington, DC)Type: Savings,",Bank Deposit,Joint,"$1,001 - $15,000","Interest,",None (or less than $201)
3,"Capital One(McLean, VA)Type: Savings,",Bank Deposit,Joint,"$100,001 - $250,000","Interest,","$1,001 - $2,500"
4,529Institution: Merrill Edge 529,Education Savings Plans529 College Savings Plan,Child,,,
4.1,BlackRock 2033 Enroll D,Mutual FundsMutual Fund,Child,"$100,001 - $250,000","None,",None (or less than $201)
5,Vanguard 529Institution: Vanguard,Education Savings Plans529 College Savings Plan,Child,,,
5.1,Vanguard Target Enrollment 2034/2035 Portfolio,Mutual FundsMutual Fund,Child,"$50,001 - $100,000","None,",None (or less than $201)
6,Vanguard Mutual Fund Brokerage Account,Brokerage/Managed Account,Joint,,,
6.1,VEA - FTSE Developed Markets Vanguard,Mutual FundsExchange Traded Fund/Note,Joint,"$50,001 - $100,000","Dividends, Capital Gains,","$2,501 - $5,000"
6.2,VWO - Vanguard FTSE Emerging Markets ETF,Mutual FundsExchange Traded Fund/Note,Joint,"$1,001 - $15,000","Dividends, Capital Gains,",None (or less than $201)
6.3,VXUS - Vanguard Total International Stock ETF,Mutual FundsExchange Traded Fund/Note,Joint,"$15,001 - $50,000","Dividends, Capital Gains,",None (or less than $201)
6.4,VTI - Vanguard Total Stock Market ETF,Mutual FundsExchange Traded Fund/Note,Joint,"$100,001 - $250,000","Dividends, Capital Gains,","$1,001 - $2,500"
7,T Rowe Price 401K,Retirement PlansDeferred Compensation,Spouse,,,
7.1,T Rowe Price Retire 2045 Tr A,Mutual FundsMutual Fund,Spouse,"$100,001 - $250,000","None,",None (or less than $201)
8,Structured Capital Strategies 16 Traditional IRA,Retirement PlansIRA,Self,,,
8.1,EquitableProvider: Equitable,AnnuityVariable Annuity,Self,,,
8.1.1,Equitable Structured Capital Strategies 16B NASDAQ 100 1 Year -10% BufferProvider: Equitable,AnnuityFixed,Self,"$15,001 - $50,000","None,",None (or less than $201)
8.1.2,Equitable Structured Capital Strategies S&P 500 1 Year -10% BufferProvider: Equitable,AnnuityFixed,Self,"$15,001 - $50,000","None,",None (or less than $201)
8.2,Equitable Russell 2000 Annual Lock 5 Year -10% BufferProvider: Equitable,AnnuityFixed,Self,"$15,001 - $50,000","None,",None (or less than $201)
8.3,Equitable S&P 500 Annual Lock 5 Year -10% BufferProvider: Equitable,AnnuityFixed,Self,"$15,001 - $50,000","None,",None (or less than $201)
9,Vanguard Retirement Account,Retirement PlansDeferred Compensation,Spouse,,,
9.1,VTSNX - Vanguard Total International Stock Index Fund INFiler comment:  Tax-deferred,Mutual FundsMutual Fund,Spouse,"$50,001 - $100,000","None,",None (or less than $201)
9.2,VBTIX - Vanguard Bond Index Fund Total Bond Mkt Index FuFiler comment:  Tax-deferred,Mutual FundsMutual Fund,Spouse,"$50,001 - $100,000","None,",None (or less than $201)
9.3,VITSX - Vanguard Index Trust Total Stock Market Index FuFiler comment:  Tax-deferred,Mutual FundsMutual Fund,Spouse,"$100,001 - $250,000","None,",None (or less than $201)
9.4,VTIFX - Vanguard Total International Bond Index Fd InstFiler comment:  tax-deferred,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000","None,",None (or less than $201)
10,Equitable BrightLife Level 20,Life InsuranceVariable,Spouse,,,
10.1,Equitable Variable AnnuityProvider: Equitable,AnnuityVariable Annuity,Spouse,,,
10.1.1,Core 1 Year Russell 2000 Price Return IndexProvider: Equitable,AnnuityFixed,Spouse,"$15,001 - $50,000","None,",None (or less than $201)
10.1.2,Core 1 Year S&P 500 Price Return IndexProvider: Equitable,AnnuityFixed,Spouse,"$15,001 - $50,000","None,",None (or less than $201)
10.1.3,Core 3 Year S&P 500 Price Return IndexProvider: Equitable,AnnuityFixed,Spouse,"$15,001 - $50,000","None,",None (or less than $201)
11,Health Equity Health Savings Account,Brokerage/Managed Account,Spouse,,,
11.1,VIIIX - Vanguard Institutional Index Fund Institutional,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","None,",None (or less than $201)
11.2,VBMPX - Vanguard Total Bond Market Insti Plus Shares,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","None,",None (or less than $201)
11.3,VTPSX - Vanguard Total Intl Stock Index Fund Inst Plus,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","None,",None (or less than $201)
11.4,VBIRX - Vanguard Short-Term Bond Index Fund Admiral Shar,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","None,",None (or less than $201)
11.5,VTINX - Vanguard Target Retirement Income Fund,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","None,",None (or less than $201)
11.6,VFORX - Vanguard Target Retirement 2040 Fund,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000","None,",None (or less than $201)
