1,QCBMIX - CREF Core Bond Account - R3,Retirement PlansDeferred Compensation,Spouse,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
2,TCLFX - TIAA-CREF Lifecycle 2025 Retirement,Retirement PlansDeferred Compensation,Spouse,"$100,001 - $250,000","Excepted Investment Fund,",None (or less than $201)
3,"United States Senate Federal Credit Union(Washington, DC)Type: Certificate of Deposit, Checking, IRA Cash Accounts, Savings,",Bank Deposit,Joint,"$1,001 - $15,000","Dividends, Interest,",None (or less than $201)
4,"Wells Fargo(Minneapolis, MN)Type: Checking,",Bank Deposit,Spouse,"$1,001 - $15,000","Interest,",None (or less than $201)
5,"TruStone Financial(Minneapolis, MN)Type: Certificate of Deposit, Checking, IRA Cash Accounts, Money Market Account, Savings,",Bank Deposit,Joint,"$15,001 - $50,000","Dividends,","$201 - $1,000"
6,Fidelity Investments IRA,Retirement PlansIRA,Spouse,,,
6.1,FAIGX - Fidelity Advisor Balanced Fund Class M,Mutual FundsMutual Fund,Spouse,"$100,001 - $250,000","Excepted Investment Fund,",None (or less than $201)
6.2,FAGOX - Fidelity Advisor Growth Opportunities Fund Class M,Mutual FundsMutual Fund,Spouse,"$50,001 - $100,000","Excepted Investment Fund,",None (or less than $201)
6.3,FAERX - Fidelity Advisor Overseas Fund Class M,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
6.4,FEIRX - Fidelity Advisor Equity Income Fund Class M,Mutual FundsMutual Fund,Spouse,"$100,001 - $250,000","Excepted Investment Fund,",None (or less than $201)
6.5,FAEGX - Fidelity Advisor Equity Growth Fund Class M,Mutual FundsMutual Fund,Spouse,"$50,001 - $100,000","Excepted Investment Fund,",None (or less than $201)
6.6,FTBRX - Fidelity Advisor Limited Term Bond Fund Class M,Mutual FundsMutual Fund,Spouse,"$100,001 - $250,000","Excepted Investment Fund,",None (or less than $201)
7,State Street Russell Small Cap Index Non-Lending Series Fund Class KFiler comment:  (S) 401(k) plan,Mutual FundsMutual Fund,Spouse,"$250,001 - $500,000","Excepted Investment Fund,",None (or less than $201)
8,State Street Russell Small Cap Index Non-Lending Series Fund Class KFiler comment:  (S) 457(b) plan,Mutual FundsMutual Fund,Spouse,"$250,001 - $500,000","Excepted Investment Fund,",None (or less than $201)
9,SIUSX - Guggenheim Investment Grade Bond Fund Class A,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
10,Northwestern Mutual Life Ins. - Variable Ins. Policies,Life InsuranceVariable,Spouse,,,
10.1,Select Bond (MSA/Allspring Global Investments),Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
10.2,International Equity (MSA/Dodge and Cox),Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
10.3,Index 500 Stock (MSA/Blackrock Advisors LLC),Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
10.4,Mid Cap Growth Stock (MSA/Wellington Management),Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
10.5,High Yield Bond (MSA/Federated Invest. Mgmt. Co.),Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
10.6,Small Cap Growth Stock (MSA/Wellington Management),Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
10.7,U.S. Strategic Equity (Russell Invsts),Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
10.8,International Developed Markets (Russell Invsts),Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
10.9,Small Cap Value (MSA/T Rowe Price),Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
10.10,Mid Cap Value (MSA/American Century),Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
11,State Street S&P 500 Index Non-Lending Series Fund Class K,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
12,State Street S&P MidCap Index Non-Lending Series Fund Class M,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
13,PRILX - Parnassus Core Equity Fund-Institutional Shares,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
14,TRSSX - T.Rowe Price Institutional Small-Cap Stock Fund,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
15,TRMCX - T. Rowe Price Mid-Cap Value Fund Inc.,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
