1,"Huntington Banks(Fairmont, West Virginia)Type: Checking,",Bank Deposit,Joint,"$100,001 - $250,000","Interest,",None (or less than $201)
2,"MVB Bank(Fairmont, West Virginia)Type: Savings, Filer comment:  Closed account in 2023.",Bank Deposit,Spouse,"None (or less than $1,001)","Interest,","$5,001 - $15,000"
3,"Huntington Banks(Fairmont, West Virginia)Type: Checking,",Bank Deposit,Self,"$100,001 - $250,000","Interest,","$201 - $1,000"
4,"Branch Banking & Trust (Now TRUIST Bank)(Charleston, West Virginia)Type: Checking,",Bank Deposit,Self,"$50,001 - $100,000","None,",None (or less than $201)
5,"PRU - Prudential Financial, Inc. (NYSE)",Corporate SecuritiesStock,Self,"$50,001 - $100,000","Dividends,","$1,001 - $2,500"
6,Joseph Manchin III Qualified Blind Trust,TrustBlind,Self,"$500,001 - $1,000,000","Qualified Blind Trust,","$15,001 - $50,000"
7,Fidelity IRA,Retirement PlansIRA,Spouse,,,
7.1,DGEIX - DFA Global Equity I,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000","Excepted Investment Fund,","$1,001 - $2,500"
7.2,DFGFX - DFA Two-Year Global Fixed-Income IFiler comment:  Sold out of fund in 2023.,Mutual FundsMutual Fund,Spouse,"None (or less than $1,001)","Excepted Investment Fund,",None (or less than $201)
7.3,DFGBX - DFA Five-Year Global Fixed-Income IFiler comment:  Sold out of fund in 2023.,Mutual FundsMutual Fund,Spouse,"None (or less than $1,001)","Excepted Investment Fund,",None (or less than $201)
7.4,FDRXX - Fidelity Cash Reserves,Mutual FundsMutual Fund,Spouse,"None (or less than $1,001)","Excepted Investment Fund,",None (or less than $201)
7.5,FUMBX - Fidelity Short-Term Treasury Bond Index FundFiler comment:  Sold out of funds in 2023.,Mutual FundsMutual Fund,Spouse,"None (or less than $1,001)","Excepted Investment Fund,",None (or less than $201)
7.6,VGIT - Vanguard Intermediate-Term Treasury ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
7.7,DFXIX - Dfa Diversified Fixed Income Portfolio - Institu,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000","Excepted Investment Fund,","$1,001 - $2,500"
8,Fidelity Individual Account,Brokerage/Managed Account,Self,,,
8.1,DFISX - DFA International Small Company I (NASDAQ),Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Excepted Investment Fund,","$1,001 - $2,500"
8.2,DISVX - DFA International Small Cap Value I (NASDAQ),Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Excepted Investment Fund,","$1,001 - $2,500"
8.3,DFALX - DFA Large Cap International I (NASDAQ),Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Excepted Investment Fund,","$1,001 - $2,500"
