1,"Farmers Bank & Trust(Great Bend, KS)Type: Checking,",Bank Deposit,Self,"$50,001 - $100,000","Interest,","$201 - $1,000"
2,"Farmers Bank & Trust(Great Bend, KS)Type: Checking,",Bank Deposit,Joint,"$1,001 - $15,000","Interest,",None (or less than $201)
3,Morgan Stanley Smith Barney Traditional IRA,Retirement PlansIRA,Self,,,
3.1,AWSHX - Washington Mutual Invs Fd Cl A Shs,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Dividends,",None (or less than $201)
3.2,AEPGX - American Funds Europacific Growth A,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Dividends,",None (or less than $201)
4,Morgan Stanley Smith Barney Traditional IRA,Retirement PlansIRA,Spouse,,,
4.1,AWSHX - Washington Mutual Invs Fd Cl A Shs,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000","Dividends,",None (or less than $201)
4.2,AEPGX - American Funds Europacific Growth A,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000","Dividends,",None (or less than $201)
5,Brokerage Account (Francis Financial Services),Brokerage/Managed Account,Spouse,,,
5.1,"Francis Financial Services(Great Bend, KS)Type: Money Market Account,",Bank Deposit,Spouse,"$1,001 - $15,000","Interest,",None (or less than $201)
6,Traditional IRA (Francis Financial Services),Retirement PlansIRA,Self,,,
6.1,"Francis Financial Services(Great Bend, KS)Type: Money Market Account,",Bank Deposit,Self,"None (or less than $1,001)","Interest,",None (or less than $201)
6.2,ANWPX - New Perspective Fund Class A Shares,Mutual FundsMutual Fund,Self,"$50,001 - $100,000","None,",None (or less than $201)
6.3,NEWFX - American Funds New World Fund A,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","None,",None (or less than $201)
6.4,PHYS - Sprott Physical Gold Trust,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","None,",None (or less than $201)
6.5,PSLV.U - Sprott Physical Silver Trust USD,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","None,",None (or less than $201)
