1,"Republic Bank and Trust(Louisville, KY)Type: Checking,",Bank Deposit,Self,"$1,001 - $15,000","Interest,",None (or less than $201)
2,MNNAX - Victory Munder Multi-Cap A,TrustGeneral Trust,Self,"$50,001 - $100,000","Excepted Investment Fund,","$2,501 - $5,000"
3,VHCAX-Vanguard Capital Opportunity Adm (NASDAQ),TrustGeneral Trust,Self,"$500,001 - $1,000,000","Excepted Investment Fund,","$5,001 - $15,000"
4,VSIAX-Vanguard Small Cap Value Index Admiral (NASDAQ),TrustGeneral Trust,Self,"$500,001 - $1,000,000","Excepted Investment Fund,","$15,001 - $50,000"
5,VFIAX-Vanguard 500 Index Admiral (NASDAQ),TrustGeneral Trust,Self,"$500,001 - $1,000,000","Excepted Investment Fund,","$5,001 - $15,000"
6,Mitch IRA MLPA,Retirement PlansIRA,Self,,,
6.1,"Bank of America(Louisville, Kentucky)Type: IRA Cash Accounts,",Bank Deposit,Self,"$1,001 - $15,000","Interest,",None (or less than $201)
6.2,SCPB-SPDR Barclays Short Term Corp Bd ETF (NYSEArca),Mutual FundsExchange Traded Fund/Note,Self,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
6.3,IWM-iShares Russell 2000,Mutual FundsExchange Traded Fund/Note,Self,"$50,001 - $100,000","Excepted Investment Fund,",None (or less than $201)
6.4,SPY - SPDR S&P 500 ETF,Mutual FundsExchange Traded Fund/Note,Self,"$50,001 - $100,000","Excepted Investment Fund,",None (or less than $201)
6.5,VO-Vanguard Mid-Cap ETF,Mutual FundsExchange Traded Fund/Note,Self,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
7,Vanguard 529 College Savings PlanInstitution: Vanguard,Education Savings Plans529 College Savings Plan,Self,,,
7.1,Vanguard Target Enrollment 2032/2033 Portfolio,Mutual FundsMutual Fund,Self,"$100,001 - $250,000","None,",None (or less than $201)
8,Vanguard 529 College Savings PlanInstitution: Vanguard,Education Savings Plans529 College Savings Plan,Self,,,
