1,"Hanston Insurance AgencyCompany: Hanston Insurance Agency (Hays, KS) Description: Bank Holding Company",Corporate SecuritiesNon-Public Stock,Self,"$250,001 - $500,000","Dividends,","$5,001 - $15,000"
2,"Mainstar Trust(Onaga, KS)Type: IRA Cash Accounts,",Bank Deposit,Self,"$100,001 - $250,000","Interest,",None (or less than $201)
3,"Astra Bank(Plainville, KS)Type: Money Market Account,",Bank Deposit,Joint,"$50,001 - $100,000","Interest,","$201 - $1,000"
4,"Bank of Hays(Hays, KS)Type: Checking,",Bank Deposit,Joint,"$1,001 - $15,000","Interest,",None (or less than $201)
5,"Landmark Bank(Manhattan, KS)Type: Savings,",Bank Deposit,Joint,"$1,001 - $15,000","Interest,",None (or less than $201)
6,"Bank of Hays(Hays, KS)Type: Checking,",Bank Deposit,Joint,"$1,001 - $15,000","Interest,",None (or less than $201)
7,"Bank of Hays(Hays, KS)Type: Savings,",Bank Deposit,Joint,"$1,001 - $15,000","Interest,",None (or less than $201)
8,GOOG - Alphabet Inc.,Corporate SecuritiesStock,Self,"None (or less than $1,001)","None,",None (or less than $201)
9,"AMZN - Amazon.com, Inc.",Corporate SecuritiesStock,Self,"None (or less than $1,001)","None,",None (or less than $201)
10,AAPL - Apple Inc.,Corporate SecuritiesStock,Self,"None (or less than $1,001)","Dividends,",None (or less than $201)
11,BAC - Bank of America Corporation,Corporate SecuritiesStock,Self,"None (or less than $1,001)","Dividends,",None (or less than $201)
12,BRK-B - Berkshire Hathaway Inc.,Corporate SecuritiesStock,Self,"$50,001 - $100,000","None,",None (or less than $201)
13,CVS - CVS Health Corporation,Corporate SecuritiesStock,Self,"None (or less than $1,001)","Dividends,",None (or less than $201)
14,DVA - DaVita Inc.,Corporate SecuritiesStock,Self,"None (or less than $1,001)","None,",None (or less than $201)
15,XOM - Exxon Mobil Corporation,Corporate SecuritiesStock,Self,"None (or less than $1,001)","Dividends,","$201 - $1,000"
16,"FB - Meta Platforms, Inc. - Class A Common Stock",Corporate SecuritiesStock,Self,"None (or less than $1,001)","None,",None (or less than $201)
17,INTC - Intel Corporation,Corporate SecuritiesStock,Self,"None (or less than $1,001)","Dividends,",None (or less than $201)
18,JNJ - Johnson & Johnson,Corporate SecuritiesStock,Self,"None (or less than $1,001)","Dividends,","$201 - $1,000"
19,MSFT - Microsoft Corporation,Corporate SecuritiesStock,Self,"None (or less than $1,001)","Dividends,",None (or less than $201)
20,USB - U.S. Bancorp,Corporate SecuritiesStock,Self,"None (or less than $1,001)","Dividends,","$201 - $1,000"
21,VZ - Verizon Communications Inc.,Corporate SecuritiesStock,Self,"None (or less than $1,001)","Dividends,","$201 - $1,000"
22,VFSUX - Vanguard Short-Term Investment-Grade Fund Admiral,Mutual FundsMutual Fund,Self,"None (or less than $1,001)","Dividends,","$1,001 - $2,500"
23,"Raymond James Deposit Program(St. Petersburg, FL)Type: Money Market Account,",Bank Deposit,Self,"$1,001 - $15,000","Interest,",None (or less than $201)
24,"AVT - Avnet, Inc. (NYSE)",Corporate SecuritiesStock,Joint,"$1,001 - $15,000","Dividends,",None (or less than $201)
25,BA - The Boeing Company (NYSE),Corporate SecuritiesStock,Joint,"$15,001 - $50,000","None,",None (or less than $201)
26,CVX - Chevron Corporation (NYSE),Corporate SecuritiesStock,Joint,"$15,001 - $50,000","Dividends,","$1,001 - $2,500"
27,XOM - Exxon Mobil Corporation (NYSE),Corporate SecuritiesStock,Joint,"$100,001 - $250,000","Dividends,","$5,001 - $15,000"
28,HAL - Halliburton Company (NYSE),Corporate SecuritiesStock,Joint,"$15,001 - $50,000","Dividends,","$201 - $1,000"
29,OXY - Occidental Petroleum Corporation (NYSE),Corporate SecuritiesStock,Joint,"$1,001 - $15,000","Dividends,",None (or less than $201)
30,PG - The Procter & Gamble Company (NYSE),Corporate SecuritiesStock,Joint,"$1,001 - $15,000","Dividends,","$201 - $1,000"
31,SLB - Schlumberger Limited (NYSE),Corporate SecuritiesStock,Joint,"$1,001 - $15,000","Dividends,","$201 - $1,000"
32,"TMUS - T-Mobile US, Inc.",Corporate SecuritiesStock,Joint,"$1,001 - $15,000","Dividends,",None (or less than $201)
33,VVI-Viad CorpFiler comment:  Change in value is based on Market fluctuation.,Corporate SecuritiesStock,Joint,"None (or less than $1,001)","None,",None (or less than $201)
34,"WMB - Williams Companies, Inc. (NYSE)",Corporate SecuritiesStock,Joint,"$1,001 - $15,000","Dividends,",None (or less than $201)
35,"Raymond James Deposit Program(St. Petersburg, FL)Type: Money Market Account,",Bank Deposit,Joint,"$1,001 - $15,000","Interest,",None (or less than $201)
36,GOOG - Alphabet Inc.,Corporate SecuritiesStock,Spouse,"None (or less than $1,001)","None,",None (or less than $201)
37,AAPL - Apple Inc.,Corporate SecuritiesStock,Spouse,"None (or less than $1,001)","Dividends,",None (or less than $201)
38,BAC - Bank of America Corporation,Corporate SecuritiesStock,Spouse,"None (or less than $1,001)","Dividends,",None (or less than $201)
39,BRK-B - Berkshire Hathaway Inc.,Corporate SecuritiesStock,Spouse,"$15,001 - $50,000","None,",None (or less than $201)
40,CVS - CVS Health Corporation,Corporate SecuritiesStock,Spouse,"None (or less than $1,001)","Dividends,",None (or less than $201)
41,DVA - DaVita Inc.,Corporate SecuritiesStock,Spouse,"None (or less than $1,001)","None,",None (or less than $201)
42,XOM - Exxon Mobil Corporation,Corporate SecuritiesStock,Spouse,"None (or less than $1,001)","Dividends,",None (or less than $201)
43,"FB - Meta Platforms, Inc. - Class A Common Stock",Corporate SecuritiesStock,Spouse,"None (or less than $1,001)","None,",None (or less than $201)
44,INTC - Intel Corporation,Corporate SecuritiesStock,Spouse,"None (or less than $1,001)","Dividends,",None (or less than $201)
45,JNJ - Johnson & Johnson,Corporate SecuritiesStock,Spouse,"None (or less than $1,001)","Dividends,",None (or less than $201)
46,MSFT - Microsoft Corporation,Corporate SecuritiesStock,Spouse,"None (or less than $1,001)","Dividends,",None (or less than $201)
47,USB - U.S. Bancorp,Corporate SecuritiesStock,Spouse,"None (or less than $1,001)","Dividends,",None (or less than $201)
48,VZ - Verizon Communications Inc.,Corporate SecuritiesStock,Spouse,"None (or less than $1,001)","Dividends,",None (or less than $201)
49,VFSUX - Vanguard Short-Term Investment-Grade Fund Admiral,Mutual FundsMutual Fund,Spouse,"None (or less than $1,001)","Dividends,","$201 - $1,000"
50,VUSFX - Vanguard Ultra-Short-Term Bond Fund Admiral Shares,Mutual FundsMutual Fund,Spouse,"None (or less than $1,001)","Dividends,","$201 - $1,000"
51,"Raymond James Deposit Program(St. Petersburg, FL)Type: Money Market Account,",Bank Deposit,Spouse,"$1,001 - $15,000","Interest,",None (or less than $201)
52,CVX - Chevron Corporation,Corporate SecuritiesStock,Self,"None (or less than $1,001)","Dividends,","$201 - $1,000"
53,HAL - Halliburton Company,Corporate SecuritiesStock,Self,"None (or less than $1,001)","Dividends,","$201 - $1,000"
54,CVX - Chevron Corporation,Corporate SecuritiesStock,Spouse,"None (or less than $1,001)","Dividends,",None (or less than $201)
55,KR - The Kroger Co.,Corporate SecuritiesStock,Spouse,"None (or less than $1,001)","Dividends,",None (or less than $201)
56,"Bank of Hays(Hays, ks)Type: Money Market Account,",Bank Deposit,Joint,"$1,001 - $15,000","Interest,","$201 - $1,000"
57,KR - The Kroger Co.,Corporate SecuritiesStock,Self,"None (or less than $1,001)","Dividends,",None (or less than $201)
58,BK - The Bank of New York Mellon Corporation Common Sto,Corporate SecuritiesStock,Self,"None (or less than $1,001)","Dividends,",None (or less than $201)
59,BK - The Bank of New York Mellon Corporation Common Sto,Corporate SecuritiesStock,Spouse,"None (or less than $1,001)","Dividends,",None (or less than $201)
60,CI - Cigna Corporation Common Stock,Corporate SecuritiesStock,Self,"None (or less than $1,001)","Dividends,",None (or less than $201)
61,"CSCO - Cisco Systems, Inc. - Common Stock",Corporate SecuritiesStock,Self,"None (or less than $1,001)","Dividends,",None (or less than $201)
62,CMCSA - Comcast Corporation - Class A Common Stock,Corporate SecuritiesStock,Self,"None (or less than $1,001)","Dividends,",None (or less than $201)
63,KMB - Kimberly-Clark Corporation Common Stock,Corporate SecuritiesStock,Self,"None (or less than $1,001)","Dividends,","$201 - $1,000"
64,"PFE - Pfizer, Inc. Common Stock",Corporate SecuritiesStock,Self,"None (or less than $1,001)","Dividends,",None (or less than $201)
65,PII - Polaris Inc. Common Stock,Corporate SecuritiesStock,Self,"None (or less than $1,001)","Dividends,",None (or less than $201)
66,AMRFX - American Mutual Fund Class F-2 Shares,Mutual FundsMutual Fund,Self,"None (or less than $1,001)","Dividends, Capital Gains,","$1,001 - $2,500"
67,IGFFX - International Growth and Income Fd Cl F-2 Shs,Mutual FundsMutual Fund,Self,"None (or less than $1,001)","Dividends,","$201 - $1,000"
68,ICAFX - The Investment Company of America Class F-2 Shs,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Dividends, Capital Gains,","$201 - $1,000"
69,WMFFX - Washington Mutual Investors Fund Cl F-2 Shs,Mutual FundsMutual Fund,Self,"None (or less than $1,001)","Dividends, Capital Gains,","$201 - $1,000"
70,DFIVX - Dfa International Value Portfolio,Mutual FundsMutual Fund,Self,"None (or less than $1,001)","Dividends,","$201 - $1,000"
71,DFSVX - Dfa U.S. Small Cap Value Portfolio,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Dividends, Capital Gains,","$201 - $1,000"
72,DBLSX - Doubleline Low Duration Bond Fund Class I,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Dividends,","$1,001 - $2,500"
73,CI - Cigna Corporation Common Stock,Corporate SecuritiesStock,Spouse,"None (or less than $1,001)","Dividends,",None (or less than $201)
74,"CSCO - Cisco Systems, Inc. - Common Stock",Corporate SecuritiesStock,Spouse,"None (or less than $1,001)","Dividends,",None (or less than $201)
75,CMCSA - Comcast Corporation - Class A Common Stock,Corporate SecuritiesStock,Spouse,"None (or less than $1,001)","Dividends,",None (or less than $201)
76,KMB - Kimberly-Clark Corporation Common Stock,Corporate SecuritiesStock,Spouse,"None (or less than $1,001)","Dividends,",None (or less than $201)
77,"PFE - Pfizer, Inc. Common StockFiler comment:  Asset was sold and had a value less than $1,000.",Corporate SecuritiesStock,Spouse,"None (or less than $1,001)","Dividends,",None (or less than $201)
78,PII - Polaris Inc. Common Stock,Corporate SecuritiesStock,Spouse,"None (or less than $1,001)","Dividends,",None (or less than $201)
79,AMRFX - American Mutual Fund Class F-2 Shares,Mutual FundsMutual Fund,Spouse,"None (or less than $1,001)","Dividends, Capital Gains,","$1,001 - $2,500"
80,IGFFX - International Growth and Income Fd Cl F-2 Shs,Mutual FundsMutual Fund,Spouse,"None (or less than $1,001)","Dividends,",None (or less than $201)
81,ICAFX - The Investment Company of America Class F-2 Shs,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Dividends, Capital Gains,","$201 - $1,000"
82,WMFFX - Washington Mutual Investors Fund Cl F-2 Shs,Mutual FundsMutual Fund,Spouse,"None (or less than $1,001)","Dividends, Capital Gains,","$201 - $1,000"
83,DFIVX - Dfa International Value Portfolio,Mutual FundsMutual Fund,Spouse,"None (or less than $1,001)","Dividends,",None (or less than $201)
84,DFSVX - Dfa U.S. Small Cap Value Portfolio,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Dividends, Capital Gains,","$201 - $1,000"
85,DBLSX - Doubleline Low Duration Bond Fund Class I,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000","Dividends,","$201 - $1,000"
86,DFIV - Dimensional International Value ETF,Mutual FundsExchange Traded Fund/Note,Self,"$15,001 - $50,000","Dividends,","$201 - $1,000"
87,DFAT - Dimensional U.S. Targeted Value ETF,Mutual FundsExchange Traded Fund/Note,Self,"$15,001 - $50,000","Dividends,",None (or less than $201)
88,DFEV - Dimensional Emerging Markets Value ETF,Mutual FundsExchange Traded Fund/Note,Self,"$15,001 - $50,000","Dividends,",None (or less than $201)
89,DUHP - Dimensional US High Profitability ETF,Mutual FundsExchange Traded Fund/Note,Self,"$15,001 - $50,000","Dividends,",None (or less than $201)
90,VYM - Vanguard High Dividend Yield ETF,Mutual FundsExchange Traded Fund/Note,Self,"$15,001 - $50,000","Dividends,","$201 - $1,000"
91,VYMI - Vanguard International High Dividend Yield ETF,Mutual FundsExchange Traded Fund/Note,Self,"$15,001 - $50,000","Dividends,","$201 - $1,000"
92,VGSH - Vanguard Short-Term Treasury ETF,Mutual FundsExchange Traded Fund/Note,Self,"$50,001 - $100,000","Dividends,",None (or less than $201)
93,DXJ - WisdomTree Japan Hedged Equity Fund,Mutual FundsExchange Traded Fund/Note,Self,"$15,001 - $50,000","Dividends,","$201 - $1,000"
94,FRSXX - FIMM Treasury Only Port,Mutual FundsMutual Fund,Self,"$50,001 - $100,000","None,",None (or less than $201)
95,CGXU - Capital Group International Focus Equity ETF Capit,Mutual FundsExchange Traded Fund/Note,Self,"$15,001 - $50,000","Dividends,",None (or less than $201)
96,CGXU - Capital Group International Focus Equity ETF Capit,Mutual FundsExchange Traded Fund/Note,Spouse,"$1,001 - $15,000","Dividends,",None (or less than $201)
97,DUHP - Dimensional US High Profitability ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$1,001 - $15,000","Dividends,",None (or less than $201)
98,DFIV - Dimensional International Value ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$1,001 - $15,000","Dividends,",None (or less than $201)
99,DFAT - Dimensional U.S. Targeted Value ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$1,001 - $15,000","Dividends,",None (or less than $201)
100,DFEV - Dimensional Emerging Markets Value ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$1,001 - $15,000","Dividends,",None (or less than $201)
101,VYM - High Dividend Yield Vanguard ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$1,001 - $15,000","Dividends,",None (or less than $201)
102,VYMI - Vanguard Intl High Dividend Yield,Mutual FundsExchange Traded Fund/Note,Spouse,"$1,001 - $15,000","Dividends,",None (or less than $201)
103,VGSH - Vanguard Short-Term Treasury ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$15,001 - $50,000","Dividends,",None (or less than $201)
104,DXJ - WisdomTree Japan Hedged Equity Fund,Mutual FundsExchange Traded Fund/Note,Spouse,"$1,001 - $15,000","Dividends,",None (or less than $201)
105,FRSXX - FIMM Treasury Only Port,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000","None,",None (or less than $201)
106,TRPXX - Invesco Treasury Portfolio Institutional Class,Mutual FundsMutual Fund,Joint,"$50,001 - $100,000","Dividends,","$201 - $1,000"
107,CGDV - Capital Group Dividend Value ETF Capital Group Div,Mutual FundsExchange Traded Fund/Note,Self,"$15,001 - $50,000","Dividends,","$201 - $1,000"
108,CGDV - Capital Group Dividend Value ETF Capital Group Div,Mutual FundsExchange Traded Fund/Note,Spouse,"$1,001 - $15,000","Dividends,",None (or less than $201)
109,VUSFX - Vanguard Ultra-Short-Term Bond Fund Admiral,Mutual FundsMutual Fund,Self,"None (or less than $1,001)","Dividends,","$201 - $1,000"
