1,"Hanston Insurance AgencyCompany: Hanston Insurance Agency (Hays, KS) Description: Bank Holding Company",Corporate SecuritiesNon-Public Stock,Self,"$250,001 - $500,000","Dividends,","$5,001 - $15,000"
2,"Mainstar Trust(Onaga, KS)Type: IRA Cash Accounts,",Bank Deposit,Self,"$500,001 - $1,000,000","Interest,",None (or less than $201)
3,"Astra Bank(Plainville, KS)Type: Money Market Account,",Bank Deposit,Joint,"$50,001 - $100,000","Interest,","$201 - $1,000"
4,"Bank of Hays(Hays, KS)Type: Checking,",Bank Deposit,Joint,"$1,001 - $15,000","Interest,",None (or less than $201)
5,"Landmark Bank(Manhattan, KS)Type: Savings,",Bank Deposit,Joint,"$1,001 - $15,000","Interest,",None (or less than $201)
6,"Bank of Hays(Hays, KS)Type: Checking,",Bank Deposit,Joint,"$15,001 - $50,000","Interest,",None (or less than $201)
7,"Bank of Hays(Hays, KS)Type: Savings,",Bank Deposit,Joint,"$1,001 - $15,000","Interest,",None (or less than $201)
8,"Bank of Hays(Hays, ks)Type: Money Market Account,",Bank Deposit,Joint,"$1,001 - $15,000","Interest,","$201 - $1,000"
9,Raymond James IRA,Retirement PlansIRA,Self,,,
9.1,CGDG - Capital Group Dividend Growers ETF,Mutual FundsExchange Traded Fund/Note,Self,"$15,001 - $50,000","None,",None (or less than $201)
9.2,CGDV - Capital Group Dividend Value ETF,Mutual FundsExchange Traded Fund/Note,Self,"$15,001 - $50,000","None,",None (or less than $201)
9.3,DFIV - Dimensional International Value ETF,Mutual FundsExchange Traded Fund/Note,Self,"$50,001 - $100,000","None,",None (or less than $201)
9.4,DFAT - Dimensional U.S. Targeted Value ETF,Mutual FundsExchange Traded Fund/Note,Self,"$15,001 - $50,000","None,",None (or less than $201)
9.5,BRK.B - Berkshire Hathaway Cl B,Corporate SecuritiesStock,Self,"$50,001 - $100,000","None,",None (or less than $201)
9.6,DFEV - Dimensional Emerging Markets Value ETF,Mutual FundsExchange Traded Fund/Note,Self,"$15,001 - $50,000","None,",None (or less than $201)
9.7,DFSV - Dimensional US Small Cap Value ETF,Mutual FundsExchange Traded Fund/Note,Self,"$15,001 - $50,000","None,",None (or less than $201)
9.8,VGSH - Vanguard Short-Term Treasury ETF,Mutual FundsExchange Traded Fund/Note,Self,"$50,001 - $100,000","None,",None (or less than $201)
9.9,DXJ - WisdomTree Japan Hedged Equity Fund,Mutual FundsExchange Traded Fund/Note,Self,"$15,001 - $50,000","None,",None (or less than $201)
9.10,AMRFX - American Mutual Fund Class F-2 Shares,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","None,",None (or less than $201)
9.11,ICAFX - The Investment Company of America Class F-2 Shs,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","None,",None (or less than $201)
9.12,DBLSX - Doubleline Low Duration Bond Fund Class I,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","None,",None (or less than $201)
9.13,CGXU - Capital Group International Focus Equity ETF,Mutual FundsExchange Traded Fund/Note,Self,"None (or less than $1,001)","None,",None (or less than $201)
9.14,DUHP - Dimensional ETF Trust Dimensional US High Profitab,Mutual FundsExchange Traded Fund/Note,Self,"None (or less than $1,001)","None,",None (or less than $201)
9.15,VYM - Vanguard High Dividend Yield ETF,Mutual FundsExchange Traded Fund/Note,Self,"None (or less than $1,001)","None,",None (or less than $201)
9.16,VYMI - Vanguard International High Dividend Yield ETF,Mutual FundsExchange Traded Fund/Note,Self,"None (or less than $1,001)","None,",None (or less than $201)
9.17,FRSXX - FIMM Treasury Only Port,Mutual FundsMutual Fund,Self,"$100,001 - $250,000","None,",None (or less than $201)
9.18,DISVX - Dfa International Small Cap Value Portfolio,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","None,",None (or less than $201)
9.19,DFSVX - Dfa U.S. Small Cap Value Portfolio,Mutual FundsMutual Fund,Self,"None (or less than $1,001)","None,",None (or less than $201)
9.20,"Raymond James Deposit Program(St. Petersburg, FL)Type: Money Market Account,",Bank Deposit,Self,"$1,001 - $15,000","None,",None (or less than $201)
10,Raymond James RIRA,Retirement PlansIRA,Self,,,
10.1,BRK.B - Berkshire Hathaway Cl B,Corporate SecuritiesStock,Self,"$1,001 - $15,000","None,",None (or less than $201)
10.2,CGDG - Capital Group Dividend Growers ETF,Mutual FundsExchange Traded Fund/Note,Self,"$1,001 - $15,000","None,",None (or less than $201)
10.3,CGDV - Capital Group Dividend Value ETF,Mutual FundsExchange Traded Fund/Note,Self,"$1,001 - $15,000","None,",None (or less than $201)
10.4,DFIV - Dimensional International Value ETF,Mutual FundsExchange Traded Fund/Note,Self,"$1,001 - $15,000","None,",None (or less than $201)
10.5,DFAT - Dimensional U.S. Targeted Value ETF,Mutual FundsExchange Traded Fund/Note,Self,"$1,001 - $15,000","None,",None (or less than $201)
10.6,DFEV - Dimensional Emerging Markets Value ETF,Mutual FundsExchange Traded Fund/Note,Self,"$1,001 - $15,000","None,",None (or less than $201)
10.7,DFSV - Dimensional US Small Cap Value ETF,Mutual FundsExchange Traded Fund/Note,Self,"$1,001 - $15,000","None,",None (or less than $201)
10.8,VGSH - Vanguard Short-Term Treasury ETF,Mutual FundsExchange Traded Fund/Note,Self,"$1,001 - $15,000","None,",None (or less than $201)
10.9,DXJ - WisdomTree Japan Hedged Equity Fund,Mutual FundsExchange Traded Fund/Note,Self,"$1,001 - $15,000","None,",None (or less than $201)
10.10,CGXU - Capital Group International Focus Equity ETF,Mutual FundsExchange Traded Fund/Note,Self,"None (or less than $1,001)","None,",None (or less than $201)
10.11,DUHP - Dimensional ETF Trust Dimensional US High Profitab,Mutual FundsExchange Traded Fund/Note,Self,"None (or less than $1,001)","None,",None (or less than $201)
10.12,VYM - Vanguard High Dividend Yield ETF,Mutual FundsExchange Traded Fund/Note,Self,"None (or less than $1,001)","None,",None (or less than $201)
10.13,VYMI - Vanguard International High Dividend Yield ETF,Mutual FundsExchange Traded Fund/Note,Self,"None (or less than $1,001)","None,",None (or less than $201)
10.14,DFSVX - Dfa U.S. Small Cap Value Portfolio,Mutual FundsMutual Fund,Self,"None (or less than $1,001)","None,",None (or less than $201)
10.15,AMRFX - American Mutual Fund Class F-2 Shares,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","None,",None (or less than $201)
10.16,ICAFX - The Investment Company of America Class F-2 Shs,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","None,",None (or less than $201)
10.17,DISVX - Dfa International Small Cap Value Portfolio,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","None,",None (or less than $201)
10.18,DBLSX - Doubleline Low Duration Bond Fund Class I,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","None,",None (or less than $201)
10.19,"Raymond James Deposit Program(St. Petersburg, FL)Type: Money Market Account,",Bank Deposit,Self,"None (or less than $1,001)","None,",None (or less than $201)
10.20,FRSXX - FIMM Treasury Only Port,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","None,",None (or less than $201)
11,Raymond James IRA,Retirement PlansIRA,Spouse,,,
11.1,BRK.B - Berkshire Hathaway Cl B,Corporate SecuritiesStock,Spouse,"$15,001 - $50,000","None,",None (or less than $201)
11.2,CGDG - Capital Group Dividend Growers ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$1,001 - $15,000","None,",None (or less than $201)
11.3,CGDV - Capital Group Dividend Value ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$1,001 - $15,000","None,",None (or less than $201)
11.4,DFIV - Dimensional International Value ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$15,001 - $50,000","None,",None (or less than $201)
11.5,DFAT - Dimensional U.S. Targeted Value ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$1,001 - $15,000","None,",None (or less than $201)
11.6,DFEV - Dimensional Emerging Markets Value ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$1,001 - $15,000","None,",None (or less than $201)
11.7,DFSV - Dimensional US Small Cap Value ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$1,001 - $15,000","None,",None (or less than $201)
11.8,VGSH - Vanguard Short-Term Treasury ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$15,001 - $50,000","None,",None (or less than $201)
11.9,DXJ - WisdomTree Japan Hedged Equity Fund,Mutual FundsExchange Traded Fund/Note,Spouse,"$1,001 - $15,000","None,",None (or less than $201)
11.10,CGXU - Capital Intl Focus Equity ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"None (or less than $1,001)","None,",None (or less than $201)
11.11,DUHP - Dimensional ETF Trust Dimensional US High Profitab,Mutual FundsExchange Traded Fund/Note,Spouse,"None (or less than $1,001)","None,",None (or less than $201)
11.12,VYM - Vanguard High Dividend Yield ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"None (or less than $1,001)","None,",None (or less than $201)
11.13,VYMI - Vanguard International High Dividend Yield ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"None (or less than $1,001)","None,",None (or less than $201)
11.14,"Raymond James Deposit Program(St. Petersburg, FL)Type: Money Market Account,",Bank Deposit,Spouse,"$1,001 - $15,000","None,",None (or less than $201)
11.15,AMRFX - American Mutual Fund Class F-2 Shares,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","None,",None (or less than $201)
11.16,ICAFX - The Investment Company of America Class F-2 Shs,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","None,",None (or less than $201)
11.17,DISVX - Dfa International Small Cap Value Portfolio,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","None,",None (or less than $201)
11.18,DBLSX - Doubleline Low Duration Bond Fund Class I,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","None,",None (or less than $201)
11.19,DFSVX - Dfa U.S. Small Cap Value Portfolio,Mutual FundsMutual Fund,Spouse,"None (or less than $1,001)","None,",None (or less than $201)
11.20,FRSXX - FIMM Treasury Only Port,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000","None,",None (or less than $201)
12,Raymond James RIRA,Retirement PlansIRA,Spouse,,,
12.1,BRK.B - Berkshire Hathaway Cl B,Corporate SecuritiesStock,Spouse,"$1,001 - $15,000","None,",None (or less than $201)
12.2,CGDG - Capital Group Dividend Growers ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$1,001 - $15,000","None,",None (or less than $201)
12.3,CGDV - Capital Group Dividend Value ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$1,001 - $15,000","None,",None (or less than $201)
12.4,DFIV - Dimensional International Value ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$1,001 - $15,000","None,",None (or less than $201)
12.5,DFAT - Dimensional U.S. Targeted Value ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$1,001 - $15,000","None,",None (or less than $201)
12.6,DFEV - Dimensional Emerging Markets Value ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$1,001 - $15,000","None,",None (or less than $201)
12.7,DFSV - Dimensional US Small Cap Value ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$1,001 - $15,000","None,",None (or less than $201)
12.8,VGSH - Vanguard Short-Term Treasury ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$1,001 - $15,000","None,",None (or less than $201)
12.9,DXJ - WisdomTree Japan Hedged Equity Fund,Mutual FundsExchange Traded Fund/Note,Spouse,"$1,001 - $15,000","None,",None (or less than $201)
12.10,CGXU - Capital Intl Focus Equity ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"None (or less than $1,001)","None,",None (or less than $201)
12.11,DUHP - Dimensional ETF Trust Dimensional US High Profitab,Mutual FundsExchange Traded Fund/Note,Spouse,"None (or less than $1,001)","None,",None (or less than $201)
12.12,VYM - Vanguard High Dividend Yield ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"None (or less than $1,001)","None,",None (or less than $201)
12.13,VYMI - Vanguard International High Dividend Yield ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"None (or less than $1,001)","None,",None (or less than $201)
12.14,"Raymond James Deposit Program(St. Petersburg, FL)Type: Money Market Account,",Bank Deposit,Spouse,"None (or less than $1,001)","None,",None (or less than $201)
12.15,AMRFX - American Mutual Fund Class F-2 Shares,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","None,",None (or less than $201)
12.16,ICAFX - The Investment Company of America Class F-2 Shs,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","None,",None (or less than $201)
12.17,DISVX - Dfa International Small Cap Value Portfolio,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","None,",None (or less than $201)
12.18,DBLSX - Doubleline Low Duration Bond Fund Class I,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","None,",None (or less than $201)
12.19,DFSVX - Dfa U.S. Small Cap Value Portfolio,Mutual FundsMutual Fund,Spouse,"None (or less than $1,001)","None,",None (or less than $201)
12.20,FRSXX - FIMM Treasury Only Port,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","None,",None (or less than $201)
13,Raymond James Joint,Brokerage/Managed Account,Joint,,,
13.1,"AVT - Avnet, Inc. - Common Stock",Corporate SecuritiesStock,Joint,"$1,001 - $15,000","Dividends,",None (or less than $201)
13.2,BA - Boeing Company,Corporate SecuritiesStock,Joint,"$15,001 - $50,000","None,",None (or less than $201)
13.3,CVX - Chevron Corporation Common Stock,Corporate SecuritiesStock,Joint,"$15,001 - $50,000","Dividends,","$1,001 - $2,500"
13.4,XOM - Exxon Mobil Corporation Common Stock,Corporate SecuritiesStock,Joint,"$100,001 - $250,000","Dividends,","$5,001 - $15,000"
13.5,HAL - Halliburton Company Common Stock,Corporate SecuritiesStock,Joint,"$1,001 - $15,000","Dividends,","$201 - $1,000"
13.6,OXY - Occidental Petroleum Corporation Common Stock,Corporate SecuritiesStock,Joint,"$1,001 - $15,000","Dividends,",None (or less than $201)
13.7,PG - Procter & Gamble Company (The) Common Stock,Corporate SecuritiesStock,Joint,"$15,001 - $50,000","Dividends,","$201 - $1,000"
13.8,SLB - Schlumberger N.V. Common Stock,Corporate SecuritiesStock,Joint,"$1,001 - $15,000","Dividends,","$201 - $1,000"
13.9,"TMUS - T-Mobile US, Inc. - Common Stock",Corporate SecuritiesStock,Joint,"$1,001 - $15,000","Dividends,",None (or less than $201)
13.10,VVI - Viad Corp Common Stock,Corporate SecuritiesStock,Joint,"$1,001 - $15,000","None,",None (or less than $201)
13.11,"WMB - Williams Companies, Inc. (The) Common Stock",Corporate SecuritiesStock,Joint,"$1,001 - $15,000","Dividends,",None (or less than $201)
13.12,TRPXX - Invesco Treasury Portfolio Institutional Class,Mutual FundsMutual Fund,Joint,"$50,001 - $100,000","Dividends,","$2,501 - $5,000"
13.13,"Raymond James Deposit Program(St. Petersburg, FL)Type: Money Market Account,",Bank Deposit,Joint,"$1,001 - $15,000","Interest,",None (or less than $201)
