1,Bernardo Moreno Revocable Trust Dated July 2008,TrustGeneral Trust,Self,,,
1.1,"KeyBank National Association(Westlake, Ohio)Type: Checking, Savings,",Bank Deposit,Self,"$500,001 - $1,000,000","Interest,","$15,001 - $50,000"
1.2,"Sanford C Bernstein & Co, LLC",Brokerage/Managed Account,Self,,,
1.2.1,"AllianceBernstein Securitized Asset Fund (Delaware) LP CL BDescription: Securitized Asset Fund (New York City, New York)",Investment FundPrivate Equity Fund,Self,"$1,000,001 - $5,000,000","Excepted Investment Fund,","$100,001 - $1,000,000"
1.3,"M Realty Group, LLCCompany: M Realty Group, LLC (Westlake, OH) Description: Real Estate Holding Company",Business EntityLimited Liability Company (LLC),Self,,,
1.3.1,"M6 Realty, LLCCompany: M6 Realty, LLC (Westlake, Ohio) Description: Real Estate Holding Company",Business EntityLimited Liability Company (LLC),Self,,,
1.3.1.1,"Commercial Real EstateDescription: Building & Land (Middleburg Heights, Ohio) Filer comment:  Valuation reflects the total value of the asset. Filer owns 50%.",Real EstateCommercial,Self,"$1,000,001 - $5,000,000","Rent/Royalties,","$100,001 - $1,000,000"
1.3.2,"M7 Realty, LLCCompany: M7 Realty, LLC (Westlake, Ohio) Description: Real Estate Holding Company",Business EntityLimited Liability Company (LLC),Self,,,
1.3.2.1,"Commercial Real EstateDescription: Empty land (Hudson, Ohio) Filer comment:  Valuation reflects the total value of the asset.  Filer owns 50%.",Real EstateCommercial,Self,"$500,001 - $1,000,000","None,",None (or less than $201)
1.3.3,"M20 Realty LLC Company: M20 Realty LLC (Sunbury, Ohio) Description: Real Estate Holding Company",Business EntityLimited Liability Company (LLC),Self,,,
1.3.3.1,"Unimproved Land Description: Unimproved Land (Sunbury, Ohio) Filer comment:  Valuation reflects the total value of the asset. Filer owns 25%.",Real EstateUnimproved Land,Self,"$5,000,001 - $25,000,000","None,",None (or less than $201)
1.4,Moreno Family Land Trust,TrustGeneral Trust,Self,,,
1.4.1,"Residential Real Estate Description: Home in Ocean Reef, FL (Ocean Reef, Florida) Filer comment:  Valuation reflects the total value of the asset. Filer owns 43%.",Real EstateResidential,Self,"$5,000,001 - $25,000,000","Rent/Royalties,","$50,001 - $100,000"
