1,"Arvest Bank(Lowell, Arkansas)Type: Money Market Account,",Bank Deposit,Joint,"$100,001 - $250,000","Interest,","$5,001 - $15,000"
2,The Christie Renee Mullin Insurance TrustProvider: Provident Trust Group,Life InsuranceWhole,Spouse,"$1,000,001 - $5,000,000","None,",None (or less than $201)
3,"Mullin Ranch LLCDescription: Cattle Ranch (Westville, OK)",Farm,Joint,"$1,000,001 - $5,000,000","None,",None (or less than $201)
4,"Mullin Family Holdco LLCCompany: Mullin Family Holdco LLC (Westville, OK) Description: Equity investment in COP Hometown Parent LLC, a home services company.",Business EntityLimited Liability Company (LLC),Joint,,,
4.1,"COP Hometown Parent LLCCompany: COP Hometown Parent LLC (Westville, OK) Description: Home services company",Business EntityLimited Liability Company (LLC),Joint,"$500,001 - $1,000,000","None,",None (or less than $201)
5,"Mullin Family Holdco LLCCompany: Mullin Family Holdco LLC (Westville, OK) Description: Equity investment in COP Hometown Parent LLC, a home services company.",Business EntityLimited Liability Company (LLC),Child,,,
5.1,"COP Hometown Parent LLCCompany: COP Hometown Parent LLC (Westville, OK) Description: Home services company",Business EntityLimited Liability Company (LLC),Child,"$500,001 - $1,000,000","None,",None (or less than $201)
6,"Mullin Family Holdco LLCCompany: Mullin Family Holdco LLC (Westville, OK) Description: Equity investment in COP Hometown Parent LLC, a home services company.",Business EntityLimited Liability Company (LLC),Child,,,
6.1,"COP Hometown Parent LLCCompany: COP Hometown Parent LLC (Westville, OK) Description: Home services company",Business EntityLimited Liability Company (LLC),Child,"$500,001 - $1,000,000","None,",None (or less than $201)
7,"Mullin Family Holdco LLCCompany: Mullin Family Holdco LLC (Westville, OK) Description: Equity investment in COP Hometown Parent LLC, a home services company.",Business EntityLimited Liability Company (LLC),Child,,,
7.1,"COP Hometown Parent LLCCompany: COP Hometown Parent LLC (Westville, OK) Description: Home services company",Business EntityLimited Liability Company (LLC),Child,"$500,001 - $1,000,000","None,",None (or less than $201)
8,"Mullin Family Holdco LLCCompany: Mullin Family Holdco LLC (Westville, OK) Description: Equity investment in COP Hometown Parent LLC, a home services company.",Business EntityLimited Liability Company (LLC),Child,,,
8.1,"COP Hometown Parent LLCCompany: COP Hometown Parent LLC (Westville, OK) Description: Home services company",Business EntityLimited Liability Company (LLC),Child,"$500,001 - $1,000,000","None,",None (or less than $201)
9,"Mullin Family Holdco LLCCompany: Mullin Family Holdco LLC (Westville, OK) Description: Equity investment in COP Hometown Parent LLC, a home services company.",Business EntityLimited Liability Company (LLC),Child,,,
9.1,"COP Hometown Parent LLCCompany: COP Hometown Parent LLC (Westville, OK) Description: Home services company",Business EntityLimited Liability Company (LLC),Child,"$500,001 - $1,000,000","None,",None (or less than $201)
10,"Mullin Family Holdco LLCCompany: Mullin Family Holdco LLC (Westville, OK) Description: Equity investment in COP Hometown Parent LLC, a home services company.",Business EntityLimited Liability Company (LLC),Child,,,
10.1,"COP Hometown Parent LLCCompany: COP Hometown Parent LLC (Westville, OK) Description: Home services company",Business EntityLimited Liability Company (LLC),Child,"$500,001 - $1,000,000","None,",None (or less than $201)
11,"Rowan's Restaurant LLCCompany: Rowan's Restaurant LLC (Stillwell, OK) Description: Restaurant in Stillwell, Oklahoma.",Business EntityLimited Liability Company (LLC),Spouse,"None (or less than $1,001)","Capital Gains,","$1,000,001 - $5,000,000"
12,"Mullin Properties LLCCompany: Mullin Properties LLC (Westville, OK) Description: Property and Land in Oklahoma.",Business EntityLimited Liability Company (LLC),Joint,,,
12.1,"N Main StDescription: Investment property (Broken Arrow, OK)",Real EstateCommercial,Joint,"$100,001 - $250,000","None,",None (or less than $201)
12.2,"S Elm PlDescription: Investment property (Broken Arrow, OK)",Real EstateCommercial,Joint,"$1,000,001 - $5,000,000","None,",None (or less than $201)
12.3,"N ShieldsDescription: Investment property (Moore, OK)",Real EstateCommercial,Joint,"$1,000,001 - $5,000,000","None,",None (or less than $201)
12.4,"39th StDescription: Investment property (Oklahoma City, OK)",Real EstateCommercial,Joint,"$100,001 - $250,000","None,",None (or less than $201)
12.5,"Land on HWY 51Description: Investment property (Stilwell, OK)",Real EstateUnimproved Land,Joint,"$50,001 - $100,000","None,",None (or less than $201)
12.6,"5 Acres - CruzDescription: Investment property (Westville, OK)",Real EstateUnimproved Land,Joint,"$15,001 - $50,000","None,",None (or less than $201)
12.7,"8 Acres - RoseDescription: Investment property (Westville, OK)",Real EstateUnimproved Land,Joint,"$15,001 - $50,000","None,",None (or less than $201)
12.8,"100 Acres - BraitwaiteDescription: Investment property (Westville, OK)",Real EstateUnimproved Land,Joint,"$100,001 - $250,000","None,",None (or less than $201)
12.9,"20 Acres - MorenoDescription: Investment property (Westville, OK)",Real EstateUnimproved Land,Joint,"$15,001 - $50,000","None,",None (or less than $201)
12.10,"210 Acres - FieldenDescription: Investment property (Westville, OK)",Real EstateUnimproved Land,Joint,"$250,001 - $500,000","None,",None (or less than $201)
12.11,"40 Acres - WestvilleDescription: Investment property (Westville, OK)",Real EstateUnimproved Land,Joint,"$50,001 - $100,000","None,",None (or less than $201)
12.12,"N 23rd StDescription: Investment property (Broken Arrow, OK)",Real EstateResidential,Joint,"$250,001 - $500,000","None,",None (or less than $201)
12.13,"Land - Rock HouseDescription: Investment property (Westville, OK)",Real EstateResidential,Joint,"$1,001 - $15,000","None,",None (or less than $201)
12.14,"Land - PhillipsDescription: Investment property (Westville, OK)",Real EstateUnimproved Land,Joint,"$100,001 - $250,000","None,",None (or less than $201)
13,ABT - Abbott Laboratories Common Stock,Corporate SecuritiesStock,Joint,"$1,001 - $15,000","Dividends,","$201 - $1,000"
14,AXP - American Express Company,Corporate SecuritiesStock,Joint,"$50,001 - $100,000","Dividends,","$201 - $1,000"
15,ELV - Elevance Health Inc,Corporate SecuritiesStock,Joint,"$15,001 - $50,000","Dividends,","$201 - $1,000"
16,AAPL - Apple Inc,Corporate SecuritiesStock,Joint,"$250,001 - $500,000","Dividends,","$1,001 - $2,500"
17,"AMAT - Applied Materials, Inc. - Common Stock",Corporate SecuritiesStock,Joint,"$50,001 - $100,000","Dividends,","$201 - $1,000"
