1,"Arvest Bank(Lowell, Arkansas)Type: Money Market Account,",Bank Deposit,Joint,"$50,001 - $100,000","Interest,","$2,501 - $5,000"
2,Northwestern Mutual FDIC Insured,Mutual FundsMutual Fund,Joint,"None (or less than $1,001)","Interest,","$1,001 - $2,500"
3,DODIX - Dodge & Cox Income Fund - Class I,Mutual FundsMutual Fund,Joint,"None (or less than $1,001)","Dividends,","$2,501 - $5,000"
4,American Bond Fund,Mutual FundsMutual Fund,Joint,"None (or less than $1,001)","Dividends, Capital Gains,","$1,001 - $2,500"
5,Cohen & Steers Preferred,Mutual FundsMutual Fund,Joint,"None (or less than $1,001)","Dividends,","$2,501 - $5,000"
6,Invesco Exchange-Traded FD,Mutual FundsMutual Fund,Joint,"None (or less than $1,001)","Dividends,","$5,001 - $15,000"
7,Ishares TR PFD & Income SECS ETF,Mutual FundsMutual Fund,Joint,"None (or less than $1,001)","Dividends,","$5,001 - $15,000"
8,Global X FDS US PFD ETF,Mutual FundsMutual Fund,Joint,"None (or less than $1,001)","Dividends,","$2,501 - $5,000"
9,Nuveen High Yield Municipal Bond Fund,Mutual FundsMutual Fund,Joint,"None (or less than $1,001)","Dividends,","$201 - $1,000"
10,Nuveen Limited Term Municipal Bond Fund,Mutual FundsMutual Fund,Joint,"None (or less than $1,001)","Dividends,",None (or less than $201)
11,JHBIX - John Hancock Bond Fund Class I,Mutual FundsMutual Fund,Joint,"None (or less than $1,001)","Dividends,","$1,001 - $2,500"
12,Principal Spectrum Preferred AND,Mutual FundsMutual Fund,Joint,"None (or less than $1,001)","Dividends,","$2,501 - $5,000"
13,Vaneck ETF TR High Yield Mun Index ETF,Mutual FundsMutual Fund,Joint,"None (or less than $1,001)","Dividends,",None (or less than $201)
14,Victory Market Neutral Income Fund,Mutual FundsMutual Fund,Joint,"None (or less than $1,001)","Dividends, Capital Gains,","$5,001 - $15,000"
15,Northwestern Mutual FDIC Insured,Mutual FundsMutual Fund,Joint,"None (or less than $1,001)","Interest,","$5,001 - $15,000"
16,DODGX - Dodge & Cox Stock Fund - Class I,Mutual FundsMutual Fund,Joint,"None (or less than $1,001)","Dividends, Capital Gains,","$15,001 - $50,000"
17,Fidelity Advisor Real Estate Income,Mutual FundsMutual Fund,Joint,"None (or less than $1,001)","Dividends,","$5,001 - $15,000"
18,Ishares TR Select Divid ETF FD,Mutual FundsMutual Fund,Joint,"None (or less than $1,001)","Dividends,","$1,001 - $2,500"
19,Ishares TR Core S&P Mid-Cap ETF,Mutual FundsMutual Fund,Joint,"None (or less than $1,001)","Dividends,","$5,001 - $15,000"
20,Ishares TR Russell 1000 ETF,Mutual FundsMutual Fund,Joint,"None (or less than $1,001)","Dividends,","$5,001 - $15,000"
21,Ishares TR Core S&P Small-Cap ETF,Mutual FundsMutual Fund,Joint,"None (or less than $1,001)","Dividends,","$2,501 - $5,000"
22,John Hancock Exchange Traded FD,Mutual FundsMutual Fund,Joint,"None (or less than $1,001)","Dividends,","$2,501 - $5,000"
23,Pacers FDS TR Data Infrastructure Real,Mutual FundsMutual Fund,Joint,"None (or less than $1,001)","Dividends,","$2,501 - $5,000"
24,Pimco Commodities Plus Strategy Fund Class I2,Mutual FundsMutual Fund,Joint,"None (or less than $1,001)","Dividends,","$2,501 - $5,000"
25,Schwab Strategic TR US Mid-Cap,Mutual FundsMutual Fund,Joint,"None (or less than $1,001)","Dividends,","$5,001 - $15,000"
26,Vanguard Specialized Funds Divid,Mutual FundsMutual Fund,Joint,"None (or less than $1,001)","Dividends,","$5,001 - $15,000"
27,Vanguard Intl FD FTSE Developed Mkts,Mutual FundsMutual Fund,Joint,"None (or less than $1,001)","Dividends,","$15,001 - $50,000"
28,Vanguard Intl Equity Index FDS FTSE,Mutual FundsMutual Fund,Joint,"None (or less than $1,001)","Dividends,","$5,001 - $15,000"
29,Vanguard Index FDS Real Estate Index FD,Mutual FundsMutual Fund,Joint,"None (or less than $1,001)","Dividends,","$2,501 - $5,000"
30,Victory Market Neutral Income Fund,Mutual FundsMutual Fund,Joint,"None (or less than $1,001)","Dividends,","$5,001 - $15,000"
31,Northwestern Mutual,Life InsuranceVariable,Joint,"$1,000,001 - $5,000,000","Dividends,","$15,001 - $50,000"
32,"Mullin Realty LLCDescription: Florida Investment Property (Englewood, FL)",Real EstateResidential,Joint,"$1,000,001 - $5,000,000","None,",None (or less than $201)
33,The Christie Renee Mullin Insurance TrustProvider: Provident Trust Group,Life InsuranceWhole,Spouse,"$1,000,001 - $5,000,000","None,",None (or less than $201)
34,American High Income Municipal,Mutual FundsMutual Fund,Joint,"None (or less than $1,001)","Other, (Tax-Exempt Dividends)","Other $9,090.28"
35,Nuveen High Yield Municipal Bond Fund,Mutual FundsMutual Fund,Joint,"None (or less than $1,001)","Dividends, Other, (Tax-Exempt Dividends)","$5,001 - $15,000Other $9,105.70"
36,Nuveen Limited Term Municipal Bond Fund,Mutual FundsMutual Fund,Joint,"None (or less than $1,001)","Dividends, Other, (Tax-Exempt Dividends)","$201 - $1,000Other $550.26"
37,Vaneck ETF TR High Yield Mun Index ETF,Mutual FundsMutual Fund,Joint,"None (or less than $1,001)","Dividends, Other, (Tax-Exempt Dividends)","$2,501 - $5,000Other $4,696.55"
38,Vanguard Intermediate Term Tax Exempt Fund Admiral Shares,Mutual FundsMutual Fund,Joint,"None (or less than $1,001)","Dividends, Other, (Tax-Exempt Dividends)","$1,001 - $2,500Other $1,517.21"
39,"Mullin Ranch LLCDescription: Cattle Ranch (Westville, OK)",Farm,Joint,"$1,000,001 - $5,000,000","None,",None (or less than $201)
40,LPL Financial,Mutual FundsMutual Fund,Spouse,"$100,001 - $250,000","Interest,","$5,001 - $15,000"
41,LPL Financial,Mutual FundsMutual Fund,Self,"$100,001 - $250,000","Interest,","$5,001 - $15,000"
42,"Mullin Family Holdco LLCCompany: Mullin Family Holdco LLC (Westville, OK) Description: Equity investment in COP Hometown Parent LLC, a home services company.",Business EntityLimited Liability Company (LLC),Joint,"$500,001 - $1,000,000","None,",None (or less than $201)
43,"Mullin Family Holdco LLCCompany: Mullin Family Holdco LLC (Westville, OK) Description: Equity investment in COP Hometown Parent LLC, a home services company.",Business EntityLimited Liability Company (LLC),Child,"$500,001 - $1,000,000","None,",None (or less than $201)
44,"Mullin Family Holdco LLCCompany: Mullin Family Holdco LLC (Westville, OK) Description: Equity investment in COP Hometown Parent LLC, a home services company.",Business EntityLimited Liability Company (LLC),Child,"$500,001 - $1,000,000","None,",None (or less than $201)
45,"Mullin Family Holdco LLCCompany: Mullin Family Holdco LLC (Westville, OK) Description: Equity investment in COP Hometown Parent LLC, a home services company.",Business EntityLimited Liability Company (LLC),Child,"$500,001 - $1,000,000","None,",None (or less than $201)
46,"Mullin Family Holdco LLCCompany: Mullin Family Holdco LLC (Westville, OK) Description: Equity investment in COP Hometown Parent LLC, a home services company.",Business EntityLimited Liability Company (LLC),Child,"$500,001 - $1,000,000","None,",None (or less than $201)
47,"Mullin Family Holdco LLCCompany: Mullin Family Holdco LLC (Westville, OK) Description: Equity investment in COP Hometown Parent LLC, a home services company.",Business EntityLimited Liability Company (LLC),Child,"$500,001 - $1,000,000","None,",None (or less than $201)
48,"Mullin Family Holdco LLCCompany: Mullin Family Holdco LLC (Westville, OK) Description: Equity investment in COP Hometown Parent LLC, a home services company.",Business EntityLimited Liability Company (LLC),Child,"$500,001 - $1,000,000","None,",None (or less than $201)
49,"Rowan's Restaurant LLCCompany: Rowan's Restaurant LLC (Stillwell, OK) Description: Restaurant in Stillwell, Oklahoma.",Business EntityLimited Liability Company (LLC),Spouse,"$500,001 - $1,000,000","None,",None (or less than $201)
50,"Mullin Properties LLCCompany: Mullin Properties LLC (Westville, OK) Description: Property and Land in Oklahoma.",Business EntityLimited Liability Company (LLC),Joint,"$1,000,001 - $5,000,000","Rent/Royalties,","$201 - $1,000"
51,"Mullin Realty LLCDescription: Washington DC Investment Property (Washington, DC)",Real EstateResidential,Joint,"$1,000,001 - $5,000,000","None,",None (or less than $201)
52,ABT - Abbott Laboratories Common Stock,Corporate SecuritiesStock,Joint,"$15,001 - $50,000","Dividends,","$201 - $1,000"
53,AXP - American Express Company,Corporate SecuritiesStock,Joint,"$50,001 - $100,000","Dividends,",None (or less than $201)
54,ELV - Elevance Health Inc,Corporate SecuritiesStock,Joint,"$15,001 - $50,000","Dividends,",None (or less than $201)
55,AAPL - Apple Inc,Corporate SecuritiesStock,Joint,"$100,001 - $250,000","Dividends,",None (or less than $201)
56,"AMAT - Applied Materials, Inc. - Common Stock",Corporate SecuritiesStock,Joint,"$50,001 - $100,000","Dividends,",None (or less than $201)
57,BLK - Blackrock Inc,Corporate SecuritiesStock,Joint,"$50,001 - $100,000","Dividends,","$201 - $1,000"
58,CSX - CSX Corp,Corporate SecuritiesStock,Joint,"$50,001 - $100,000","Dividends,",None (or less than $201)
59,CAT - Caterpillar Inc,Corporate SecuritiesStock,Joint,"$15,001 - $50,000","Dividends,","$201 - $1,000"
60,CVX - Chevron Corp,Corporate SecuritiesStock,Joint,"$15,001 - $50,000","Dividends,","$201 - $1,000"
61,COKE - Coca Cola Bot Cons,Corporate SecuritiesStock,Joint,"$15,001 - $50,000","Dividends,","$201 - $1,000"
62,Northwestern Mutual FDIC Insured,Mutual FundsMutual Fund,Joint,"$500,001 - $1,000,000","Interest,","$5,001 - $15,000"
63,Cohen & Steers Real Estate,Corporate SecuritiesStock,Joint,"$500,001 - $1,000,000","Dividends,","$5,001 - $15,000"
64,Comcast Corp New CL,Corporate SecuritiesStock,Joint,"$15,001 - $50,000","Dividends,","$201 - $1,000"
65,Conoco Phillips Com,Corporate SecuritiesStock,Joint,"$15,001 - $50,000","Dividends,","$201 - $1,000"
66,Constellation Brands Inc CL A,Corporate SecuritiesStock,Joint,"$15,001 - $50,000","Dividends,",None (or less than $201)
67,Costco Wholesale Corp New Com,Corporate SecuritiesStock,Joint,"$50,001 - $100,000","Dividends,",None (or less than $201)
68,DHR - Danaher Corporation Common Stock,Corporate SecuritiesStock,Joint,"$15,001 - $50,000","Dividends,",None (or less than $201)
69,DE - Deere & Company Common Stock,Corporate SecuritiesStock,Joint,"$15,001 - $50,000","Dividends,",None (or less than $201)
70,EMR - Emerson Electric Company,Corporate SecuritiesStock,Joint,"$15,001 - $50,000","Dividends,","$201 - $1,000"
71,Fidelity Advisor Focus Emerging,Mutual FundsMutual Fund,Joint,"$500,001 - $1,000,000","Dividends,","$5,001 - $15,000"
72,Goldman Sachs Group,Mutual FundsMutual Fund,Joint,"$50,001 - $100,000","Dividends,","$201 - $1,000"
73,Goldman Sachs International,Mutual FundsMutual Fund,Joint,"$1,000,001 - $5,000,000","Dividends,","$15,001 - $50,000"
74,American Growth Fund of America,Mutual FundsMutual Fund,Joint,"$1,000,001 - $5,000,000","Dividends,","$5,001 - $15,000"
75,HLT - Hilton Worldwide Holdings Inc. Common Stock,Corporate SecuritiesStock,Joint,"$50,001 - $100,000","Dividends,",None (or less than $201)
76,"HD - Home Depot, Inc. (The) Common Stock",Corporate SecuritiesStock,Joint,"$50,001 - $100,000","Dividends,","$201 - $1,000"
77,HON - Honeywell International Inc,Corporate SecuritiesStock,Joint,"$50,001 - $100,000","Dividends,","$201 - $1,000"
78,ICE - Intercontinental Exchange Inc. Common Stock,Corporate SecuritiesStock,Joint,"$50,001 - $100,000","Dividends,","$201 - $1,000"
79,Ishares Inc MSCI Eurozone ETF,Mutual FundsMutual Fund,Joint,"$500,001 - $1,000,000","Dividends,","$2,501 - $5,000"
80,Ishares TR Core S & P Mid-Cap ETF,Mutual FundsMutual Fund,Joint,"None (or less than $1,001)","Dividends,","$2,501 - $5,000"
81,Ishares TR Russell 1000 ETF,Mutual FundsMutual Fund,Joint,"$1,000,001 - $5,000,000","Dividends,","$5,001 - $15,000"
82,Ishares TR Core S & P Small-Cap ETF,Mutual FundsMutual Fund,Joint,"$500,001 - $1,000,000","Dividends,","$5,001 - $15,000"
83,Ishares TR Core MSCI EAFE ETF,Mutual FundsMutual Fund,Joint,"$1,000,001 - $5,000,000","Dividends,","$15,001 - $50,000"
84,Ishares Inc Core MSCI Emerging Mkts,Mutual FundsMutual Fund,Joint,"$1,000,001 - $5,000,000","Dividends,","$15,001 - $50,000"
85,JPM - JP Morgan Chase & Company,Corporate SecuritiesStock,Joint,"$50,001 - $100,000","Dividends,","$201 - $1,000"
86,KLAC - KLA Corporation  - Common Stock,Corporate SecuritiesStock,Joint,"$100,001 - $250,000","Dividends,","$201 - $1,000"
87,LLY - Eli Lilly and Company Common Stock,Corporate SecuritiesStock,Joint,"$15,001 - $50,000","Dividends,",None (or less than $201)
88,MA - Mastercard Incorporated Common Stock,Corporate SecuritiesStock,Joint,"$15,001 - $50,000","Dividends,",None (or less than $201)
89,MSFT - Microsoft Corporation - Common Stock,Corporate SecuritiesStock,Joint,"$50,001 - $100,000","Dividends,",None (or less than $201)
90,NVDA - Nvidia Corp,Corporate SecuritiesStock,Joint,"$50,001 - $100,000","Dividends,",None (or less than $201)
91,PCLPX - Pimco Commoditiesplus Strategy Fund Class I-2,Mutual FundsMutual Fund,Joint,"$250,001 - $500,000","Dividends,","$5,001 - $15,000"
92,Proctor & Gamble Co,Corporate SecuritiesStock,Joint,"$15,001 - $50,000","Dividends,","$201 - $1,000"
93,RTX - RTX Corporation Common Stock,Corporate SecuritiesStock,Joint,"$50,001 - $100,000","Dividends,","$201 - $1,000"
94,TRBCX - T. Rowe Price Blue Chip Growth Fund Inc.,Mutual FundsMutual Fund,Joint,"$1,000,001 - $5,000,000","Capital Gains,","$50,001 - $100,000"
95,S & P Global Inc,Mutual FundsMutual Fund,Joint,"$50,001 - $100,000","Dividends,",None (or less than $201)
96,SPDR S & P Mid Cap 400,Mutual FundsMutual Fund,Joint,"$500,001 - $1,000,000","Dividends,","$5,001 - $15,000"
97,Sherwin Williams Co,Corporate SecuritiesStock,Joint,"$50,001 - $100,000","Dividends,",None (or less than $201)
98,SBUX - Starbucks Corporation - Common Stock,Corporate SecuritiesStock,Joint,"$15,001 - $50,000","Dividends,","$201 - $1,000"
99,TMUS - T-Mobile US,Corporate SecuritiesStock,Joint,"$50,001 - $100,000","Dividends,","$201 - $1,000"
100,TXN - Texas Instruments Incorporated - Common Stock,Corporate SecuritiesStock,Joint,"$15,001 - $50,000","Dividends,","$201 - $1,000"
101,TMO - Thermo Fisher Scientific Inc,Corporate SecuritiesStock,Joint,"$50,001 - $100,000","Dividends,",None (or less than $201)
102,UNP - Union Pacific Corp,Corporate SecuritiesStock,Joint,"$50,001 - $100,000","Dividends,","$201 - $1,000"
103,United Health Corp Inc,Corporate SecuritiesStock,Joint,"$15,001 - $50,000","Dividends,",None (or less than $201)
104,VLO - Valero Energy Corp,Corporate SecuritiesStock,Joint,"$50,001 - $100,000","Dividends,","$201 - $1,000"
105,Vanguard World FDS MATLS ETF,Mutual FundsMutual Fund,Joint,"$100,001 - $250,000","Dividends,","$201 - $1,000"
106,Vanguard World FDS UTILS ETF,Mutual FundsMutual Fund,Joint,"$15,001 - $50,000","Dividends,","$201 - $1,000"
107,Vanguard Index FDS Real Estate Index FD,Mutual FundsMutual Fund,Joint,"$500,001 - $1,000,000","Dividends,","$5,001 - $15,000"
108,Vanguard Index FDS Mid-Cap ETF,Mutual FundsMutual Fund,Joint,"$1,000,001 - $5,000,000","Dividends,","$5,001 - $15,000"
109,CBHIX - Victory Market Neutral Income Fund - Class I,Mutual FundsMutual Fund,Joint,"None (or less than $1,001)","Dividends,","$201 - $1,000"
110,Visa Inc Com CL A,Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Dividends,",None (or less than $201)
111,ZTS - Zoetis Inc Cl A,Corporate SecuritiesStock,Joint,"$50,001 - $100,000","Dividends,",None (or less than $201)
112,Northwestern Mutual FDIC Insured,Mutual FundsMutual Fund,Joint,"$50,001 - $100,000","Interest,","$5,001 - $15,000"
113,American Bond Fund,Mutual FundsMutual Fund,Joint,"None (or less than $1,001)","Dividends,","$201 - $1,000"
114,PSF - Cohen & Steers Preferred Fund,Mutual FundsMutual Fund,Joint,"None (or less than $1,001)","Dividends,","$201 - $1,000"
115,Global X FDS US PFD ETF,Mutual FundsMutual Fund,Joint,"None (or less than $1,001)","Dividends,","$1,001 - $2,500"
116,John Hancock Bond Fund Class I,Mutual FundsMutual Fund,Joint,"None (or less than $1,001)","Dividends,","$201 - $1,000"
117,Invesco Exchange Traded FD,Mutual FundsMutual Fund,Joint,"None (or less than $1,001)","Dividends,","$201 - $1,000"
118,Ishares TR PFD & Income Secs ETF,Mutual FundsMutual Fund,Joint,"None (or less than $1,001)","Dividends,","$1,001 - $2,500"
119,Nuveen High Yield Municipal Bond Fund,Mutual FundsMutual Fund,Joint,"None (or less than $1,001)","Dividends, Other, (Tax-Exempt Dividends)","None (or less than $201)Other $1,821.00"
120,Nuveen Limited Term Municipal Bond Fund,Mutual FundsMutual Fund,Joint,"None (or less than $1,001)","Dividends, Other, (Tax-Exempt Dividends)",None (or less than $201)Other $123.00
121,Principal Spectrum Preferred,Mutual FundsMutual Fund,Joint,"None (or less than $1,001)","Dividends,","$201 - $1,000"
122,Vaneck TR High Yield Mun Index ETF,Mutual FundsMutual Fund,Joint,"None (or less than $1,001)","Dividends, Other, (Tax-Exempt Dividends)","None (or less than $201)Other $1,614.00"
123,CBHIX - Victory Market Neutral Income Fund - Class I,Mutual FundsMutual Fund,Joint,"None (or less than $1,001)","Dividends,","$201 - $1,000"
124,HIMFX - American High-Income Municipal Bond Fund - Class,Mutual FundsMutual Fund,Joint,"None (or less than $1,001)","Other, (Tax-Exempt Dividends)","Other $1,932.00"
125,Vanguard Intermediate Term Tax-Exempt Fund Admiral Shares,Mutual FundsMutual Fund,Joint,"None (or less than $1,001)","Other, (Tax-Exempt Dividends)",Other $307.00
126,Northwestern Mutual FDIC Insured,Mutual FundsMutual Fund,Joint,"None (or less than $1,001)","Interest,","$15,001 - $50,000"
127,DGQMM - Dreyfus Government Cash Management Wealth Shares,Mutual FundsMutual Fund,Joint,"$500,001 - $1,000,000","Dividends,","$5,001 - $15,000"
