1,The Thomas Jonathan Ossoff Qualified Blind Trust of 2021,TrustBlind,Self,"$1,000,001 - $5,000,000","Qualified Blind Trust,","$100,001 - $1,000,000"
2,Fidelity IRA,Retirement PlansIRA,Self,,,
2.1,Fidelity Government Money Market (SPAXX),Mutual FundsMutual Fund,Self,"$50,001 - $100,000","Excepted Investment Fund,",None (or less than $201)
3,State of Israel,Foreign BondsForeign Bond,Self,"$1,001 - $15,000","None,",None (or less than $201)
4,Edward Jones Roth IRA Select - Growth Focus,Retirement PlansIRA,Spouse,,,
4.1,EUSB - iShares ESG Advanced Total USD Bond Market ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
4.2,ESGV - Vanguard ESG U.S. Stock ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
4.3,VSGX - Vanguard ESG International Stock ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
4.4,ARGFX - Ariel Fund Investor Cl,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
4.5,ARTZX - Artisan Sustainable Emerging Markets Fund - Inve,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
4.6,BAFWX - Brown Advisory Sustainable Growth Fd Inst Shs,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
4.7,HGXIX - Hartford Global Impact Fund Class I,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
4.8,JTQRX - John Hancock ESG International Equity Fund Class,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
4.9,PRBLX - Parnassus Core Equity Fund-Investor Shares,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
4.10,PTRSX - Pimco Total Return ESG Fund Class I3,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
5,Emory University Retirement Plan - 091326,Retirement PlansDefined Contribution Pension Plan,Spouse,,,
5.1,Vanguard Inst Target Ret 2055 FundFiler comment:  Rollover proceeds to Millennium Trust Company,Mutual FundsMutual Fund,Spouse,"None (or less than $1,001)","None,",None (or less than $201)
6,"Wells Fargo(Atlanta, GA)Type: Checking,",Bank Deposit,Spouse,"$15,001 - $50,000","Interest,",None (or less than $201)
7,Edward Jones Brokerage Account,Brokerage/Managed Account,Spouse,,,
7.1,"Bank of India(New York, NY)Type: Certificate of Deposit,",Bank Deposit,Spouse,"$1,001 - $15,000","None,",None (or less than $201)
7.2,"Wells Fargo Bank NA(Sioux Falls, South Dakota)Type: Certificate of Deposit,",Bank Deposit,Spouse,"$1,001 - $15,000","None,",None (or less than $201)
7.3,United States Treasury NTSRate/Coupon: None  Matures: NoneFiler comment:  4.5%; Maturity 11/30/2024,Government SecuritiesUS Treasury/Agency Security,Spouse,"$1,001 - $15,000","Interest,","$201 - $1,000"
7.4,"Edward Jones(Mount Kisco, NY)Type: Brokerage Sweep Account,",Bank Deposit,Spouse,"None (or less than $1,001)","Interest,","$201 - $1,000"
8,Millennium Trust Company - Rollover Traditional IRA,Retirement PlansIRA,Spouse,,,
8.1,"Millennium Trust Company(Oak Brook, IL)Type: IRA Cash Accounts,",Bank Deposit,Spouse,"$1,001 - $15,000","None,",None (or less than $201)
9,Fidelity Brokerage,Brokerage/Managed Account,Self,,,
9.1,"Fidelity Cash(Jersey City, NJ)Type: Money Market Account,",Bank Deposit,Self,"None (or less than $1,001)","Interest,","$201 - $1,000"
