1,The Thomas Jonathan Ossoff Qualified Blind Trust of 2021,TrustBlind,Self,"$1,000,001 - $5,000,000","Qualified Blind Trust,","$50,001 - $100,000"
2,Fidelity IRA,Retirement PlansIRA,Self,,,
2.1,FDRXX - Fidelity Government Cash Reserves,Mutual FundsMutual Fund,Self,"$50,001 - $100,000","Excepted Investment Fund,",None (or less than $201)
3,State of Israel,Foreign BondsForeign Bond,Self,"$1,001 - $15,000","None,",None (or less than $201)
4,Edward Jones Roth IRA Select - Growth Focus,Retirement PlansIRA,Spouse,,,
4.1,EUSB - iShares ESG Advanced Total USD Bond Market ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
4.2,ESGV - Vanguard ESG U.S. Stock ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
4.3,VSGX - Vanguard ESG International Stock ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
4.4,ARGFX - Ariel Fund Investor Cl,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
4.5,ARTZX - Artisan Sustainable Emerging Markets Fund - Inve,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
4.6,BAFWX - Brown Advisory Sustainable Growth Fd Inst Shs,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
4.7,HGXIX - Hartford Global Impact Fund Class I,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
4.8,JTQRX - John Hancock ESG International Equity Fund Class,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
4.9,PRBLX - Parnassus Core Equity Fund-Investor Shares,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
4.10,PTRSX - Pimco Total Return ESG Fund Class I3,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
4.11,FGTXX - Goldman Financial Square Government Fund,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
5,"Wells Fargo(Atlanta, GA)Type: Checking,",Bank Deposit,Spouse,"$15,001 - $50,000","Interest,",None (or less than $201)
6,Edward Jones Brokerage Account,Brokerage/Managed Account,Spouse,,,
6.1,"Bank of India(New York, NY)Type: Certificate of Deposit, Filer comment:  Fully matured",Bank Deposit,Spouse,"None (or less than $1,001)","Interest,","$201 - $1,000"
6.2,"Wells Fargo Bank NA(Sioux Falls, South Dakota)Type: Certificate of Deposit, Filer comment:  Fully matured",Bank Deposit,Spouse,"None (or less than $1,001)","Interest,","$201 - $1,000"
6.3,United States Treasury NTSRate/Coupon: None  Matures: NoneFiler comment:  Fully matured; 4.5%; Maturity 11/30/2024,Government SecuritiesUS Treasury/Agency Security,Spouse,"None (or less than $1,001)","Interest,","$201 - $1,000"
6.4,"Edward Jones(Mount Kisco, NY)Type: Brokerage Sweep Account,",Bank Deposit,Spouse,"$1,001 - $15,000","None,",None (or less than $201)
6.5,"U S Bank National Association Instl Certificate Deposit(San Diego, CA)Type: Certificate of Deposit,",Bank Deposit,Spouse,"$1,001 - $15,000","None,",None (or less than $201)
6.6,TBIXX - Federated Tax-Free Obligations Fund,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
7,Millennium Trust Company - Rollover Traditional IRA,Retirement PlansIRA,Spouse,,,
7.1,"Millennium Trust Company(Oak Brook, IL)Type: IRA Cash Accounts,",Bank Deposit,Spouse,"None (or less than $1,001)","None,",None (or less than $201)
8,Fidelity Brokerage,Brokerage/Managed Account,Self,,,
8.1,"Fidelity Cash(Jersey City, NJ)Type: Money Market Account,",Bank Deposit,Self,"$1,001 - $15,000","None,",None (or less than $201)
9,Emory Clinic Inc. - 403(b),Retirement PlansDefined Contribution Pension Plan,Spouse,,,
9.1,VFFVX - Vanguard Target Retirement 2055 Fund,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
