1,South Dakota Retirement System,Retirement PlansDefined Benefit Pension Plan,Spouse,"$15,001 - $50,000","None,",None (or less than $201)
2,Merrill Lynch - Parametric,Brokerage/Managed Account,Spouse,,,
2.1,"ACIW - ACI Worldwide, Inc. - Common StockFiler comment:  No longer held",Corporate SecuritiesStock,Spouse,"None (or less than $1,001)","Capital Gains,","$1,001 - $2,500"
2.2,ADBE - Adobe Inc. - Common StockFiler comment:  No longer held,Corporate SecuritiesStock,Spouse,"None (or less than $1,001)","Capital Gains,","$1,001 - $2,500"
2.3,"ARE - Alexandria Real Estate Equities, Inc. Common StockFiler comment:  No longer held",Corporate SecuritiesStock,Spouse,"None (or less than $1,001)","Dividends, Capital Gains,","$1,001 - $2,500"
2.4,AVXL - Anavex Life Sciences Corp. - Common StockFiler comment:  No longer held,Corporate SecuritiesStock,Spouse,"None (or less than $1,001)","Capital Gains,","$201 - $1,000"
2.5,BEAM - Beam Therapeutics Inc. - Common StockFiler comment:  No longer held,Corporate SecuritiesStock,Spouse,"None (or less than $1,001)","Capital Gains,","$201 - $1,000"
2.7,BKNG - Booking Holdings Inc. - Common StockFiler comment:  No longer held,Corporate SecuritiesStock,Spouse,"None (or less than $1,001)","Capital Gains,","$1,001 - $2,500"
2.8,"CDNS - Cadence Design Systems, Inc. - Common StockFiler comment:  No longer held",Corporate SecuritiesStock,Spouse,"None (or less than $1,001)","Capital Gains,","$201 - $1,000"
2.9,CPE - Callon Petroleum Company Common StockFiler comment:  No longer held,Corporate SecuritiesStock,Spouse,"None (or less than $1,001)","Capital Gains,","$201 - $1,000"
2.10,CHX - ChampionX Corporation - Common StockFiler comment:  No longer held,Corporate SecuritiesStock,Spouse,"None (or less than $1,001)","Dividends, Capital Gains,","$201 - $1,000"
2.11,"CHTR - Charter Communications, Inc. - Class A Common StocFiler comment:  No longer held",Corporate SecuritiesStock,Spouse,"None (or less than $1,001)","Capital Gains,","$201 - $1,000"
2.12,CVX - Chevron Corporation Common StockFiler comment:  No longer held,Corporate SecuritiesStock,Spouse,"None (or less than $1,001)","Capital Gains,","$201 - $1,000"
2.13,"C - Citigroup, Inc. Common StockFiler comment:  No longer held",Corporate SecuritiesStock,Spouse,"None (or less than $1,001)","Dividends, Capital Gains,","$2,501 - $5,000"
2.14,CCI - Crown Castle Inc. Common StockFiler comment:  No longer held,Corporate SecuritiesStock,Spouse,"None (or less than $1,001)","Capital Gains,","$1,001 - $2,500"
2.15,CVS - CVS Health Corporation Common StockFiler comment:  No longer held,Corporate SecuritiesStock,Spouse,"None (or less than $1,001)","Dividends, Capital Gains,","$201 - $1,000"
2.16,DECK - Deckers Outdoor Corporation Common StockFiler comment:  No longer held,Corporate SecuritiesStock,Spouse,"None (or less than $1,001)","Capital Gains,","$201 - $1,000"
2.17,"FANG - Diamondback Energy, Inc. - Commmon StockFiler comment:  No longer held",Corporate SecuritiesStock,Spouse,"None (or less than $1,001)","Capital Gains,","$1,001 - $2,500"
2.18,"DLR - Digital Realty Trust, Inc. Common StockFiler comment:  No longer held",Corporate SecuritiesStock,Spouse,"None (or less than $1,001)","Dividends, Capital Gains,","$1,001 - $2,500"
2.19,DKNG - DraftKings Inc. - Class A Common StockFiler comment:  No longer held,Corporate SecuritiesStock,Spouse,"None (or less than $1,001)","Capital Gains,","$201 - $1,000"
2.20,"EBIX - Ebix, Inc. - Common StockFiler comment:  No longer held",Corporate SecuritiesStock,Spouse,"None (or less than $1,001)","Capital Gains,","$201 - $1,000"
2.21,"ETSY - Etsy, Inc. - Common StockFiler comment:  No longer held",Corporate SecuritiesStock,Spouse,"None (or less than $1,001)","Capital Gains,","$1,001 - $2,500"
2.22,"FIS - Fidelity National Information Services, Inc. CommoFiler comment:  No longer held",Corporate SecuritiesStock,Spouse,"None (or less than $1,001)","Capital Gains,","$201 - $1,000"
2.23,HT - Hersha Hospitality Trust Class A Common Shares ofFiler comment:  No longer held,Corporate SecuritiesStock,Spouse,"None (or less than $1,001)","Dividends,","$201 - $1,000"
2.24,DINO - HF Sinclair Corporation Common StockFiler comment:  No longer held,Corporate SecuritiesStock,Spouse,"None (or less than $1,001)","Capital Gains,","$201 - $1,000"
2.25,INTC - Intel Corporation - Common StockFiler comment:  No longer held,Corporate SecuritiesStock,Spouse,"None (or less than $1,001)","Capital Gains,","$201 - $1,000"
2.26,IBM - International Business Machines CorporatFiler comment:  No longer held,Corporate SecuritiesStock,Spouse,"None (or less than $1,001)","Capital Gains,","$5,001 - $15,000"
2.27,"IMXI - International Money Express, Inc. - Common StockFiler comment:  No longer held",Corporate SecuritiesStock,Spouse,"None (or less than $1,001)","Capital Gains,","$201 - $1,000"
2.28,JNJ - Johnson & Johnson Common StockFiler comment:  No longer held,Corporate SecuritiesStock,Spouse,"None (or less than $1,001)","Capital Gains,","$2,501 - $5,000"
2.29,JPM - JP Morgan Chase & Co. Common StockFiler comment:  No longer held,Corporate SecuritiesStock,Spouse,"None (or less than $1,001)","Dividends,","$201 - $1,000"
2.30,MA - Mastercard Incorporated Common StockFiler comment:  No longer held,Corporate SecuritiesStock,Spouse,"None (or less than $1,001)","Dividends, Capital Gains,","$1,001 - $2,500"
2.31,MRK - Merck & CoFiler comment:  No longer held,Corporate SecuritiesStock,Spouse,"None (or less than $1,001)","Dividends, Capital Gains,","$201 - $1,000"
2.32,"FB - Meta Platforms, Inc. - Class A Common StockFiler comment:  No longer held",Corporate SecuritiesStock,Spouse,"None (or less than $1,001)","Capital Gains,","$1,001 - $2,500"
2.33,"NKE - Nike, Inc. Common StockFiler comment:  No longer held",Corporate SecuritiesStock,Spouse,"None (or less than $1,001)","Capital Gains,","$201 - $1,000"
2.34,NE - Noble Corporation plc Ordinary SharesFiler comment:  No longer held,Corporate SecuritiesStock,Spouse,"None (or less than $1,001)","Capital Gains,","$201 - $1,000"
2.35,NOV - NOV Inc. Common StockFiler comment:  No longer held,Corporate SecuritiesStock,Spouse,"None (or less than $1,001)","Capital Gains,","$201 - $1,000"
2.36,"PDCE - PDC Energy, Inc. - Common StockFiler comment:  No longer held",Corporate SecuritiesStock,Spouse,"None (or less than $1,001)","Capital Gains,","$201 - $1,000"
2.37,PM - Philip Morris International Inc Common StockFiler comment:  No longer held,Corporate SecuritiesStock,Spouse,"None (or less than $1,001)","Dividends,","$201 - $1,000"
2.38,"PLUG - Plug Power, Inc. - Common StockFiler comment:  No longer held",Corporate SecuritiesStock,Spouse,"None (or less than $1,001)","Capital Gains,","$201 - $1,000"
2.39,PG - Procter & Gamble Company (The) Common StockFiler comment:  No longer held,Corporate SecuritiesStock,Spouse,"None (or less than $1,001)","Dividends, Capital Gains,","$2,501 - $5,000"
2.40,"CRM - Salesforce, Inc. Common StockFiler comment:  No longer held",Corporate SecuritiesStock,Spouse,"None (or less than $1,001)","Capital Gains,","$1,001 - $2,500"
2.41,"SRPT - Sarepta Therapeutics, Inc. - Common StockFiler comment:  No longer held",Corporate SecuritiesStock,Spouse,"None (or less than $1,001)","Capital Gains,","$201 - $1,000"
2.42,TMO - Thermo Fisher Scientific Inc Common StockFiler comment:  No longer held,Corporate SecuritiesStock,Spouse,"None (or less than $1,001)","Dividends, Capital Gains,","$1,001 - $2,500"
2.43,"ULTA - Ulta Beauty, Inc. - Common StockFiler comment:  No longer held",Corporate SecuritiesStock,Spouse,"None (or less than $1,001)","Capital Gains,","$201 - $1,000"
2.44,"UPS - United Parcel Service, Inc. Common StockFiler comment:  No longer held",Corporate SecuritiesStock,Spouse,"None (or less than $1,001)","Capital Gains,","$201 - $1,000"
2.45,VLO - Valero Energy Corporation Common StockFiler comment:  No longer held,Corporate SecuritiesStock,Spouse,"None (or less than $1,001)","Capital Gains,","$201 - $1,000"
2.46,V - Visa Inc.Filer comment:  No longer held,Corporate SecuritiesStock,Spouse,"None (or less than $1,001)","Capital Gains,","$2,501 - $5,000"
2.47,WMT - Walmart Inc. Common StockFiler comment:  No longer held,Corporate SecuritiesStock,Spouse,"None (or less than $1,001)","Dividends, Capital Gains,","$2,501 - $5,000"
2.48,DASH - Doordash Inc.Filer comment:  No longer held,Corporate SecuritiesStock,Spouse,"None (or less than $1,001)","Capital Gains,","$201 - $1,000"
2.49,FLYW - Flywire Corp.Filer comment:  No longer held,Corporate SecuritiesStock,Spouse,"None (or less than $1,001)","Capital Gains,","$201 - $1,000"
2.50,HUBS - Hubspot Inc.Filer comment:  No longer held,Corporate SecuritiesStock,Spouse,"None (or less than $1,001)","Capital Gains,","$201 - $1,000"
3,Lutz Account 1,Brokerage/Managed Account,Joint,,,
3.1,Boys Town Village Neb Revenue BondRate/Coupon: 3.0%  Matures: 09/01/2028,Government SecuritiesMunicipal Security,Joint,"$50,001 - $100,000","Interest,","$1,001 - $2,500"
3.2,Buffalo County Neb General Obligation BondRate/Coupon: 2.0%  Matures: 12/15/2027,Government SecuritiesMunicipal Security,Joint,"$50,001 - $100,000","Interest,","$1,001 - $2,500"
3.3,Cass County Neb General Obligation BondRate/Coupon: 2.5%  Matures: 12/15/2025,Government SecuritiesMunicipal Security,Joint,"$15,001 - $50,000","Interest,","$1,001 - $2,500"
3.4,Cedar Bluffs Neb General Obligation BondRate/Coupon: 0.6%  Matures: 12/15/2023Filer comment:  Value at zero due to maturity - no underlying transaction,Government SecuritiesMunicipal Security,Joint,"None (or less than $1,001)","Interest,","$201 - $1,000"
3.5,Crete Neb Hwy Allocation Fund Revenue BondRate/Coupon: 2.15%  Matures: 12/15/2024,Government SecuritiesMunicipal Security,Joint,"$15,001 - $50,000","Interest,","$201 - $1,000"
3.6,DFCEX - Dfa  Emerging Markets Core Equity Portfolio,Mutual FundsMutual Fund,Joint,"$1,000,001 - $5,000,000","Excepted Investment Fund,","$15,001 - $50,000"
3.7,DFIEX - Dfa International Core Equity Portfolio,Mutual FundsMutual Fund,Joint,"$1,000,001 - $5,000,000","Excepted Investment Fund,","$100,001 - $1,000,000"
3.8,DFGFX - Dfa Two-Year Global Fixed Income Portfolio,Mutual FundsMutual Fund,Joint,"$500,001 - $1,000,000","Excepted Investment Fund,","$15,001 - $50,000"
3.9,DFAS - Dimensional U.S. Small Cap ETF,Mutual FundsExchange Traded Fund/Note,Joint,"$1,000,001 - $5,000,000","Excepted Investment Fund,","$5,001 - $15,000"
3.10,DFAT - Dimensional U.S. Targeted Value ETF,Mutual FundsExchange Traded Fund/Note,Joint,"$500,001 - $1,000,000","Excepted Investment Fund,","$5,001 - $15,000"
3.11,Douglas County Neb General Obligation BondRate/Coupon: 5.0%  Matures: 12/15/2024,Government SecuritiesMunicipal Security,Joint,"$100,001 - $250,000","Interest,","$2,501 - $5,000"
3.12,Douglas County Neb General Obligation BondRate/Coupon: 5.0%  Matures: 12/15/2025,Government SecuritiesMunicipal Security,Joint,"$50,001 - $100,000","Interest,","$2,501 - $5,000"
3.13,Douglas County Neb General Obligation BondRate/Coupon: 5.0%  Matures: 06/15/2026,Government SecuritiesMunicipal Security,Joint,"$50,001 - $100,000","Interest,","$1,001 - $2,500"
3.14,Fremont Neb Util Sys Revenue BondRate/Coupon: 4.0%  Matures: 11/15/2038Filer comment:  Value at zero due to call - no underlying transaction,Government SecuritiesMunicipal Security,Joint,"None (or less than $1,001)","Interest,","$1,001 - $2,500"
3.15,Fremont Neb General Obligation BondRate/Coupon: 1.25%  Matures: 12/15/2026,Government SecuritiesMunicipal Security,Joint,"$15,001 - $50,000","Interest,","$201 - $1,000"
3.16,Greeley County Neb General Obligation BondRate/Coupon: 2.0%  Matures: 12/15/2023Filer comment:  Value at zero due to maturity - no underlying transaction,Government SecuritiesMunicipal Security,Joint,"None (or less than $1,001)","Interest,","$1,001 - $2,500"
3.17,Hall County Neb School Dist Revenue BondRate/Coupon: 5.0%  Matures: 12/15/2026,Government SecuritiesMunicipal Security,Joint,"$50,001 - $100,000","Interest,","$1,001 - $2,500"
3.18,ISTB - iShares Core 1-5 Year USD Bond ETF,Mutual FundsExchange Traded Fund/Note,Joint,"$500,001 - $1,000,000","Excepted Investment Fund,","$15,001 - $50,000"
3.19,IJJ - iShares S&P Mid-Cap 400 Value ETF,Mutual FundsExchange Traded Fund/Note,Joint,"$1,000,001 - $5,000,000","Excepted Investment Fund,","$15,001 - $50,000"
3.20,TIP - iShares TIPS Bond ETF,Mutual FundsExchange Traded Fund/Note,Joint,"$1,000,001 - $5,000,000","Excepted Investment Fund,","$15,001 - $50,000"
3.21,IGSB - iShares 1-5 Year Investment Grade Corporate Bond E,Mutual FundsExchange Traded Fund/Note,Joint,"$250,001 - $500,000","Excepted Investment Fund,","$5,001 - $15,000"
3.22,Kearney County Neb General Obligation BondRate/Coupon: 3.0%  Matures: 06/01/2028,Government SecuritiesMunicipal Security,Joint,"$50,001 - $100,000","Interest,","$1,001 - $2,500"
3.23,Keith County Neb Sch Dist General Obligation BondRate/Coupon: 2.4%  Matures: 12/15/2027,Government SecuritiesMunicipal Security,Joint,"$50,001 - $100,000","Interest,","$1,001 - $2,500"
3.24,LA Vista Neb General Obligation BondRate/Coupon: 3.0%  Matures: 12/15/2027,Government SecuritiesMunicipal Security,Joint,"$50,001 - $100,000","Interest,","$1,001 - $2,500"
3.25,Louisville Neb General Obligation BondRate/Coupon: 1.55%  Matures: 12/15/2024,Government SecuritiesMunicipal Security,Joint,"$15,001 - $50,000","Interest,","$201 - $1,000"
3.26,Metropolitan Utils Dist Omaha Neb Revenue BondRate/Coupon: 3.2%  Matures: 12/01/2028,Government SecuritiesMunicipal Security,Joint,"$50,001 - $100,000","Interest,","$1,001 - $2,500"
3.27,Metropolitan Cmnty College Area Neb Revenue BondRate/Coupon: 3.0%  Matures: 03/01/2032,Government SecuritiesMunicipal Security,Joint,"$50,001 - $100,000","Interest,","$1,001 - $2,500"
3.28,Metropolitan Utils Dist Omaha Neb Revenue BondRate/Coupon: 3.0%  Matures: 12/01/2032,Government SecuritiesMunicipal Security,Joint,"$15,001 - $50,000","Interest,","$1,001 - $2,500"
3.29,Papillion Neb General Obligation BondRate/Coupon: 2.75%  Matures: 12/15/2024,Government SecuritiesMunicipal Security,Joint,"$50,001 - $100,000","Interest,","$1,001 - $2,500"
3.30,Papillion Neb Sch Dist General Obligation BondRate/Coupon: 3.0%  Matures: 12/01/2026,Government SecuritiesMunicipal Security,Joint,"$100,001 - $250,000","Interest,","$2,501 - $5,000"
3.31,STPZ - PIMCO 1-5 Year U.S. TIPS Index Exchange-Traded Fun,Mutual FundsExchange Traded Fund/Note,Joint,"$250,001 - $500,000","Excepted Investment Fund,","$5,001 - $15,000"
3.32,Platte County Neb Sch Dist General Obligation BondRate/Coupon: 5.0%  Matures: 12/15/2025,Government SecuritiesMunicipal Security,Joint,"$100,001 - $250,000","Interest,","$2,501 - $5,000"
3.33,Polk County Neb General Obligation BondRate/Coupon: 3.0%  Matures: 06/15/2027,Government SecuritiesMunicipal Security,Joint,"$50,001 - $100,000","Interest,","$1,001 - $2,500"
3.34,Sarpy County Neb Sch Dist General Obligation BondRate/Coupon: 5.0%  Matures: 06/15/2025,Government SecuritiesMunicipal Security,Joint,"$100,001 - $250,000","Interest,","$2,501 - $5,000"
3.35,Sarpy County Neb Sch Dist General Obligation BondRate/Coupon: 5.0%  Matures: 06/15/2028,Government SecuritiesMunicipal Security,Joint,"$100,001 - $250,000","Interest,","$2,501 - $5,000"
