1,"US Bank Account **04(Boise, ID)Type: Checking, Money Market Account,",Bank Deposit,Joint,"$50,001 - $100,000","Interest,",None (or less than $201)
2,"US Bank Account **25(Boise, ID)Type: Checking,",Bank Deposit,Joint,"None (or less than $1,001)","None,",None (or less than $201)
3,"US Bank Account **15(Boise, ID)Type: Checking,",Bank Deposit,Spouse,"$15,001 - $50,000","Interest,",None (or less than $201)
4,"40+ Acres Land, Ada County, IDDescription: Currently Operated as Farm and Ranch Land (Ada County, ID)",Farm,Joint,"$5,000,001 - $25,000,000","Rent/Royalties,","$5,001 - $15,000"
5,"40 +/- Acres Land, Canyon County, IDDescription: Currently Operated as Farm and Ranch Land (Canyon County, ID)",Farm,Joint,"$5,000,001 - $25,000,000","Rent/Royalties,","$5,001 - $15,000"
6,"Black Angus Farms LLCCompany: Black Angus Farms (Boise, Idaho) Description: Farming, ranching, property holding company",Business EntityLimited Liability Company (LLC),Joint,,,
6.1,"Agricultural and Commercial Real Estate PropertyDescription: 77 Acres Land, Agricultural and Commercial Real Estate Property, Cloverdale Road (Ada County, Idaho)",Real EstateCommercial,Joint,"$5,000,001 - $25,000,000","Rent/Royalties,","$15,001 - $50,000"
7,"160 +/- Acres Land, Ada County, IDDescription: Currently Operated as Farm and Ranch Land (Ada County, ID)",Farm,Joint,"$1,000,001 - $5,000,000","Rent/Royalties, Capital Gains,","$5,001 - $15,000"
8,"American Trailer Sales Co - Marketing Livestock Trailers (2400 S. Janeen Street, Boise, ID 83709)Company: American Trailer Sales Co (Boise, ID) Description: Marketing Livestock Trailers Filer comment:  Business distribution used for business taxes.",Corporate SecuritiesNon-Public Stock,Spouse,"$1,000,001 - $5,000,000","Other, (Other (Distribution))","Other $100,001.00"
9,"Capital City Management LLC (5400 South Cole Road, Boise, ID 83709)Company: Capital City Management LLC (Boise, ID) Description: Real Estate Holding Company",Business EntityLimited Liability Company (LLC),Joint,,,
9.1,"Residential Real PropertyDescription: Rental Home (Boise, ID) Filer comment:  Removed 200 North Pond asset listed on CY 2018 disclosure because it was a duplicate of this asset.",Real EstateResidential,Joint,"$250,001 - $500,000","Rent/Royalties,","$5,001 - $15,000"
9.2,"Ada County Rental PropertyDescription: Rental property located on Highlander Street (Ada County, ID)",Real EstateResidential,Joint,"$500,001 - $1,000,000","Rent/Royalties,","$15,001 - $50,000"
10,"Sage Meadow Ranch, Inc - Farm and Ranching Company (5400 South Cole Road, Boise, ID 83709)Company: Sage Meadow Ranch Inc. (Boise, ID) Description: Farm and Ranching Company",Corporate SecuritiesNon-Public Stock,Spouse,"$250,001 - $500,000","Dividends,",None (or less than $201)
11,"Ada County Rental Property DesertDescription: Rental property located in Boise, ID/the desert (Boise, Idaho)",Real EstateResidential,Joint,"$250,001 - $500,000","Rent/Royalties,","$5,001 - $15,000"
