1,The W. Mitt Romney 1998 Revocable Trust,TrustGeneral Trust,Self,,,
1.1,Goldman Sachs Brokerage #1,Brokerage/Managed Account,Self,,,
1.1.1,"Goldman Sachs Bank Deposit(Boston, MA)Type: Brokerage Sweep Account,",Bank Deposit,Self,"None (or less than $1,001)","Interest,","$2,501 - $5,000"
1.2,Goldman Sachs Brokerage #2,Brokerage/Managed Account,Self,,,
1.2.1,"Goldman Sachs Bank Deposit(Boston, MA)Type: Brokerage Sweep Account,",Bank Deposit,Self,"$50,001 - $100,000","Interest,","$5,001 - $15,000"
1.2.2,GMCPX - Goldman Sachs Short Duration Income Fund Class P,Mutual FundsMutual Fund,Self,"$5,000,001 - $25,000,000","Excepted Investment Fund,","$100,001 - $1,000,000"
1.2.3,GMDPX - Goldman Sachs Short Duration Government Fund Class,Mutual FundsMutual Fund,Self,"$5,000,001 - $25,000,000","Excepted Investment Fund,","$100,001 - $1,000,000"
1.2.4,GANPX - Goldman Sachs Short Duration Tax-Free Fund Class P,Mutual FundsMutual Fund,Self,"$5,000,001 - $25,000,000","Excepted Investment Fund,","$100,001 - $1,000,000"
1.2.5,GGNPX - Goldman Sachs High Yield Floating Rate Fund Class,Mutual FundsMutual Fund,Self,"$1,000,001 - $5,000,000","Excepted Investment Fund,","$100,001 - $1,000,000"
1.2.6,GGLPX - Goldman Sachs High Yield Municipal Fund Class P,Mutual FundsMutual Fund,Self,"$1,000,001 - $5,000,000","Excepted Investment Fund,","$50,001 - $100,000"
1.2.7,IWF - iShares Russell 1000 Growth ETF,Mutual FundsExchange Traded Fund/Note,Self,"$1,000,001 - $5,000,000","Excepted Investment Fund,","$15,001 - $50,000"
1.2.8,IWD - iShares Russell 1000 Value ETF,Mutual FundsExchange Traded Fund/Note,Self,"$1,000,001 - $5,000,000","Excepted Investment Fund,","$50,001 - $100,000"
1.2.9,GSWPX - Goldman Sachs Small/Mid Cap Growth Fund Class P,Mutual FundsMutual Fund,Self,"$500,001 - $1,000,000","Excepted Investment Fund,",None (or less than $201)
1.2.10,SPY - SPDR S&P 500 ETF,Mutual FundsExchange Traded Fund/Note,Self,"$5,000,001 - $25,000,000","Excepted Investment Fund,","$50,001 - $100,000"
1.2.11,BKLN - Invesco Senior Loan ETF,Mutual FundsExchange Traded Fund/Note,Self,"None (or less than $1,001)","Excepted Investment Fund,","$15,001 - $50,000"
1.2.12,HEDJ - WisdomTree Europe Hedged Equity Fund,Mutual FundsExchange Traded Fund/Note,Self,"$1,000,001 - $5,000,000","Excepted Investment Fund,","$50,001 - $100,000"
1.2.13,GAHPX - Goldman Sachs Emerging Markets Equity Fund Class P,Mutual FundsMutual Fund,Self,"$500,001 - $1,000,000","Excepted Investment Fund,","$5,001 - $15,000"
1.2.14,ACWX - iShares MSCI ACWI ex U.S. ETF,Mutual FundsExchange Traded Fund/Note,Self,"$1,000,001 - $5,000,000","Excepted Investment Fund,","$15,001 - $50,000"
