1,"Citibank(Miami, FL)Type: Checking, Money Market Account,",Bank Deposit,Joint,"$1,001 - $15,000","Interest,","$201 - $1,000"
2,KO,Corporate SecuritiesStock,Self,"$1,001 - $15,000","Dividends,",None (or less than $201)
3,FIU 401(A) Temporary Employee Savings Plan (Bencor),Retirement PlansIRA,Self,,,
3.1,Guaranteed Pooled Fund,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","None,",None (or less than $201)
4,4 Year University Tuition PlanInstitution: Florida Prepaid College Plans,Education Savings Plans529 Prepaid Tuition,Self,"$15,001 - $50,000","None,",None (or less than $201)
5,4 Year University Tuition PlanInstitution: Florida Prepaid College Plans,Education Savings Plans529 Prepaid Tuition,Self,"$1,001 - $15,000","None,",None (or less than $201)
6,4 Year University Tuition PlanInstitution: Florida Prepaid College Plans,Education Savings Plans529 Prepaid Tuition,Self,"$1,001 - $15,000","None,",None (or less than $201)
7,"Florida Retirement System Pension PlanFiler comment:  The State of Florida does not ascribe a value to this defined benefit pension plan, will receive approximately $1,000 monthly at age 62.",Retirement PlansDefined Benefit Pension Plan,Self,Unascertainable,"None,",None (or less than $201)
8,Live Oak Family Trust,TrustGeneral Trust,Joint,,,
8.1,"Personal ResidenceDescription: Personal Residence (Miami, FL)",Real EstateResidential,Joint,"$1,000,001 - $5,000,000","None,",None (or less than $201)
9,"Seacoast Bank(Coral Gables, FL)Type: Checking, Filer comment:  f/k/a Professional Bank",Bank Deposit,Self,"$1,001 - $15,000","None,",None (or less than $201)
10,CopyrightsDescription: Copyrights in various books Filer comment:  Copyrights in books reported on Section 9; royalty income disclosed in Section 2,Intellectual PropertyCopyrights,Self,Unascertainable,"Other, (Royalties)","Other $76,112.50"
