1,Spouse Retirement planFiler comment:  These are not individually held stocks. They are Jane's 401k TIAA-CREF teacher retirement fund.,Retirement PlansDefined Contribution Pension Plan,Spouse,,,
1.1,CREF Stock Account - R1,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
1.2,CREF Growth Account - R1,Mutual FundsMutual Fund,Spouse,"$50,001 - $100,000","Excepted Investment Fund,",None (or less than $201)
1.3,CREF Global Equities Account,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
1.4,TIAA-CREF Mid-Cap Growth Retire,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
1.5,TIAA-CREF Real Estate Sec Instl,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
1.6,CREF Bond Market Account - R1,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
1.7,TIAA-CREF Social Choice Eq Instl,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
1.8,Teachers Personal Annuity Fixed AccountProvider: TIAA-CREF,AnnuityFixed,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
1.9,TIAA Traditional AnnuityProvider: TIAA-CREF,AnnuityFixed,Spouse,"$50,001 - $100,000","Excepted Investment Fund,",None (or less than $201)
1.10,TIAA Teacher's Personal Annuity Stock Account,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
1.11,CREF Inflation Linked Bond,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
1.12,CREF Equity Index,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
2,Spouse Retirement Plan 2Filer comment:  These funds are not individually held stocks. They are in Jane's 401k VALIC teacher retirement fund.,Retirement PlansDefined Contribution Pension Plan,Spouse,,,
2.1,VALIC American Beacon Broadway Large Cap,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
2.2,VALIC Growth Fund,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
2.3,VALIC Socially Responsible,Mutual FundsMutual Fund,Spouse,"$50,001 - $100,000","Excepted Investment Fund,",None (or less than $201)
2.4,VALIC Mid Cap Index,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
2.5,VALIC Small Cap Fund,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
2.6,VALIC Small Cap Index,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
2.7,VALIC Intl Socially Responsible Fund,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
2.8,VALIC International Eqs Idx,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
2.9,VALIC Inflation Protected Fund,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
2.10,VALIC Small Cap Aggressive Growth,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
2.11,VALIC Small Mid-Growth Fund,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
2.12,VALIC Fixed Account Plus,Mutual FundsMutual Fund,Spouse,"$100,001 - $250,000","Excepted Investment Fund,",None (or less than $201)
3,Spousal Retirement IRA,Retirement PlansIRA,Spouse,,,
3.1,"U.S. Federal Credit Union(Burlington, VT)Type: IRA Cash Accounts,",Bank Deposit,Spouse,"$15,001 - $50,000","Dividends,",None (or less than $201)
4,City of Burlington Pension PlanFiler comment:  Pension income reported in Part 2.,Retirement PlansDefined Benefit Pension Plan,Self,Unascertainable,"None,",None (or less than $201)
5,"U.S. Senate Federal Credit Union(Washington, DC)Type: Checking, Savings,",Bank Deposit,Joint,"$100,001 - $250,000","Dividends,",None (or less than $201)
6,"M & T Bank(Burlington, VT)Type: Checking, Savings,",Bank Deposit,Joint,"$1,001 - $15,000","Interest,",None (or less than $201)
7,"North Country Federal Credit Union(Burlington, VT)Type: Checking,",Bank Deposit,Spouse,"$1,001 - $15,000","Interest,",None (or less than $201)
