1,"Bank of Hawaii(Honolulu, HI)Type: Checking, Savings,",Bank Deposit,Joint,"$15,001 - $50,000","None,",None (or less than $201)
2,TIAA-CREF Research Corp of UH Retirement,Retirement PlansDefined Contribution Pension Plan,Self,,,
2.1,TIQRX - TIAA-CREF Equity Index R (NASDAQ),Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
2.2,TRRSX - TIAA-CREF Real Estate Sec Retire (NASDAQ),Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
2.3,TRSCX - TIAA-CREF Social Choice Eq Retire (NASDAQ),Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
2.4,QCSTPX - CREF Stock R2,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
3,American Funds 529Institution: American Funds,Education Savings Plans529 College Savings Plan,Joint,,,
3.1,CWMAX - American Funds Washington Mutual 529A (NASDAQ),Mutual FundsMutual Fund,Joint,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
3.2,CGFAX - American Funds Growth Fund of Amer 529A (NASDAQ),Mutual FundsMutual Fund,Joint,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
3.3,CBOAX - American Funds Interm Bd Fd of Amer 529A (NASDAQ),Mutual FundsMutual Fund,Joint,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
3.4,CICAX - American Funds Invmt Co of Amer 529A (NASDAQ),Mutual FundsMutual Fund,Joint,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
4,Helping Hands Hawaii 403(b) Thrift,Retirement PlansDefined Contribution Pension Plan,Self,,,
4.1,MASSX -Mutual of America Instl Small Cap Growth,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
4.2,MAVSX - Mutual of America Instl Small Cap Value,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
4.3,Mutual of America - Calvert VP SRI Balanced Portfolio,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
4.4,Mutual of America - Fidelity Investments VIP Contrafund,Mutual FundsMutual Fund,Self,"$50,001 - $100,000","Excepted Investment Fund,",None (or less than $201)
5,"Schatz Collaborative LLCCompany: Schatz Collaborative LLC (Honolulu, HI) Description: Community based real estate development consulting services",Business EntityLimited Liability Company (LLC),Spouse,"None (or less than $1,001)","None,",None (or less than $201)
6,Employee's Retirement System of the State of Hawaii,Retirement PlansDefined Benefit Pension Plan,Self,Unascertainable,"None,",None (or less than $201)
7,Brookfield 401(k),Retirement PlansDefined Contribution Pension Plan,Spouse,,,
7.1,RERGX - American Funds EuroPacific Growth Fund Class R-6,Mutual FundsMutual Fund,Spouse,"None (or less than $1,001)","Excepted Investment Fund,",None (or less than $201)
7.2,American Century US Value Yield Eq Tr 1,Mutual FundsMutual Fund,Spouse,"None (or less than $1,001)","Excepted Investment Fund,",None (or less than $201)
7.3,Fidelity Contrafund Commingled Pool,Mutual FundsMutual Fund,Spouse,"None (or less than $1,001)","Excepted Investment Fund,",None (or less than $201)
8,ScholarShare529Institution: TIAA,Education Savings Plans529 College Savings Plan,Joint,,,
8.1,2024/2025 Enrollment Portfolio Passive,Mutual FundsMutual Fund,Joint,"$100,001 - $250,000","Excepted Investment Fund,",None (or less than $201)
8.2,Enrollment Year Portfolio PassiveFiler comment:  Transferred from ScholarShare529 reported on line 9.1,Mutual FundsMutual Fund,Joint,"$50,001 - $100,000","Excepted Investment Fund,",None (or less than $201)
9,ScholarShare529Institution: TIAA,Education Savings Plans529 College Savings Plan,Joint,,,
9.1,Enrollment Year Portfolio PassiveFiler comment:  Partial transfer to ScholarShare529 reported on line 8.2,Mutual FundsMutual Fund,Joint,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
10,Simplified Employment Pension Plan,Retirement PlansIRA,Spouse,,,
10.1,AOM - iShares Core Moderate Allocation ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"None (or less than $1,001)","Excepted Investment Fund,",None (or less than $201)
10.2,AOK - iShares Core Conservative Allocation ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"None (or less than $1,001)","Excepted Investment Fund,",None (or less than $201)
10.3,VTI - Vanguard Total Stock Market ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"None (or less than $1,001)","Excepted Investment Fund,",None (or less than $201)
10.4,"TD Bank NA(Westlake, TX)Type: Brokerage Sweep Account,",Bank Deposit,Spouse,"None (or less than $1,001)","None,",None (or less than $201)
11,"Residential PropertyDescription: Residential Real Estate (Washington, DC)",Real EstateResidential,Joint,"$250,001 - $500,000","Rent/Royalties,","$15,001 - $50,000"
12,"Residential PropertyDescription: Residential Real Estate (Honolulu, HI)",Real EstateResidential,Joint,"$1,000,001 - $5,000,000","Rent/Royalties,","$15,001 - $50,000"
13,"Pier Wailuku, LLCCompany: Pier Wailuku, LLC (Los Alamitos, CA) Description: Holding Company",Business EntityLimited Liability Company (LLC),Spouse,,,
13.1,"Investment in Residential PropertyDescription: Residential Property (Wailuku, HI)",Real EstateResidential,Spouse,"$50,001 - $100,000","None,",None (or less than $201)
14,Kamehameha Schools 401(k),Retirement PlansDefined Contribution Pension Plan,Spouse,,,
