1,"Congressional Federal Credit Union(Washington, DC)Type: Certificate of Deposit, Savings,",Bank Deposit,Joint,"$100,001 - $250,000","Interest,","$201 - $1,000"
2,"Municipal Credit Union(New York, NY)Type: Checking, Savings,",Bank Deposit,Spouse,"$1,001 - $15,000","None,",None (or less than $201)
3,"Teachers Retirement System Deferred CompensationCompany: Craig James Financial Servies, LLC (Melville, NY) Description: deferred compensation",Deferred Compensation,Spouse,"$100,001 - $250,000","Excepted Investment Fund,",None (or less than $201)
4,New York State Voluntary Defined Contribution Program,Retirement PlansDefined Contribution Pension Plan,Spouse,,,
4.1,TIAA TraditionalProvider: TIAA-CREF,AnnuityFixed,Spouse,"$100,001 - $250,000","Excepted Investment Fund,",None (or less than $201)
4.2,TI Acc Ddg&Cox Intl St T1Filer comment:  Fund name changed.  Previously reported as TIAA Acc-D&C Intl Stk T1,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
4.3,TI Acc Vang SmCpVa lx T1Filer comment:  Fund name changed. Previously reported as TIAA Acc-VAN SmCpVa lx T1,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
4.4,CREF Inf-Linked Bond R3,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
4.5,QCMMIX - CREF Money Market Account - R3,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
4.6,TI Acc Vang Wellington T1Filer comment:  Fund name changed.  Previously reported as TIAA Acc-VAN Wellingtn T1,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
4.7,QCGRIX - CREF Growth Account - R3,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
4.8,QREARX - TIAA Real Estate Account,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
4.9,TI Acc Nuv Lg Cap Vl lx T1Filer comment:  Fund name changed. Previously reported as TIAA Acc Lg-Cap Val lx T1,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
4.10,QCBMIX - CREF Bond Market Account - R3,Mutual FundsMutual Fund,Spouse,"$50,001 - $100,000","Excepted Investment Fund,",None (or less than $201)
4.11,TI Acc Vang Ext Mkt lx T1,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
4.12,TI Acc Vang Inst lx T1,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
4.13,TI Acc Vang Treas MMkt T1,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
