1,"Personal Residence LLCCompany: Personal Residence LLC (Naples, FL) Description: Holding company for personal residence",Business EntityLimited Liability Company (LLC),Joint,,,
1.1,"Personal Residence - NaplesDescription: Personal Residence - Naples (Naples, FL)",Real EstateResidential,Joint,"$25,000,001 - $50,000,000","None,",None (or less than $201)
2,"Refundable Club Deposit 1Company: Royal Poinciana (Naples, FL) Filer comment:  Included for purposes of completeness.",Accounts ReceivableFrom a Business,Self,"$1,001 - $15,000","None,",None (or less than $201)
3,"Refundable Club Deposit 2Company: Red Sky (Wolcott, CO) Filer comment:  Included for purposes of completeness.",Accounts ReceivableFrom a Business,Self,"$50,001 - $100,000","None,",None (or less than $201)
4,Richard L. Scott Trust,TrustGeneral Trust,Self,,,
4.1,"Morgan Stanley(Los Angeles, CA)Type: Brokerage Sweep Account, Money Market Account,",Bank Deposit,Self,"$15,001 - $50,000","Interest,","$2,501 - $5,000"
4.2,Lower Alabama Gas Project Revenue BondRate/Coupon: 5.0%  Matures: 09/01/2028,Government SecuritiesMunicipal Security,Self,"$100,001 - $250,000","Interest,","$2,501 - $5,000"
4.3,Connecticut State Spec Tax Revenue BondRate/Coupon: 5.0%  Matures: 09/01/2030,Government SecuritiesMunicipal Security,Self,"$100,001 - $250,000","Interest,","$2,501 - $5,000"
4.4,Chicago Illinois Met Water Reclamation District BondRate/Coupon: 5.0%  Matures: 12/01/2030,Government SecuritiesMunicipal Security,Self,"$500,001 - $1,000,000","Interest,","$15,001 - $50,000"
4.5,"WTT - Wireless Telecom Group, Inc.",Corporate SecuritiesStock,Self,"None (or less than $1,001)","Capital Gains,","$100,001 - $1,000,000"
4.6,"AG Energy Partners II, L.P.Description: Private Investment Partnership (New York, NY)",Investment FundPrivate Equity Fund,Self,"$100,001 - $250,000","None,",None (or less than $201)
4.7,"AG SF (L) L.P.Description: Private Investment Partnership (New York, NY) Filer comment:  f/k/a AG Super Fund, L.P.",Investment FundPrivate Equity Fund,Self,"$5,000,001 - $25,000,000","None,",None (or less than $201)
4.8,"Canyon Laurel Fund L.P.Description: Private Investment Partnership (Los Angeles, CA)",Investment FundPrivate Equity Fund,Self,"$15,001 - $50,000","None,",None (or less than $201)
4.9,"OVO Fund II, LLCDescription: Private Investment Partnership (Los Altos, CA)",Investment FundPrivate Equity Fund,Self,"$250,001 - $500,000","Excepted Investment Fund,",None (or less than $201)
4.10,"Vestar Executive V, LP / Vestar Executives IV, LP / Vestar - AIV Holdings B, LPDescription: Private Investment Partnership (New York, NY)",Investment FundPrivate Equity Fund,Self,"None (or less than $1,001)","None,",None (or less than $201)
4.11,"Engine Capital, LPDescription: Private Investment Vehicle (New York, NY)",Investment FundHedge Fund,Self,"$1,000,001 - $5,000,000","Excepted Investment Fund,","$100,001 - $1,000,000"
4.12,"Nokomis Capital Partners, L.P.Description: Private Investment Vehicle (Dallas, TX)",Investment FundHedge Fund,Self,"$50,001 - $100,000","None,",None (or less than $201)
4.13,"Pershing Advisor Solutions - BNY Mellon(New York, NY)Type: Brokerage Sweep Account, Money Market Account,",Bank Deposit,Self,"$1,000,001 - $5,000,000","Interest,","$100,001 - $1,000,000"
4.14,"G. Scott Capital PartnersDescription: Private Investment Vehicle (Rowayton, CT)",Investment FundPrivate Equity Fund,Self,,,
4.14.4,"VCA TCG Holdings, LLCCompany: VCA TCG Holdings, LLC (Wilmington, DE) Description: Professional engineering and consulting services",Business EntityLimited Liability Company (LLC),Self,"$5,000,001 - $25,000,000","None,",None (or less than $201)
4.14.5,"Account Receivable from Mosquito Control Services, LLCCompany: Mosquito Control Services, LLC (Metairie, LA) Filer comment:  Income includes repayment of principal.",Accounts ReceivableFrom a Business,Self,"None (or less than $1,001)","Interest,","$100,001 - $1,000,000"
4.14.6,"Pershing Advisor Solutions(New York, NY)Type: Money Market Account,",Bank Deposit,Self,"$100,001 - $250,000","Interest,","$15,001 - $50,000"
4.15,"VSS Structured Capital III, L.P.Description: Private Investment Partnership (New York, NY)",Investment FundPrivate Equity Fund,Self,"$500,001 - $1,000,000","Excepted Investment Fund,","$100,001 - $1,000,000"
4.16,"Pharmaca Investments, LLCCompany: Pharmaca Investments, LLC (Rowayton, CT) Description: Investment holding company",Business EntityLimited Liability Company (LLC),Self,,,
4.16.2,"Pharmaca Integrative Pharmacy, Inc.Company: Pharmaca Integrative Pharmacy, Inc. (Boulder, CO) Description: Retail and pharmacy",Corporate SecuritiesNon-Public Stock,Self,"None (or less than $1,001)","Dividends,","$1,001 - $2,500"
4.17,"Columbia Collier Management, LLCCompany: Columbia Collier Management, LLC (Naples, FL) Description: Company set up for purpose of ownership of airplanes Filer comment:  Ownership interest of company holding airplanes",Business EntityLimited Liability Company (LLC),Self,,,
4.17.2,AirplanesDescription: Airplanes,Personal PropertyOther,Self,"$25,000,001 - $50,000,000","None,",None (or less than $201)
4.18,King County Washington Sch Dist G.O. BondRate/Coupon: 4.0%  Matures: 12/01/2036,Government SecuritiesMunicipal Security,Self,"$100,001 - $250,000","Interest,","$5,001 - $15,000"
4.19,GLDM - SPDR Gold MiniShares,Mutual FundsExchange Traded Fund/Note,Self,"$1,000,001 - $5,000,000","Excepted Investment Fund,","$2,501 - $5,000"
4.20,Port Authority of NY & NJ Bonds 218 SeriesRate/Coupon: 5.0%  Matures: 11/01/2030,Government SecuritiesMunicipal Security,Self,"$100,001 - $250,000","Interest,","$5,001 - $15,000"
4.21,"AG Energy Credit Opportunities Fund IV, LPDescription: Private Investment Partnership (New York, NY)",Investment FundPrivate Equity Fund,Self,"None (or less than $1,001)","Excepted Investment Fund,","$201 - $1,000"
4.22,"Casdin Partners, LPDescription: Private Investment Partnership (New York, NY)",Investment FundPrivate Equity Fund,Self,"$500,001 - $1,000,000","None,",None (or less than $201)
4.23,"Stonepine Capital, L.P.Description: Private Investment Partnership (Bend, Oregon)",Investment FundPrivate Equity Fund,Self,"$1,000,001 - $5,000,000","Excepted Investment Fund,","$100,001 - $1,000,000"
4.24,"Third Prime Alpha Fund II, LPDescription: Private Investment Partnership (New York, NY)",Investment FundPrivate Equity Fund,Self,"$250,001 - $500,000","Excepted Investment Fund,","$5,001 - $15,000"
4.25,"Account Receivable from Nokomis Capital Partners, L.P.Company: Nokomis Capital Partners, L.P. (Dallas, TX) Filer comment:  Income includes payments of principal",Accounts ReceivableFrom a Business,Self,"None (or less than $1,001)","Interest,","$100,001 - $1,000,000"
4.26,New York State Dorm Auth Personal Income Tax Revenue BondRate/Coupon: 5.0%  Matures: 03/15/2031,Government SecuritiesMunicipal Security,Self,"$100,001 - $250,000","Interest,","$5,001 - $15,000"
4.27,New York State Urban Development Corp Revenue BondRate/Coupon: 5.0%  Matures: 03/15/2037,Government SecuritiesMunicipal Security,Self,"$100,001 - $250,000","Interest,","$5,001 - $15,000"
4.28,New York City Transitional Finance Auth Revenue BondRate/Coupon: 5.0%  Matures: 02/01/2041,Government SecuritiesMunicipal Security,Self,"$100,001 - $250,000","Interest,","$5,001 - $15,000"
4.29,King County Washington Sewer Revenue BondRate/Coupon: 0.875%  Matures: 01/01/2042,Government SecuritiesMunicipal Security,Self,"$100,001 - $250,000","Interest,","$1,001 - $2,500"
4.30,"Fortress Credit Opportunities Fund V Expansion (A) LPDescription: Private Investment Partnership (New York, NY)",Investment FundPrivate Equity Fund,Self,"$1,000,001 - $5,000,000","Excepted Investment Fund,","$15,001 - $50,000"
4.31,"ITE Rail Fund, LP c/o ITE Rail GP LLCDescription: Private Investment Partnership (New York, NY)",Investment FundPrivate Equity Fund,Self,"$1,000,001 - $5,000,000","None,",None (or less than $201)
4.32,"GMO Equity Dislocation Fund LPDescription: Private Equity Fund (Boston, MA)",Investment FundPrivate Equity Fund,Self,"$1,000,001 - $5,000,000","Excepted Investment Fund,","$100,001 - $1,000,000"
