1,"RIVERTOWN INVESTMENTS, LLC (50% INTEREST)Company: RIVERTOWN INVESTMENTS, LLC (CHARLESTON, SC) Description: RESIDENTIAL REAL ESTATE",Business EntityLimited Liability Company (LLC),Self,,,
1.1,"GOOSE CREEK, SC Description: RESIDENTIAL RENTAL (GOOSE CREEK, SC)",Real EstateResidential,Self,"$100,001 - $250,000","Rent/Royalties,","$2,501 - $5,000"
1.2,"HANAHAN, SCDescription: RESIDENTIAL RENTAL (HANAHAN, SC) (Hanahan, SC)",Real EstateResidential,Self,"$100,001 - $250,000","Rent/Royalties,","$1,001 - $2,500"
1.3,"SUMMERVILLE, SCDescription: Residential Rental (Summerville, SC)",Real EstateResidential,Self,"$100,001 - $250,000","Rent/Royalties,","$2,501 - $5,000"
2,"CONGRESSIONAL FEDERAL CREDIT UNION(WASHINGTON, DC)Type: Checking,",Bank Deposit,Self,"$1,001 - $15,000","Interest,",None (or less than $201)
3,ALLSTATE INSURANCE COMPANYProvider: ALLSTATE INSURANCE COMPANY,Life InsuranceUniversal,Self,"$1,001 - $15,000","Interest,",None (or less than $201)
4,ALLSTATE INSURANCE COMPANYProvider: ALLSTATE INSURANCE COMPANY,Life InsuranceUniversal,Self,"$1,001 - $15,000","Interest,",None (or less than $201)
5,LINCOLN BENEFIT/ALLSTATE INSURANCE COMPANY,Life InsuranceVariable,Self,,,
5.1,FGIKX - Fidelity Growth & Income K (NASDAQ),Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
5.2,FASIX - Fidelity Asset Manager 20% (NASDAQ),Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
6,SC RETIREMENT SYSTEM,Retirement PlansDefined Benefit Pension Plan,Self,"$15,001 - $50,000","None,",None (or less than $201)
7,CHARLES SCHWAB BROKERAGE ACCT,Brokerage/Managed Account,Self,,,
7.1,"Charles Schwab(Westlake, TX)Type: Brokerage Sweep Account,",Bank Deposit,Self,"$15,001 - $50,000","Interest,",None (or less than $201)
7.2,AT&T INC,Corporate SecuritiesStock,Self,"$1,001 - $15,000","Dividends,","$201 - $1,000"
7.3,ALPHABET INC,Corporate SecuritiesStock,Self,"$1,001 - $15,000","None,",None (or less than $201)
7.4,AMERICAN AIRLS GROUP,Corporate SecuritiesStock,Self,"$1,001 - $15,000","None,",None (or less than $201)
7.5,APPLE INC,Corporate SecuritiesStock,Self,"$1,001 - $15,000","None,",None (or less than $201)
7.6,BOEING CO,Corporate SecuritiesStock,Self,"$15,001 - $50,000","Capital Gains,","$2,501 - $5,000"
7.7,DELTA AIR LINES INC DEL,Corporate SecuritiesStock,Self,"$1,001 - $15,000","Dividends, Capital Gains,","$201 - $1,000"
7.8,PALANTIR TECHNOLOGIES INC,Corporate SecuritiesStock,Self,"None (or less than $1,001)","Dividends, Capital Gains,","$5,001 - $15,000"
7.9,PROCTOR & GAMBLE,Corporate SecuritiesStock,Self,"$1,001 - $15,000","None,",None (or less than $201)
7.10,TARGET CORP,Corporate SecuritiesStock,Self,"$1,001 - $15,000","None,",None (or less than $201)
7.11,THE COCA-COLA CO,Corporate SecuritiesStock,Self,"$1,001 - $15,000","None,",None (or less than $201)
7.12,ISHARES TIPS BOND ETF,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
7.13,NUSI - Nationwide Nasdaq-100 Risk-Managed Income ETF,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
7.14,XLF - SPDR Select Sector Fund - Financial,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Excepted Investment Fund,","$201 - $1,000"
7.15,BEST BUY,Corporate SecuritiesStock,Self,"None (or less than $1,001)","None,",None (or less than $201)
7.16,FORD MOTOR CO,Corporate SecuritiesStock,Self,"$1,001 - $15,000","None,",None (or less than $201)
7.17,Tesla Inc,Corporate SecuritiesStock,Self,"None (or less than $1,001)","None,",None (or less than $201)
8,ALLSTATE BROKERAGE ACCOUNT,Brokerage/Managed Account,Self,,,
8.1,OPPAX - Invesco Global Fund Class A,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Excepted Investment Fund,","$201 - $1,000"
