1,Timothy P Sheehy Irrevocable Trust,TrustGeneral Trust,Self,,,
1.1,"Turtle Lake Holding Company, LLCCompany: Turtle Lake Holding Company, LLC (Bozeman, MT) Description: Holding Company",Business EntityLimited Liability Company (LLC),Self,,,
1.1.1,Morgan Stanley #1.1.1,Brokerage/Managed Account,Self,,,
1.1.1.1,"Morgan Stanley(New York, NY)Type: Brokerage Sweep Account,",Bank Deposit,Self,"$15,001 - $50,000","Interest,",None (or less than $201)
1.1.1.2,RSP - Invesco S&P 500 Equal Weight ETF,Mutual FundsExchange Traded Fund/Note,Self,"$500,001 - $1,000,000","Excepted Investment Fund,","$2,501 - $5,000"
1.1.1.3,ABYIX - Abbey Capital Futures Strategy Fund- Class I Sha,Mutual FundsMutual Fund,Self,"$500,001 - $1,000,000","Excepted Investment Fund,","$15,001 - $50,000"
1.1.1.4,AQMIX - Aqr Managed Futures Strategy Fund Class I,Mutual FundsMutual Fund,Self,"$250,001 - $500,000","Excepted Investment Fund,","$5,001 - $15,000"
1.1.1.5,CSHIX - Credit Suisse High Income Fund Common,Mutual FundsMutual Fund,Self,"$1,000,001 - $5,000,000","Excepted Investment Fund,","$100,001 - $1,000,000"
1.1.1.6,ACTDX - Invesco High Yield Municipal Fund Class Y,Mutual FundsMutual Fund,Self,"$100,001 - $250,000","Excepted Investment Fund,","$201 - $1,000"
1.1.1.7,LOTIX - Locorr Market Trend Fund - Class I,Mutual FundsMutual Fund,Self,"$100,001 - $250,000","Excepted Investment Fund,",None (or less than $201)
1.1.1.8,MMHIX - Nyli Mackay High Yield Muni Bond Fund Class I,Mutual FundsMutual Fund,Self,"$250,001 - $500,000","Excepted Investment Fund,",None (or less than $201)
1.1.1.9,MTBIX - Nyli Mackay Tax Free Bond Fund Class I,Mutual FundsMutual Fund,Self,"$500,001 - $1,000,000","Excepted Investment Fund,",None (or less than $201)
1.1.1.10,PIMSX - Virtus Newfleet Multi-Sector Short Term Bond Fun,Mutual FundsMutual Fund,Self,"$1,000,001 - $5,000,000","Excepted Investment Fund,",None (or less than $201)
1.1.1.11,PCRPX - Pimco Commodityrealreturn Strategy Fund Class I (DISPOSED),Mutual FundsMutual Fund,Self,"None (or less than $1,001)","Excepted Investment Fund,","$2,501 - $5,000"
1.1.1.12,VTIP - Vanguard Short-Term Inflation-Protected Securities (DISPOSED),Mutual FundsMutual Fund,Self,"None (or less than $1,001)","Excepted Investment Fund,","$5,001 - $15,000"
1.1.1.13,PZIEX - Pzena Emerging Markets Value Fund - Institutiona (DISPOSED),Mutual FundsMutual Fund,Self,"None (or less than $1,001)","Excepted Investment Fund,","$15,001 - $50,000"
1.1.2,Morgan Stanley #1.1.2,Brokerage/Managed Account,Self,,,
1.1.2.1,"Morgan Stanley(New York, NY)Type: Brokerage Sweep Account,",Bank Deposit,Self,"None (or less than $1,001)","Interest,",None (or less than $201)
1.1.2.2,AFRM - Affirm Holdings Inc Cl A (DISPOSED),Corporate SecuritiesStock,Self,"None (or less than $1,001)","Excepted Investment Fund,","$1,001 - $2,500"
1.1.2.3,AMZN - Amazon.com Inc (DISPOSED),Corporate SecuritiesStock,Self,"None (or less than $1,001)","Excepted Investment Fund,","$1,001 - $2,500"
1.1.2.4,AMT - American Tower Corp (DISPOSED),Corporate SecuritiesStock,Self,"None (or less than $1,001)","Excepted Investment Fund,","$201 - $1,000"
1.1.2.5,AUR - Aurora Innovation Inc (DISPOSED),Corporate SecuritiesStock,Self,"None (or less than $1,001)","Excepted Investment Fund,","$201 - $1,000"
1.1.2.6,NET - Cloudflare Inc Cl A (DISPOSED),Corporate SecuritiesStock,Self,"None (or less than $1,001)","Excepted Investment Fund,","$1,001 - $2,500"
1.1.2.7,CVNA - Carvana Company Cl A (DISPOSED),Corporate SecuritiesStock,Self,"None (or less than $1,001)","Excepted Investment Fund,","$5,001 - $15,000"
1.1.2.8,COIN - Coinbase Global Inc Cl A (DISPOSED),Corporate SecuritiesStock,Self,"None (or less than $1,001)","Excepted Investment Fund,","$2,501 - $5,000"
1.1.2.9,DASH - Doordash Inc Cl A (DISPOSED),Corporate SecuritiesStock,Self,"None (or less than $1,001)","Excepted Investment Fund,","$2,501 - $5,000"
1.1.2.10,GTLB - Gitlab Inc Cl A (DISPOSED),Corporate SecuritiesStock,Self,"None (or less than $1,001)","Excepted Investment Fund,","$201 - $1,000"
1.1.2.11,ICE - Intercontinental Exchange (DISPOSED),Corporate SecuritiesStock,Self,"None (or less than $1,001)","Excepted Investment Fund,","$201 - $1,000"
1.1.2.12,MELI - Mercadolibre Inc (DISPOSED),Corporate SecuritiesStock,Self,"None (or less than $1,001)","Excepted Investment Fund,","$1,001 - $2,500"
1.1.2.13,MSTR - Microstrategy Cl A (DISPOSED),Corporate SecuritiesStock,Self,"None (or less than $1,001)","Excepted Investment Fund,","$2,501 - $5,000"
1.1.2.14,RBLX - Roblox Corp Cl A (DISPOSED),Corporate SecuritiesStock,Self,"None (or less than $1,001)","Excepted Investment Fund,","$201 - $1,000"
1.1.2.15,IOT - Samsara Inc Cl A (DISPOSED),Corporate SecuritiesStock,Self,"None (or less than $1,001)","Excepted Investment Fund,","$1,001 - $2,500"
1.1.2.16,SHOP - Shopify Inc (DISPOSED),Corporate SecuritiesStock,Self,"None (or less than $1,001)","Excepted Investment Fund,","$2,501 - $5,000"
1.1.2.17,TSLA - Tesla Inc (DISPOSED),Corporate SecuritiesStock,Self,"None (or less than $1,001)","Excepted Investment Fund,","$1,001 - $2,500"
1.1.2.18,TTD - Trade Desk Inc (DISPOSED),Corporate SecuritiesStock,Self,"None (or less than $1,001)","Excepted Investment Fund,","$2,501 - $5,000"
1.1.2.19,UBER - Uber Technologies Inc (DISPOSED),Corporate SecuritiesStock,Self,"None (or less than $1,001)","Excepted Investment Fund,","$5,001 - $15,000"
1.1.2.20,RPRX - Royalty Pharma Plc Cl A (DISPOSED),Corporate SecuritiesStock,Self,"None (or less than $1,001)","Excepted Investment Fund,","$201 - $1,000"
1.1.3,Morgan Stanley #1.1.3,Brokerage/Managed Account,Self,,,
1.1.3.1,"Morgan Stanley(New York, NY)Type: Brokerage Sweep Account,",Bank Deposit,Self,"None (or less than $1,001)","Interest,",None (or less than $201)
1.1.3.2,"FS NYDIG SELECT BITCOIN LPDescription: Investment Fund (New York, NY)",Investment FundHedge Fund,Self,"$250,001 - $500,000","None,",None (or less than $201)
1.1.3.3,"ARES SMEDescription: Investment Fund (New York, NY)",Investment FundPrivate Equity Fund,Self,"$100,001 - $250,000","Excepted Investment Fund,","$5,001 - $15,000"
1.1.3.4,"ASHBRIDGE SECONDARIES IIDescription: Investment Fund (New York, NY)",Investment FundPrivate Equity Fund,Self,"$250,001 - $500,000","Excepted Investment Fund,","$15,001 - $50,000"
1.1.3.5,"ASHBRIDGE SECONDARIES II CPVDescription: Investment Fund (New York, NY)",Investment FundPrivate Equity Fund,Self,"$1,001 - $15,000","None,",None (or less than $201)
1.1.4,Morgan Stanley #1.1.4,Brokerage/Managed Account,Self,,,
1.1.4.1,"Morgan Stanley(New York, NY)Type: Brokerage Sweep Account,",Bank Deposit,Self,"None (or less than $1,001)","Interest,","$2,501 - $5,000"
1.1.4.2,BAER - Bridger Aerospace Group Holdings Inc,Corporate SecuritiesStock,Self,"$1,000,001 - $5,000,000","None,",None (or less than $201)
1.1.4.3,Gallatin Cnty Mont Indl Dev (DISPOSED)Rate/Coupon: 11.5  Matures: 09/01/2027,Corporate SecuritiesCorporate Bond,Self,"None (or less than $1,001)","Interest,","$100,001 - $1,000,000"
1.1.5,Morgan Stanley #1.1.5,Brokerage/Managed Account,Self,,,
1.1.5.1,"Morgan Stanley(New York, NY)Type: Money Market Account, Savings,",Bank Deposit,Self,"None (or less than $1,001)","Interest,","$5,001 - $15,000"
1.1.6,Merrill Lynch #1.1.6,Brokerage/Managed Account,Self,,,
1.1.6.1,"Merrill Lynch(Pennington, NJ)Type: Brokerage Sweep Account, Checking, Money Market Account, Savings,",Bank Deposit,Self,"$15,001 - $50,000","Interest,","$5,001 - $15,000"
1.1.7,"Element Capital LLCCompany: Element Capital LLC (Bozeman, MT) Description: Holding Company Filer comment:  Reported values & income reflect filer's ownership interest in Element Capital LLC",Business EntityLimited Liability Company (LLC),Self,,,
1.1.7.1,"Merrill Lynch #1.1.7.1(Pennington, NJ)Type: Brokerage Sweep Account,",Bank Deposit,Self,"$100,001 - $250,000","Interest,","$5,001 - $15,000"
1.1.7.2,"Morgan Stanley #1.1.7.2(New York, NY)Type: Brokerage Sweep Account,",Bank Deposit,Self,"None (or less than $1,001)","Interest,","$2,501 - $5,000"
1.1.7.3,"Note Receivable - Little Belt Cattle Company LLCCompany: Little Belt Cattle Company LLC (Bozeman, MT)",Accounts ReceivableFrom a Business,Self,"$500,001 - $1,000,000","Interest,","$15,001 - $50,000"
1.1.7.4,"Interest in Blackstone Growth L.P.Company: Blackstone Growth L.P. (New York, NY) Description: Investments",Business EntityLimited Partnership (LP),Self,"$250,001 - $500,000","Excepted Investment Fund,","$1,001 - $2,500"
1.1.7.5,"Interest in Flint Hills Founders II, L.P.Company: Flint Hills Founders II, L.P. (Bozeman, MT) Description: Investments",Business EntityLimited Partnership (LP),Self,"$250,001 - $500,000","Excepted Investment Fund,","$2,501 - $5,000"
1.1.7.6,"Interest in Next Frontier Fund III, L.P.Company: Next Frontier Ventures Fund III, L.P. (Bozeman, MT) Description: Investments",Business EntityLimited Partnership (LP),Self,"$250,001 - $500,000","Excepted Investment Fund,",None (or less than $201)
1.1.7.7,"Interest in Next Frontier Fund IV, L.P.Company: Next Frontier Ventures Fund IV, L.P. (Bozeman, MT) Description: Investments",Business EntityLimited Partnership (LP),Self,"$50,001 - $100,000","Excepted Investment Fund,",None (or less than $201)
1.1.7.8,"Interest in Max Ventures Fund II, L.P.Company: Max Ventures Fund II, L.P. (New York, NY) Description: Investments",Business EntityLimited Partnership (LP),Self,"$250,001 - $500,000","Excepted Investment Fund,","$1,001 - $2,500"
1.1.7.9,"Max Ventures New World Opportunities Fund, L.P.Company: Max Ventures New World Opportunities Fund, L.P. (New York, NY) Description: Investments Filer comment:  Reported values & income of underlying assets reflect filer's ownership %",Business EntityLimited Partnership (LP),Self,,,
1.1.7.9.1,"Bozburun, Inc. (dba Toolio)Company: Bozburun, Inc. (dba Toolio) (New York, NY) Description: Contracted Services/Software Development",Corporate SecuritiesNon-Public Stock,Self,"$15,001 - $50,000","None,",None (or less than $201)
1.1.7.9.2,"Equestrian Labs, Inc. (dba Corro)Company: Equestrian Labs, Inc. (dba Corro) (New York, NY) Description: Ecommerce",Corporate SecuritiesNon-Public Stock,Self,"$1,001 - $15,000","None,",None (or less than $201)
1.1.7.9.3,"Giddy, Inc. (Boxed Wholesale)Company: Giddy, Inc. (Boxed Wholesale) (New York, NY) Description: Ecommerce",Corporate SecuritiesNon-Public Stock,Self,"None (or less than $1,001)","None,",None (or less than $201)
1.1.7.9.4,"Heartbeat Health Inc.Company: Heartbeat Health Inc. (New York, NY) Description: Healthcare",Corporate SecuritiesNon-Public Stock,Self,"$50,001 - $100,000","None,",None (or less than $201)
1.1.7.9.5,"K Health Inc.Company: K Health Inc. (New York, NY) Description: Healthcare",Corporate SecuritiesNon-Public Stock,Self,"$15,001 - $50,000","None,",None (or less than $201)
1.1.7.9.6,"Mindspan Group Inc. Company: Mindspan Group Inc. (New York, NY) Description: Healthcare",Corporate SecuritiesNon-Public Stock,Self,"$1,001 - $15,000","None,",None (or less than $201)
1.1.7.9.7,"Sana Labs ABCompany: Sana Labs AB (Stockholm, Sweden) Description: Education/Training",Corporate SecuritiesNon-Public Stock,Self,"$50,001 - $100,000","None,",None (or less than $201)
1.1.7.9.8,"Tertulia, Inc. Company: Tertulia, Inc. (New York, NY) Description: App - Book Store/Club",Corporate SecuritiesNon-Public Stock,Self,"$1,001 - $15,000","None,",None (or less than $201)
1.1.7.9.9,"Trail Games ABCompany: Trail Games AB (Stockholm, Sweden) Description: Video Games",Corporate SecuritiesNon-Public Stock,Self,"$15,001 - $50,000","None,",None (or less than $201)
1.1.7.9.10,"Vori Health Inc.Company: Vori Health Inc. (Nashville, TN) Description: Healthcare",Corporate SecuritiesNon-Public Stock,Self,"$1,001 - $15,000","None,",None (or less than $201)
1.1.7.9.11,"Zandivio Plc.Company: Zandivio Plc. (Barcelona, Spain) Description: Healthcare",Corporate SecuritiesNon-Public Stock,Self,"$15,001 - $50,000","None,",None (or less than $201)
1.1.7.9.12,"Ownership Interest in Max Ventures New World Opportunities Fund, L.P.Company: Max Ventures New World Opportunities Fund, L.P. (New York, NY) Description: Investments",Business EntityLimited Partnership (LP),Self,"$100,001 - $250,000","Interest,","$201 - $1,000"
1.1.7.10,"Bram Capital Fund LLC - Series ICompany: Bram Capital Fund LLC - Series I (Boston, MA) Description: Investments Filer comment:  Reported values & income of underlying assets reflect filer's ownership %",Business EntityLimited Liability Company (LLC),Self,,,
1.1.7.10.1,"Pison Technology, Inc.Company: Pison Technology, Inc. (Boston, MA) Description: Gesture Control Devices",Corporate SecuritiesNon-Public Stock,Self,"$250,001 - $500,000","None,",None (or less than $201)
