1,Truchas Capital 401k Plan,Retirement PlansDefined Contribution Pension Plan,Spouse,,,
1.1,"Charles Schwab(Minneapolis, MN)Type: Brokerage Sweep Account,",Bank Deposit,Spouse,"$1,001 - $15,000","None,",None (or less than $201)
1.2,SWVXX - Schwab Value Advantage Money Fund,Mutual FundsMutual Fund,Spouse,"$100,001 - $250,000","Excepted Investment Fund,",None (or less than $201)
1.3,AORT - Artivion Inc,Corporate SecuritiesStock,Spouse,"$250,001 - $500,000","None,",None (or less than $201)
1.4,TCMD - Tactile Systems Technology Inc,Corporate SecuritiesStock,Spouse,"$100,001 - $250,000","None,",None (or less than $201)
2,Arch C Smith Revocable Trust U/A DTD 11/23/2015,TrustGeneral Trust,Spouse,,,
2.1,"Charles Schwab(Minneapolis, MN)Type: Brokerage Sweep Account,",Bank Deposit,Spouse,"$100,001 - $250,000","Interest,","$201 - $1,000"
2.2,BSX - Boston Scientific Corporation,Corporate SecuritiesStock,Spouse,"$1,001 - $15,000","None,",None (or less than $201)
2.3,EVTCY - Evotec AG,Corporate SecuritiesStock,Spouse,"$1,001 - $15,000","None,",None (or less than $201)
2.4,"FNF - Fidelity National Financial, Inc.",Corporate SecuritiesStock,Spouse,"$1,001 - $15,000","None,",None (or less than $201)
2.5,"FIS - Fidelity National Information Services, Inc.Filer comment:  Donated shares",Corporate SecuritiesStock,Spouse,"None (or less than $1,001)","Dividends,","$201 - $1,000"
2.6,PODD - Insulet Corporation,Corporate SecuritiesStock,Spouse,"$500,001 - $1,000,000","Capital Gains,","$50,001 - $100,000"
2.7,JNJ - Johnson & Johnson,Corporate SecuritiesStock,Spouse,"$15,001 - $50,000","Dividends,","$201 - $1,000"
2.8,USB - U.S. Bancorp,Corporate SecuritiesStock,Spouse,"$15,001 - $50,000","Dividends,","$201 - $1,000"
2.9,"TCMD - Tactile Systems Technology, Inc.",Corporate SecuritiesStock,Spouse,"$100,001 - $250,000","None,",None (or less than $201)
2.10,PIPR - Piper Sandler Companies Common Stock,Corporate SecuritiesStock,Spouse,"$15,001 - $50,000","Dividends,","$201 - $1,000"
2.11,HBAN - Huntington Bancshares Incorporated - Common Stock,Corporate SecuritiesStock,Spouse,"$100,001 - $250,000","Dividends,","$5,001 - $15,000"
2.12,"AORT - Artivion, Inc. Common Stock",Corporate SecuritiesStock,Spouse,"$100,001 - $250,000","None,",None (or less than $201)
3,Charles Schwab - Rollover IRA,Retirement PlansIRA,Spouse,,,
3.1,"DXCM - DexCom, Inc.",Corporate SecuritiesStock,Spouse,"$500,001 - $1,000,000","None,",None (or less than $201)
3.2,PIPR - Piper Sandler Companies Common Stock,Corporate SecuritiesStock,Spouse,"$1,001 - $15,000","None,",None (or less than $201)
3.3,"TCMD - Tactile Systems Technology, Inc.",Corporate SecuritiesStock,Spouse,"$15,001 - $50,000","None,",None (or less than $201)
3.4,USB - U.S. Bancorp,Corporate SecuritiesStock,Spouse,"$50,001 - $100,000","None,",None (or less than $201)
3.5,"Schwab Bank(Minneapolis, MN)Type: Brokerage Sweep Account,",Bank Deposit,Spouse,"$50,001 - $100,000","None,",None (or less than $201)
3.6,MSTY.PA - Mainstay Medical International plc,Corporate SecuritiesStock,Spouse,"$15,001 - $50,000","None,",None (or less than $201)
