1,MALOX - BlackRock Global Allocation Instl (NASDAQ),Mutual FundsMutual Fund,Joint,"$100,001 - $250,000","Excepted Investment Fund,","$2,501 - $5,000"
2,NARAX - Virtus Multi-Sector S/T Bd A (NASDAQ),Mutual FundsMutual Fund,Joint,"$100,001 - $250,000","Excepted Investment Fund,","$2,501 - $5,000"
3,RPM - RPM International Inc. (NYSE),Corporate SecuritiesStock,Joint,"$1,000,001 - $5,000,000","Dividends, Capital Gains,","$15,001 - $50,000"
4,MANLX - BlackRock National Municipal Instl (NASDAQ),Mutual FundsMutual Fund,Joint,"$50,001 - $100,000","Excepted Investment Fund,","$2,501 - $5,000"
5,AFTFX - American Funds TaxExempt Bond F1 (NASDAQ),Mutual FundsMutual Fund,Joint,"$100,001 - $250,000","Excepted Investment Fund,","$5,001 - $15,000"
6,"State of Alaska Permanent FundDescription: State Fund Managed by Alaska Permanent Fund Corp. (Juneau, AK)",Other Securities,Self,"None (or less than $1,001)","Excepted Investment Fund,","$1,001 - $2,500"
7,"State of Alaska Permanent FundDescription: State Fund Managed by Alaska Permanent Fund Corp. (Juneau, AK)",Other Securities,Spouse,"None (or less than $1,001)","Excepted Investment Fund,","$1,001 - $2,500"
8,"Rental PropertyDescription: 301 Crystal Mtn. Rd (Girdwood, AK)",Real EstateResidential,Joint,"$250,001 - $500,000","Rent/Royalties,","$5,001 - $15,000"
9,IRA,Retirement PlansIRA,Self,,,
9.1,FGTXX Goldman Sachs FS Government Fund,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
9.2,FXAIX - Fidelity 500 Index Fund,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
9.3,MASKX - Ishares Russell 2000 Small-Cap Index Fund - Inst,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
9.4,FSGGX - Fidelity Global Ex U.S. Index Fund,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
9.5,VBTLX - Vanguard Total Bond Market Index Fund Admiral Sh,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
10,IRA,Retirement PlansIRA,Spouse,,,
10.1,FGTXX GS FS Government Fund,Mutual FundsMutual Fund,Spouse,"None (or less than $1,001)","Excepted Investment Fund,",None (or less than $201)
10.2,FXAIX - Fidelity 500 Index Fund,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
10.3,MASKX - Ishares Russell 2000 Small-Cap Index Fund - Inst,Mutual FundsMutual Fund,Spouse,"None (or less than $1,001)","Excepted Investment Fund,",None (or less than $201)
10.4,FSGGX - Fidelity Global Ex U.S. Index Fund,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
10.5,VBTLX - Vanguard Total Bond Market Index Fund Admiral Sh,Mutual FundsMutual Fund,Spouse,"None (or less than $1,001)","Excepted Investment Fund,",None (or less than $201)
11,Uniform Transfer to Minors Act College Fund,UGMA/UTMA,Child,,,
11.1,HNACX - Harbor Capital Appreciation Fund Retirement Class,Mutual FundsMutual Fund,Child,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
11.2,HNVRX - Harbor Small Cap Value Fund Retirement Class,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
11.3,VPMAX - Vanguard PRIMECAP Adm (NASDAQ),Mutual FundsMutual Fund,Child,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
11.4,WCMIX - WCM Focused International Growth Fund Institutiona,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
11.5,FTXXX - GS Investor Tax-Exempt Money Market Fund,Mutual FundsStable Value Fund,Child,"$1,001 - $15,000","Excepted Investment Fund,","$201 - $1,000"
