1,"United States Senate Federal Credit Union(Washington, DC)Type: Checking,",Bank Deposit,Joint,"$50,001 - $100,000","None,",None (or less than $201)
2,D.A. Davidson,Brokerage/Managed Account,Joint,,,
2.1,"AEP - American Electric Power Company, Inc.",Corporate SecuritiesStock,Joint,"$1,001 - $15,000","None,",None (or less than $201)
2.2,"D.A. Davidson(Great Falls, MT)Type: Money Market Account,",Bank Deposit,Joint,"$1,001 - $15,000","None,",None (or less than $201)
2.3,GGGGX - DWS GNMA Fund - Class A,Mutual FundsMutual Fund,Joint,"$1,001 - $15,000","Excepted Investment Fund,","$201 - $1,000"
3,"FarmlandDescription: Family Farm Land (Big Sandy, MT)",Farm,Joint,"$1,000,001 - $5,000,000","Rent/Royalties,","$2,501 - $5,000"
4,"T-Bone Farms, Inc.Description: Farm Equipment and House (Big Sandy, MT)",Farm,Joint,"$500,001 - $1,000,000","None,",None (or less than $201)
5,Montana Retirement System,Retirement PlansDefined Benefit Pension Plan,Self,"$1,001 - $15,000","None,",None (or less than $201)
6,"AEP - American Electric Power Company, Inc.",Corporate SecuritiesStock,Joint,"$50,001 - $100,000","Dividends,","$2,501 - $5,000"
7,"Glacier Bank(Kalispell, MT)Type: Checking,",Bank Deposit,Self,"$100,001 - $250,000","None,",None (or less than $201)
