1,Joint Schwab Account,Brokerage/Managed Account,Joint,,,
1.1,FKITX - Franklin Federal Intermediate-Term Tax-Free Inco,Mutual FundsMutual Fund,Joint,"$1,001 - $15,000","Interest,","$201 - $1,000"
1.2,CHSCP - CHS Inc,Corporate SecuritiesStock,Joint,"$1,001 - $15,000","Dividends,","$201 - $1,000"
1.3,JABAX - Janus Henderson Balanced Fund - T Shares,Mutual FundsMutual Fund,Joint,"$50,001 - $100,000","Dividends,","$1,001 - $2,500"
1.4,TRAIX - T. Rowe Price Capital Appreciation Fund - I Clas,Mutual FundsMutual Fund,Joint,"$50,001 - $100,000","Dividends, Capital Gains,","$1,001 - $2,500"
1.5,DODBX - Dodge & Cox Balanced Fund,Mutual FundsMutual Fund,Joint,"$50,001 - $100,000","Dividends, Capital Gains,","$2,501 - $5,000"
1.6,SWVXX - Schwab Value Advantage Money Fund,Mutual FundsMutual Fund,Joint,"$15,001 - $50,000","Dividends,","$1,001 - $2,500"
1.7,STIP - iShares 0-5 Year TIPS Bond ETF,Mutual FundsExchange Traded Fund/Note,Joint,"$1,001 - $15,000","Dividends,","$201 - $1,000"
1.8,"Schwab(Reno, NV)Type: Money Market Account,",Bank Deposit,Joint,"$1,001 - $15,000","Interest,",None (or less than $201)
2,Personal Schwab IRA Account,Brokerage/Managed Account,Self,,,
2.1,SGGDX - First Eagle Gold Fund,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Dividends,",None (or less than $201)
2.2,ICPAX - Williston Basin/Mid-North America Stock Fund ClaFiler comment:  This holding has previously been listed as ICPSZ.,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Dividends,",None (or less than $201)
2.3,PHYS - Sprott Physical Gold Trust ETV,Mutual FundsExchange Traded Fund/Note,Self,"$1,001 - $15,000","None,",None (or less than $201)
2.4,SGENX - First Eagle Global Fund Class A,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Dividends, Capital Gains,","$201 - $1,000"
2.5,SCHB - Schwab U.S. Broad Market ETF,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Dividends,","$201 - $1,000"
2.6,TRAIX - T. Rowe Price Capital Appreciation Fund - I Clas,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Dividends, Capital Gains,","$201 - $1,000"
2.7,SWVXX - Schwab Value Advantage Money Fund,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Dividends,","$1,001 - $2,500"
2.8,"Schwab(Reno, NV)Type: Money Market Account,",Bank Deposit,Self,"$1,001 - $15,000","Interest,",None (or less than $201)
3,Spouse Schwab Roth IRA Account,Brokerage/Managed Account,Spouse,,,
3.1,TRAIX - T. Rowe Price Capital Appreciation Fund - I Clas,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000","Dividends, Capital Gains,","$1,001 - $2,500"
3.2,SGGDX - First Eagle Gold Fund,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Dividends,",None (or less than $201)
3.3,SWVXX - Schwab Value Advantage Money Fund,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000","Dividends,","$201 - $1,000"
3.4,DODBX - Dodge & Cox Balanced Fund,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000","Dividends, Capital Gains,","$201 - $1,000"
3.5,XLE - SPDR Select Sector Fund - Energy Select Sector,Mutual FundsExchange Traded Fund/Note,Spouse,"$1,001 - $15,000","Dividends,",None (or less than $201)
3.6,"Schwab(Reno, NV)Type: Money Market Account,",Bank Deposit,Spouse,"$1,001 - $15,000","Interest,",None (or less than $201)
4,College Access 529Institution: Allianz Global Investors,Education Savings Plans529 College Savings Plan,Self,,,
4.1,PIMCO ALL Asset CL SD A CUSIP 83754S342,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","None,",None (or less than $201)
4.2,Age Based 0-6 Years CUSIP 83754Q619,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","None,",None (or less than $201)
5,College Access 529Institution: Allianz Global Investors,Education Savings Plans529 College Savings Plan,Self,,,
5.1,Age Based 0-6 Years CUSIP 83754Q619,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","None,",None (or less than $201)
5.2,PIMCO ALL Asset CL SD A CUSIP 83754S342,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","None,",None (or less than $201)
6,"SD Retirement System PlanFiler comment:  No present cash value.  Retirement benefit estimated at $940.16 per month as of January 1, 2026.",Retirement PlansDefined Benefit Pension Plan,Self,Unascertainable,"None,",None (or less than $201)
7,"Wells Fargo(Sioux Falls, SD)Type: Checking,",Bank Deposit,Joint,"$1,001 - $15,000","Interest,",None (or less than $201)
8,"Congressional Federal Credit Union(Washington, DC)Type: Savings,",Bank Deposit,Self,"$15,001 - $50,000","Interest,",None (or less than $201)
