1,"Hancock Whitney Bank(Santa Rosa Beach, FL)Type: Checking,",Bank Deposit,Joint,"$50,001 - $100,000","Interest,",None (or less than $201)
2,"Rental Property 1Description: Condominium (Panama City Beach, FL) Filer comment:  Asset sold 7/5/2023",Real EstateResidential,Joint,"None (or less than $1,001)","Capital Gains,","$100,001 - $1,000,000"
3,Prudential Variable AnnuityProvider: Prudential,AnnuityVariable Annuity,Self,,,
3.1,AST Preservation Asset Allocation Portfolio,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","None,",None (or less than $201)
3.2,AST J.P. Morgan Global Thematic,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","None,",None (or less than $201)
3.3,AST Prudential Growth Allocation,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","None,",None (or less than $201)
3.4,AST T. Rowe Price Asset Allocation,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","None,",None (or less than $201)
3.5,AST Balanced Asset Allocation,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","None,",None (or less than $201)
3.6,AST Investment Grade Bond,Mutual FundsMutual Fund,Self,"None (or less than $1,001)","None,",None (or less than $201)
4,Lincoln IRA,Retirement PlansIRA,Self,,,
4.1,"Fidelity (FDRXX)(Boston, MA)Type: Brokerage Sweep Account,",Bank Deposit,Self,"$250,001 - $500,000","None,",None (or less than $201)
4.2,GOOGL - Alphabet Inc.,Corporate SecuritiesStock,Self,"$100,001 - $250,000","None,",None (or less than $201)
4.3,AAPL - Apple Inc.,Corporate SecuritiesStock,Self,"$250,001 - $500,000","None,",None (or less than $201)
4.4,C - Citigroup Inc.,Corporate SecuritiesStock,Self,"$15,001 - $50,000","None,",None (or less than $201)
4.5,NUE - Nucor Corporation,Corporate SecuritiesStock,Self,"$50,001 - $100,000","None,",None (or less than $201)
4.6,PFE - Pfizer Inc.,Corporate SecuritiesStock,Self,"$15,001 - $50,000","None,",None (or less than $201)
4.7,PM - Philip Morris International Inc.,Corporate SecuritiesStock,Self,"$15,001 - $50,000","None,",None (or less than $201)
4.8,"UAA - Under Armour, Inc.",Corporate SecuritiesStock,Self,"$1,001 - $15,000","None,",None (or less than $201)
4.9,VZ - Verizon Communications Inc.,Corporate SecuritiesStock,Self,"$15,001 - $50,000","None,",None (or less than $201)
4.10,WMT - Walmart Inc.,Corporate SecuritiesStock,Self,"$15,001 - $50,000","None,",None (or less than $201)
4.11,FSPSX - Fidelity International Index Fund,Mutual FundsMutual Fund,Self,"$50,001 - $100,000","None,",None (or less than $201)
4.12,FSMDX - Fidelity Mid Cap Index Fund,Mutual FundsMutual Fund,Self,"$50,001 - $100,000","None,",None (or less than $201)
4.13,SGIIX - First Eagle Global Fund Class I,Mutual FundsMutual Fund,Self,"$50,001 - $100,000","None,",None (or less than $201)
4.14,EIBLX - Eaton Vance Floating - Rate Fund Institutional Cla,Mutual FundsMutual Fund,Self,"$50,001 - $100,000","None,",None (or less than $201)
4.15,PIPNX - PIMCO Income Fund Class I-3,Mutual FundsMutual Fund,Self,"None (or less than $1,001)","None,",None (or less than $201)
4.16,TDIV - First Trust NASDAQ Technology Dividend Index Fund,Mutual FundsExchange Traded Fund/Note,Self,"$50,001 - $100,000","None,",None (or less than $201)
4.17,IVV - iShares Core S&P 500 ETF,Mutual FundsExchange Traded Fund/Note,Self,"$15,001 - $50,000","None,",None (or less than $201)
4.18,XLP - Consumer Staples Select Sector SPDR Fund,Mutual FundsExchange Traded Fund/Note,Self,"$50,001 - $100,000","None,",None (or less than $201)
4.19,XLU - Utilities Select Sector SPDR Fund,Mutual FundsExchange Traded Fund/Note,Self,"$15,001 - $50,000","None,",None (or less than $201)
4.20,XLV - Health Care Select Sector SPDR Fund,Mutual FundsExchange Traded Fund/Note,Self,"$50,001 - $100,000","None,",None (or less than $201)
4.21,XAR - SPDR S&P Aerospace & Defense ETF,Mutual FundsMutual Fund,Self,"$50,001 - $100,000","None,",None (or less than $201)
4.22,VIG - Vanguard Dividend Appreciation Index Fund ETF Shar,Mutual FundsExchange Traded Fund/Note,Self,"$50,001 - $100,000","None,",None (or less than $201)
4.23,QQQ - Invesco QQQ Trust,Mutual FundsExchange Traded Fund/Note,Self,"$15,001 - $50,000","None,",None (or less than $201)
4.24,PFF - iShares Preferred and Income Securities ETF,Mutual FundsExchange Traded Fund/Note,Self,"$15,001 - $50,000","None,",None (or less than $201)
4.25,DTD - WisdomTree U.S. Total Dividend Fund,Mutual FundsExchange Traded Fund/Note,Self,"$50,001 - $100,000","None,",None (or less than $201)
4.26,BMY - Bristol-Myers Squibb Company Common Stock,Corporate SecuritiesStock,Self,"$1,001 - $15,000","None,",None (or less than $201)
4.27,IDV - iShares International Select Dividend ETF,Mutual FundsExchange Traded Fund/Note,Self,"$50,001 - $100,000","None,",None (or less than $201)
4.28,"PayPal Holdings, Inc.",Corporate SecuritiesStock,Self,"$15,001 - $50,000","None,",None (or less than $201)
4.29,WAB - WABTEC COM,Corporate SecuritiesStock,Self,"$1,001 - $15,000","None,",None (or less than $201)
4.30,ABNFX - The Bond Fund of America Class F2,Corporate SecuritiesStock,Self,"$15,001 - $50,000","None,",None (or less than $201)
4.31,RSP - Invesco S&P 500 Equal Weight ETF,Corporate SecuritiesStock,Self,"$50,001 - $100,000","None,",None (or less than $201)
4.32,DHS - Wisdomtree U.S. High Dividend Fund,Corporate SecuritiesStock,Self,"$50,001 - $100,000","None,",None (or less than $201)
4.33,US Treas Bills Zero CPNRate/Coupon: None  Matures: None,Government SecuritiesUS Treasury/Agency Security,Self,"None (or less than $1,001)","None,",None (or less than $201)
4.34,FSMSX - FS Multi-Strategy Alternatives Fund Class I,Mutual FundsExchange Traded Fund/Note,Self,"$15,001 - $50,000","None,",None (or less than $201)
4.35,PQIIX - Pimco Dividend and Income Fund Class Instl,Mutual FundsExchange Traded Fund/Note,Self,"$50,001 - $100,000","None,",None (or less than $201)
