1,"Hancock Whitney Bank(Santa Rosa Beach, FL)Type: Checking,",Bank Deposit,Joint,"$50,001 - $100,000","Interest,",None (or less than $201)
2,Prudential Variable AnnuityProvider: Prudential,AnnuityVariable Annuity,Self,,,
2.1,AST Preservation Asset Allocation Portfolio,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","None,",None (or less than $201)
2.2,AST J.P. Morgan Global Thematic,Mutual FundsMutual Fund,Self,"None (or less than $1,001)","None,",None (or less than $201)
2.3,AST Prudential Growth Allocation,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","None,",None (or less than $201)
2.4,AST T. Rowe Price Asset Allocation,Mutual FundsMutual Fund,Self,"None (or less than $1,001)","None,",None (or less than $201)
2.5,AST Balanced Asset Allocation,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","None,",None (or less than $201)
2.6,AST J.P. Morgan Moderate Multi-Asset,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","None,",None (or less than $201)
3,Osaic IRA (formerly Lincoln IRA),Retirement PlansIRA,Self,,,
3.1,"Fidelity (FDRXX)(Boston, MA)Type: Brokerage Sweep Account,",Bank Deposit,Self,"$250,001 - $500,000","None,",None (or less than $201)
3.2,GOOGL - Alphabet Inc.,Corporate SecuritiesStock,Self,"$100,001 - $250,000","None,",None (or less than $201)
3.3,AAPL - Apple Inc.,Corporate SecuritiesStock,Self,"$250,001 - $500,000","None,",None (or less than $201)
3.4,C - Citigroup Inc.,Corporate SecuritiesStock,Self,"$15,001 - $50,000","None,",None (or less than $201)
3.5,NUE - Nucor Corporation,Corporate SecuritiesStock,Self,"$50,001 - $100,000","None,",None (or less than $201)
3.6,PFE - Pfizer Inc.,Corporate SecuritiesStock,Self,"$15,001 - $50,000","None,",None (or less than $201)
3.7,PM - Philip Morris International Inc.,Corporate SecuritiesStock,Self,"$15,001 - $50,000","None,",None (or less than $201)
3.8,"UAA - Under Armour, Inc.",Corporate SecuritiesStock,Self,"$1,001 - $15,000","None,",None (or less than $201)
3.9,VZ - Verizon Communications Inc.,Corporate SecuritiesStock,Self,"$15,001 - $50,000","None,",None (or less than $201)
3.10,WMT - Walmart Inc.,Corporate SecuritiesStock,Self,"$50,001 - $100,000","None,",None (or less than $201)
3.11,FSPSX - Fidelity International Index Fund,Mutual FundsMutual Fund,Self,"$50,001 - $100,000","None,",None (or less than $201)
3.12,FSMDX - Fidelity Mid Cap Index Fund,Mutual FundsMutual Fund,Self,"$50,001 - $100,000","None,",None (or less than $201)
3.13,SGIIX - First Eagle Global Fund Class I,Mutual FundsMutual Fund,Self,"$50,001 - $100,000","None,",None (or less than $201)
3.14,EIBLX - Eaton Vance Floating - Rate Fund Institutional Cla,Mutual FundsMutual Fund,Self,"None (or less than $1,001)","None,",None (or less than $201)
3.15,TDIV - First Trust NASDAQ Technology Dividend Index Fund,Mutual FundsExchange Traded Fund/Note,Self,"$50,001 - $100,000","None,",None (or less than $201)
3.16,IVV - iShares Core S&P 500 ETF,Mutual FundsExchange Traded Fund/Note,Self,"$50,001 - $100,000","None,",None (or less than $201)
3.17,XLP - Consumer Staples Select Sector SPDR Fund,Mutual FundsExchange Traded Fund/Note,Self,"$50,001 - $100,000","None,",None (or less than $201)
3.18,XLU - Utilities Select Sector SPDR Fund,Mutual FundsExchange Traded Fund/Note,Self,"$50,001 - $100,000","None,",None (or less than $201)
3.19,XLV - Health Care Select Sector SPDR Fund,Mutual FundsExchange Traded Fund/Note,Self,"$50,001 - $100,000","None,",None (or less than $201)
3.20,XAR - SPDR S&P Aerospace & Defense ETF,Mutual FundsMutual Fund,Self,"$100,001 - $250,000","None,",None (or less than $201)
3.21,VIG - Vanguard Dividend Appreciation Index Fund ETF Shar,Mutual FundsExchange Traded Fund/Note,Self,"$50,001 - $100,000","None,",None (or less than $201)
3.22,QQQ - Invesco QQQ Trust,Mutual FundsExchange Traded Fund/Note,Self,"$15,001 - $50,000","None,",None (or less than $201)
3.23,PFF - iShares Preferred and Income Securities ETF,Mutual FundsExchange Traded Fund/Note,Self,"$15,001 - $50,000","None,",None (or less than $201)
3.24,DTD - WisdomTree U.S. Total Dividend Fund,Mutual FundsExchange Traded Fund/Note,Self,"$50,001 - $100,000","None,",None (or less than $201)
3.25,BMY - Bristol-Myers Squibb Company Common Stock,Corporate SecuritiesStock,Self,"$1,001 - $15,000","None,",None (or less than $201)
3.26,IDV - iShares International Select Dividend ETF,Mutual FundsExchange Traded Fund/Note,Self,"None (or less than $1,001)","None,",None (or less than $201)
3.27,"PayPal Holdings, Inc.",Corporate SecuritiesStock,Self,"$15,001 - $50,000","None,",None (or less than $201)
3.28,WAB - WABTEC COM,Corporate SecuritiesStock,Self,"$1,001 - $15,000","None,",None (or less than $201)
3.29,ABNFX - The Bond Fund of America Class F2,Corporate SecuritiesStock,Self,"$100,001 - $250,000","None,",None (or less than $201)
3.30,RSP - Invesco S&P 500 Equal Weight ETF,Corporate SecuritiesStock,Self,"$50,001 - $100,000","None,",None (or less than $201)
3.31,DHS - Wisdomtree U.S. High Dividend Fund,Corporate SecuritiesStock,Self,"$50,001 - $100,000","None,",None (or less than $201)
3.32,US Treas Bills Zero CPNRate/Coupon: None  Matures: None,Government SecuritiesUS Treasury/Agency Security,Self,"$15,001 - $50,000","None,",None (or less than $201)
3.33,FSMSX - FS Multi-Strategy Alternatives Fund Class I,Mutual FundsExchange Traded Fund/Note,Self,"$50,001 - $100,000","None,",None (or less than $201)
3.34,PQIIX - Pimco Dividend and Income Fund Class Instl,Mutual FundsExchange Traded Fund/Note,Self,"$50,001 - $100,000","None,",None (or less than $201)
3.35,Federal Home LN MTG Corp MTN 5.2000%Rate/Coupon: None  Matures: None,Government SecuritiesUS Treasury/Agency Security,Self,"None (or less than $1,001)","None,",None (or less than $201)
3.36,LVHI - Legg Mason International Low Volatility High Divid,Mutual FundsExchange Traded Fund/Note,Self,"$50,001 - $100,000","None,",None (or less than $201)
3.37,DGRW - WisdomTree U.S. Quality Dividend Growth Fund,Mutual FundsExchange Traded Fund/Note,Self,"$15,001 - $50,000","None,",None (or less than $201)
4,Osaic Joint Brokerage Account (formerly Lincoln Joint Brokerage Account),Brokerage/Managed Account,Joint,,,
4.1,"Fidelity (SPAXX)(Boston, MA)Type: Brokerage Sweep Account,",Bank Deposit,Joint,"$50,001 - $100,000","Dividends,","$5,001 - $15,000"
4.2,ABBV - AbbVie Inc.,Corporate SecuritiesStock,Joint,"$15,001 - $50,000","Dividends, Capital Gains,","$201 - $1,000"
4.3,ACN - Accenture plc,Corporate SecuritiesStock,Joint,"$1,001 - $15,000","Dividends, Capital Gains,","$5,001 - $15,000"
4.4,ADBE - Adobe Inc.,Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Dividends, Capital Gains,","$15,001 - $50,000"
4.5,GOOGL - Alphabet Inc.,Corporate SecuritiesStock,Joint,"$50,001 - $100,000","Dividends, Capital Gains,","$5,001 - $15,000"
4.6,"AWK - American Water Works Company, Inc.",Corporate SecuritiesStock,Joint,"$15,001 - $50,000","Dividends,","$201 - $1,000"
4.7,AMGN - Amgen Inc.,Corporate SecuritiesStock,Joint,"$15,001 - $50,000","Dividends,","$201 - $1,000"
4.8,AAPL - Apple Inc.,Corporate SecuritiesStock,Joint,"$100,001 - $250,000","Dividends, Capital Gains,","$50,001 - $100,000"
4.9,ADM - Archer-Daniels-Midland Company,Corporate SecuritiesStock,Joint,"$15,001 - $50,000","Dividends,","$201 - $1,000"
4.10,CVS - CVS Health Corporation,Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Dividends, Capital Gains,","$5,001 - $15,000"
4.11,"STZ - Constellation Brands, Inc.",Corporate SecuritiesStock,Joint,"$15,001 - $50,000","Dividends,","$201 - $1,000"
4.12,DEO - Diageo plc,Corporate SecuritiesStock,Joint,"$15,001 - $50,000","Dividends,","$201 - $1,000"
4.13,DUK - Duke Energy Corporation,Corporate SecuritiesStock,Joint,"$15,001 - $50,000","Dividends,","$1,001 - $2,500"
4.14,"GS - The Goldman Sachs Group, Inc.",Corporate SecuritiesStock,Joint,"$50,001 - $100,000","Dividends,","$1,001 - $2,500"
4.15,HON - Honeywell International Inc.,Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Dividends, Capital Gains,","$15,001 - $50,000"
4.16,JNJ - Johnson & Johnson,Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Dividends, Capital Gains,","$15,001 - $50,000"
4.17,JPM - JPMorgan Chase & Co.,Corporate SecuritiesStock,Joint,"$15,001 - $50,000","Dividends, Capital Gains,","$15,001 - $50,000"
4.18,KMB - Kimberly-Clark Corporation,Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Dividends, Capital Gains,","$15,001 - $50,000"
4.19,LLY - Eli Lilly and Company,Corporate SecuritiesStock,Joint,"$15,001 - $50,000","Dividends, Capital Gains,","$15,001 - $50,000"
4.20,LMT - Lockheed Martin Corporation,Corporate SecuritiesStock,Joint,"$15,001 - $50,000","Dividends,","$201 - $1,000"
4.21,MA - Mastercard Incorporated,Corporate SecuritiesStock,Joint,"$15,001 - $50,000","Dividends,",None (or less than $201)
4.22,MCD - McDonald's Corporation,Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Dividends, Capital Gains,","$15,001 - $50,000"
4.23,MDT - Medtronic plc,Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Dividends, Capital Gains,","$15,001 - $50,000"
4.24,MSFT - Microsoft Corporation,Corporate SecuritiesStock,Joint,"$100,001 - $250,000","Dividends, Capital Gains,","$50,001 - $100,000"
4.25,NSRGY - Nestlé S.A.,Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Dividends, Capital Gains,","$15,001 - $50,000"
