1,Wells Fargo IRA,Retirement PlansIRA,Self,,,
1.1,"Wells Fargo(Washington, DC)Type: IRA Cash Accounts,",Bank Deposit,Self,"$1,001 - $15,000","None,",None (or less than $201)
1.2,SPY - SPDR S&P 500 ETF,Mutual FundsExchange Traded Fund/Note,Self,"$1,000,001 - $5,000,000","Excepted Investment Fund,",None (or less than $201)
1.3,FTIXX - GS Financial Square Treasury Instruments FundFiler comment:  Money Market Mutual Fund,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
2,"JPMorgan Chase Bank, NA(New York, NY)Type: Checking, Savings,",Bank Deposit,Self,"$15,001 - $50,000","None,",None (or less than $201)
3,The MRW Blind Trust,TrustGeneral Trust,Self,,,
3.1,COHOX - Coho Relative Value Equity Advisor,Mutual FundsMutual Fund,Self,"None (or less than $1,001)","Excepted Investment Fund,","$100,001 - $1,000,000"
3.2,"JPMorgan Chase(New York, NY)Type: Brokerage Sweep Account,",Bank Deposit,Self,"$50,001 - $100,000","Interest,","$5,001 - $15,000"
3.3,AKRIX - Akre Focus Instl,Mutual FundsMutual Fund,Self,"None (or less than $1,001)","Excepted Investment Fund,","$1,000,001 - $5,000,000"
3.4,"Wells Fargo - Cash Reserve Prime Series Money Market Fund(Washington, DC)Type: Money Market Account,",Bank Deposit,Self,"None (or less than $1,001)","Interest,","$1,001 - $2,500"
3.5,Murray Bonitt ReceivableDebtor: Murray Bonitt,Accounts ReceivableFrom an Individual,Self,"$50,001 - $100,000","None,",None (or less than $201)
3.6,"Capital Cellular CorporationDescription: Private Equity (Alexandria, VA)",Investment FundPrivate Equity Fund,Self,,,
3.6.1,"MSA Investments, LPDescription: Private Equity (Alexandria, VA)",Investment FundPrivate Equity Fund,Self,,,
3.6.1.1,"Topeka KS, LPDescription: Private Equity (Topeka, KS)",Investment FundPrivate Equity Fund,Self,,,
3.6.1.1.1,"Minority Interest in Topeka, KS RSA Cellular LicenseDescription: Cellular License (Topeka, KS)",Investment FundPrivate Equity Fund,Self,"$500,001 - $1,000,000","Dividends,","$50,001 - $100,000"
3.6.1.2,"Petersburg Cellular PartnershipDescription: Private Equity (Tulsa, OK)",Investment FundPrivate Equity Fund,Self,,,
3.6.1.2.1,"Minority Interest in FCC 601 Petersburg-Colonial Heights-Hopewell VA MSADescription: Cellular License (Petersburg, VA)",Investment FundPrivate Equity Fund,Self,"$500,001 - $1,000,000","Dividends,","$50,001 - $100,000"
3.7,"Columbia Capital Equity Partners IV, L.P.Description: Private Equity (Alexandria, VA)",Investment FundPrivate Equity Fund,Self,"$500,001 - $1,000,000","Excepted Investment Fund,","$100,001 - $1,000,000"
3.8,"Updata Partners III L.P.Description: Private Equity (Reston, VA)",Investment FundPrivate Equity Fund,Self,"$50,001 - $100,000","Excepted Investment Fund,",None (or less than $201)
3.9,"AP Europe VII, LPDescription: Private Equity (New York, NY)",Investment FundPrivate Equity Fund,Self,"$15,001 - $50,000","Excepted Investment Fund,","$15,001 - $50,000"
3.10,"WDE Partners, LPDescription: Private Equity (New York, NY)",Investment FundPrivate Equity Fund,Self,,,
3.10.1,"West Deptford Energy Holdings, LLCCompany: West Deptford Energy Holdings, LLC (New York, NY) Description: Energy Company",Business EntityLimited Liability Company (LLC),Self,"$1,001 - $15,000","None,",None (or less than $201)
3.11,"JBG/Fund VI Qualified Investors, LLCDescription: Real Estate Fund (Chevy Chase, MD) Filer comment:  Gifted to Act for Alexandria on 1/1/2024",Investment FundPrivate Equity Fund,Self,"None (or less than $1,001)","Excepted Investment Fund,",None (or less than $201)
3.12,"JBG/Fund VIII Qualified Investors, LLCDescription: Real Estate Fund (Chevy Chase, MD) Filer comment:  Gifted to Act for Alexandria on 1/1/2024",Investment FundPrivate Equity Fund,Self,"None (or less than $1,001)","Excepted Investment Fund,",None (or less than $201)
3.13,"Echo Bridge Realty Fund I, L.P.Description: Private Equity (Wellesley Hills, MA)",Investment FundPrivate Equity Fund,Self,,,
3.13.1,"Wilton GSE LLCCompany: Wilton GSE LLC (Wilton, CT) Description: Real Estate",Business EntityLimited Liability Company (LLC),Self,"$100,001 - $250,000","None,",None (or less than $201)
3.14,"Edge Principal Investments II, LPDescription: Private Equity (New York, NY)",Investment FundPrivate Equity Fund,Self,"None (or less than $1,001)","Excepted Investment Fund,",None (or less than $201)
3.15,"Edge Principal Investments III, LPDescription: Private Equity (New York, NY)",Investment FundPrivate Equity Fund,Self,"$500,001 - $1,000,000","Excepted Investment Fund,","$100,001 - $1,000,000"
3.16,"Riverstone Global Energy and Power Private Investors V, LLCDescription: Private Equity (New York, NY)",Investment FundPrivate Equity Fund,Self,"$50,001 - $100,000","Excepted Investment Fund,","$50,001 - $100,000"
3.17,"New Amsterdam BC Investors, LLCDescription: Private Equity (Telluride, CO)",Investment FundPrivate Equity Fund,Self,,,
3.17.1,"BetterCloudDescription: Cloud Storage Company (New York, NY)",Other Securities,Self,"$250,001 - $500,000","None,",None (or less than $201)
3.18,"Apollo Total Return Fund (Onshore) LPDescription: Hedge Fund (New York, NY)",Investment FundHedge Fund,Self,"None (or less than $1,001)","Excepted Investment Fund,","$100,001 - $1,000,000"
3.19,"Sachs Capital Fund II, LLCDescription: Private Equity (Potomac, MD)",Investment FundPrivate Equity Fund,Self,"$500,001 - $1,000,000","Excepted Investment Fund,","$100,001 - $1,000,000"
3.20,SPY - SPDR S&P 500 ETF,Mutual FundsExchange Traded Fund/Note,Self,"$5,000,001 - $25,000,000","Excepted Investment Fund,","$100,001 - $1,000,000"
3.21,"Apollo VII Private Investors LLCDescription: Private Equity (New York, NY)",Investment FundPrivate Equity Fund,Self,"None (or less than $1,001)","Excepted Investment Fund,",None (or less than $201)
3.22,"Apollo EPF Private Investors, LLCDescription: Private Equity (New York, NY)",Investment FundPrivate Equity Fund,Self,"$1,001 - $15,000","Excepted Investment Fund,","$201 - $1,000"
3.23,"Legacy Airwest IX, LLCDescription: Investment Company (Arlington, VA)",Investment FundPrivate Equity Fund,Self,,,
3.23.1,"Airwest IX WarehouseDescription: Real Estate (Plainfield, IN)",Other Securities,Self,"$500,001 - $1,000,000","Rent/Royalties,","$15,001 - $50,000"
3.24,"Elysium Health, Inc.Company: Elysium Health, Inc. (Delray Beach, FL) Description: Health Industry",Corporate SecuritiesNon-Public Stock,Self,"$100,001 - $250,000","None,",None (or less than $201)
3.25,"Snap+Style, Inc. (RemoteRetail)Company: Snap+Style, Inc. (Washington, DC) Description: Online Fashion Advisory & Shopping Website",Corporate SecuritiesNon-Public Stock,Self,"$250,001 - $500,000","None,",None (or less than $201)
3.26,GWMIX - AMG GW&K Municipal Bond Fund Class I,Mutual FundsMutual Fund,Self,"$1,000,001 - $5,000,000","Excepted Investment Fund,",None (or less than $201)
3.27,VWSUX - Vanguard Short-Term Tx-Ex Adm,Mutual FundsMutual Fund,Self,"None (or less than $1,001)","Excepted Investment Fund,","$201 - $1,000"
3.28,VWO - Vanguard FTSE Emerging Markets ETF,Mutual FundsExchange Traded Fund/Note,Self,"None (or less than $1,001)","Excepted Investment Fund,","$50,001 - $100,000"
3.29,"VEPF VI FAF, L.P.Description: Private Equity (Oakland, CA)",Investment FundPrivate Equity Fund,Self,"$1,000,001 - $5,000,000","Excepted Investment Fund,","$100,001 - $1,000,000"
3.30,"Fidelity Brokerage Services LLC(Albuquerque, NM)Type: Money Market Account,",Bank Deposit,Self,"$1,001 - $15,000","None,",None (or less than $201)
3.31,"HPRE Fund I US FI LPDescription: Real Estate (London, England)",Real EstateCommercial,Self,"$1,000,001 - $5,000,000","Excepted Investment Fund,","$5,001 - $15,000"
3.32,"euNetworks Group Limited Description: euNetworks Group Limited (London, England)",Investment FundPrivate Equity Fund,Self,"None (or less than $1,001)","Capital Gains,","$1,000,001 - $5,000,000"
3.33,"Health Velocity Capital I, LPDescription: Private Equity (San Mateo, CA)",Investment FundPrivate Equity Fund,Self,"$500,001 - $1,000,000","Excepted Investment Fund,","$1,000,001 - $5,000,000"
3.34,"Columbia Capital Equity Partners VII, LLCDescription: Private Equity (Alexandria, VA)",Investment FundPrivate Equity Fund,Self,"$1,000,001 - $5,000,000","Excepted Investment Fund,","$50,001 - $100,000"
3.35,VEA - Vanguard FTSE Developed Markets Index Fund ETF Sha,Mutual FundsExchange Traded Fund/Note,Self,"$5,000,001 - $25,000,000","Excepted Investment Fund,","$100,001 - $1,000,000"
3.36,"Edge Principal Investments IV, LPDescription: Private Equity (New York, NY)",Investment FundPrivate Equity Fund,Self,"$1,000,001 - $5,000,000","Excepted Investment Fund,",None (or less than $201)
3.37,"Vista Equity Partners Fund VII, LPDescription: Private Equity (Oakland, CA)",Investment FundPrivate Equity Fund,Self,"$1,000,001 - $5,000,000","Excepted Investment Fund,",None (or less than $201)
