1,"Capital One(McLean, VA)Type: Savings,",Bank Deposit,Joint,"$50,001 - $100,000","Interest,","$201 - $1,000"
2,"Bank of America(Charlotte, NC)Type: Checking,",Bank Deposit,Joint,"$1,001 - $15,000","None,",None (or less than $201)
3,"Bank of America(Charlotte, NC)Type: Savings,",Bank Deposit,Joint,"$50,001 - $100,000","None,",None (or less than $201)
4,"First National Bank of Omaha(Omaha, NE)Type: Savings,",Bank Deposit,Joint,"$100,001 - $250,000","Interest,","$1,001 - $2,500"
5,TIAA-CREF Traditional,Mutual FundsMutual Fund,Self,"$1,000,001 - $5,000,000","Excepted Investment Fund,",None (or less than $201)
6,QCSTIX - CREF Stock Account - R3,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
7,QCGLIX - CREF Global Equities Account - R3,Mutual FundsMutual Fund,Self,"$250,001 - $500,000","Excepted Investment Fund,",None (or less than $201)
8,QREARX - TIAA Real Estate Account,Mutual FundsMutual Fund,Self,"$500,001 - $1,000,000","Excepted Investment Fund,",None (or less than $201)
9,VSMPX - Vanguard Total Stock Market Index Fund Institution,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
10,TIAA-CREF Traditional,Mutual FundsMutual Fund,Spouse,"Over $1,000,000 and held independently by spouse or dependent child","Excepted Investment Fund,",None (or less than $201)
11,QCEQIX - CREF Equity Index Account - R3,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
12,VSMPX - Vanguard Total Stock Market Index Fund Institution,Mutual FundsMutual Fund,Spouse,"Over $1,000,000 and held independently by spouse or dependent child","Excepted Investment Fund,",None (or less than $201)
13,VFIAX - Vanguard 500 Index Fd Admiral Shs,Mutual FundsMutual Fund,Joint,"$100,001 - $250,000","Excepted Investment Fund,","$1,001 - $2,500"
