1,"US Senate FCU(Washington, DC)Type: Checking, Money Market Account,",Bank Deposit,Self,"$50,001 - $100,000","None,",None (or less than $201)
2,"US Savings Bond Series IDescription: US Savings Bond (Washington, DC)",Other Securities,Self,"$100,001 - $250,000","None,",None (or less than $201)
3,"US Senate FCU(Washington, DC)Type: Checking,",Bank Deposit,Self,"$50,001 - $100,000","None,",None (or less than $201)
4,Rights to the literary works of Peter WydenDescription: Rights to the literary works of Peter Wyden,Intellectual PropertyCopyrights,Self,Unascertainable,"None,",None (or less than $201)
5,"TIAA/CREF(Washington, DC)Type: IRA Cash Accounts, Filer comment:  inherited IRA",Bank Deposit,Self,"$15,001 - $50,000","None,",None (or less than $201)
6,Oregon College Savings Plan - William Peter WydenInstitution: Oregon,Education Savings Plans529 College Savings Plan,Child,,,
6.1,International Equity Index,Mutual FundsMutual Fund,Child,"$50,001 - $100,000","Excepted Investment Fund,",None (or less than $201)
6.2,U.S. Equity Index,Mutual FundsMutual Fund,Child,"$250,001 - $500,000","Excepted Investment Fund,",None (or less than $201)
7,Oregon College Savings Plan - Ava Rose WydenInstitution: Oregon,Education Savings Plans529 College Savings Plan,Child,,,
7.1,International Equity Index,Mutual FundsMutual Fund,Child,"$50,001 - $100,000","Excepted Investment Fund,",None (or less than $201)
7.2,U.S. Equity Index,Mutual FundsMutual Fund,Child,"$250,001 - $500,000","Excepted Investment Fund,",None (or less than $201)
8,"Strand Book Store Inc.  (S-Corp)Description: Book Store (New York, NY)",Other Securities,Spouse,"Over $1,000,000 and held independently by spouse or dependent child","Dividends,","$100,001 - $1,000,000"
9,"Bass Book Trading, Inc  (S-corp)Description: Book Trading (New York, NY)",Other Securities,Spouse,"Over $1,000,000 and held independently by spouse or dependent child","Dividends, Rent/Royalties,","$100,001 - $1,000,000"
10,"Bass Real Estate LLCCompany: Bass Real Estate LLC (New York, NY) Description: Commercial Real Estate holding Filer comment:  Holdings: 826 Broadway, New York, NY 10003",Business EntityLimited Liability Company (LLC),Spouse,"Over $1,000,000 and held independently by spouse or dependent child","Rent/Royalties,","$100,001 - $1,000,000"
11,"Coolidge Oakleigh LLCCompany: Coolidge Oakleigh LLC (Baton Rouge, LA) Description: Holding company",Business EntityLimited Liability Company (LLC),Spouse,,,
11.1,"Investment in Residential PropertyDescription: Residential Property (Baton Rouge, LA) Filer comment:  Garden apartment rental",Real EstateResidential,Spouse,"$15,001 - $50,000","None,",None (or less than $201)
12,"Coolidge 5101 Sheridan LLCCompany: Coolidge 5101 Sheridan LLC (Chicago, IL) Description: Holding company",Business EntityLimited Liability Company (LLC),Spouse,,,
12.1,"Investment in Residential PropertiesDescription: Residential Properties (Chicago, IL) Filer comment:  Investment includes multiple units in the same building",Real EstateResidential,Spouse,"$50,001 - $100,000","None,",None (or less than $201)
13,"Coolidge Des Plaines LLCCompany: Coolidge Des Plaines LLC (Des Plaines, IL) Description: Holding company",Business EntityLimited Liability Company (LLC),Spouse,,,
13.1,"Investment in Residential PropertiesDescription: Residential Properties (Des Plaines, IL) Filer comment:  Investment includes multiple units in the same building",Real EstateResidential,Spouse,"$100,001 - $250,000","None,",None (or less than $201)
14,"Strand at Columbus Ave LLCCompany: Strand at Columbus Ave LLC (New York, NY) Description: Book Store",Business EntityLimited Liability Company (LLC),Spouse,"$500,001 - $1,000,000","Dividends, Rent/Royalties, Interest,","$100,001 - $1,000,000"
15,Fidelity Brokerage Account,Brokerage/Managed Account,Spouse,,,
15.1,SPAXX - Fidelity Hereford Street Trust - Fidelity Governme,Mutual FundsMutual Fund,Spouse,"$50,001 - $100,000","Excepted Investment Fund,","$1,001 - $2,500"
15.2,FDIVX - Fidelity Diversified International Fund,Mutual FundsMutual Fund,Spouse,"$100,001 - $250,000","Excepted Investment Fund,","$5,001 - $15,000"
15.3,QQQ - Invesco QQQ Trust,Mutual FundsExchange Traded Fund/Note,Spouse,"$500,001 - $1,000,000","Excepted Investment Fund,","$5,001 - $15,000"
15.4,IJK - iShares S&P Mid-Cap 400 Growth ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$50,001 - $100,000","Excepted Investment Fund,","$201 - $1,000"
15.5,STX - Seagate Technology plc,Corporate SecuritiesStock,Spouse,"$100,001 - $250,000","Dividends,","$5,001 - $15,000"
15.6,GOOG - Alphabet Inc.,Corporate SecuritiesStock,Spouse,"$500,001 - $1,000,000","Dividends,","$1,001 - $2,500"
15.7,"AMZN - Amazon.com, Inc.",Corporate SecuritiesStock,Spouse,"$500,001 - $1,000,000","None,",None (or less than $201)
15.8,AAPL - Apple Inc.,Corporate SecuritiesStock,Spouse,"Over $1,000,000 and held independently by spouse or dependent child","Dividends,","$2,501 - $5,000"
15.9,"BERY - Berry Global Group, Inc.",Corporate SecuritiesStock,Spouse,"$100,001 - $250,000","Dividends,","$1,001 - $2,500"
15.10,"CSCO - Cisco Systems, Inc.",Corporate SecuritiesStock,Spouse,"$15,001 - $50,000","Dividends,","$201 - $1,000"
15.11,COST - Costco Wholesale Corporation,Corporate SecuritiesStock,Spouse,"$100,001 - $250,000","Dividends,","$2,501 - $5,000"
15.12,"DHI - D.R. Horton, Inc.",Corporate SecuritiesStock,Spouse,"$250,001 - $500,000","Dividends,","$2,501 - $5,000"
15.13,DIS - The Walt Disney Company,Corporate SecuritiesStock,Spouse,"$100,001 - $250,000","None,",None (or less than $201)
15.14,"DPZ - Domino's Pizza, Inc.",Corporate SecuritiesStock,Spouse,"$50,001 - $100,000","Dividends,","$201 - $1,000"
15.15,F - Ford Motor Company,Corporate SecuritiesStock,Spouse,"$50,001 - $100,000","Dividends,","$5,001 - $15,000"
15.16,IRBT - iRobot Corporation,Corporate SecuritiesStock,Spouse,"$1,001 - $15,000","None,",None (or less than $201)
15.17,"LOW - Lowe's Companies, Inc.",Corporate SecuritiesStock,Spouse,"$15,001 - $50,000","Dividends,","$201 - $1,000"
15.18,MCD - McDonald's Corporation,Corporate SecuritiesStock,Spouse,"$15,001 - $50,000","Dividends,","$1,001 - $2,500"
15.19,MSFT - Microsoft Corporation,Corporate SecuritiesStock,Spouse,"$500,001 - $1,000,000","Dividends,","$5,001 - $15,000"
15.20,NVDA - NVIDIA Corporation,Corporate SecuritiesStock,Spouse,"Over $1,000,000 and held independently by spouse or dependent child","Dividends,","$1,001 - $2,500"
15.21,OSK - Oshkosh Corporation,Corporate SecuritiesStock,Spouse,"$100,001 - $250,000","Dividends,","$2,501 - $5,000"
15.22,QSR - Restaurant Brands International Inc.,Corporate SecuritiesStock,Spouse,"$50,001 - $100,000","Dividends,","$1,001 - $2,500"
15.23,SBUX - Starbucks Corporation,Corporate SecuritiesStock,Spouse,"$15,001 - $50,000","Dividends,","$1,001 - $2,500"
15.24,MMM - 3M Company,Corporate SecuritiesStock,Spouse,"$15,001 - $50,000","Dividends,","$1,001 - $2,500"
15.25,"UPS - United Parcel Service, Inc.Filer comment:  Sold for a loss in 2024",Corporate SecuritiesStock,Spouse,"None (or less than $1,001)","None,",None (or less than $201)
15.26,V - Visa Inc.,Corporate SecuritiesStock,Spouse,"$50,001 - $100,000","Dividends,","$201 - $1,000"
15.27,VMC - Vulcan Materials Company,Corporate SecuritiesStock,Spouse,"$250,001 - $500,000","Dividends,","$1,001 - $2,500"
15.28,PSA - Public Storage,Corporate SecuritiesStock,Spouse,"$100,001 - $250,000","Dividends,","$5,001 - $15,000"
15.29,BOAT - Sonicshares Global Shipping ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$15,001 - $50,000","Excepted Investment Fund,","$5,001 - $15,000"
15.30,FSNXX - Fidelity Money Market Premium CL,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000","Excepted Investment Fund,","$5,001 - $15,000"
15.31,VOO - Vanguard S&P 500 ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$50,001 - $100,000","Excepted Investment Fund,","$201 - $1,000"
15.32,VGT - Vanguard Information Tech ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$50,001 - $100,000","Excepted Investment Fund,","$201 - $1,000"
15.33,MAGN - Magnera Corporation Common Stock,Corporate SecuritiesStock,Spouse,"$1,001 - $15,000","None,",None (or less than $201)
15.34,SOLV - Solventum Corporation Common Stock,Corporate SecuritiesStock,Spouse,"$1,001 - $15,000","None,",None (or less than $201)
16,Fidelity IRA,Retirement PlansIRA,Spouse,,,
16.1,MDFGX - BlackRock Capital Appreciation Fund Investor A Sha,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
16.2,JEPI - JPMorgan Equity Premium Income ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
16.3,MDT - Medtronic plc,Corporate SecuritiesStock,Spouse,"$1,001 - $15,000","None,",None (or less than $201)
16.4,NVDA - NVIDIA Corporation,Corporate SecuritiesStock,Spouse,"$1,001 - $15,000","None,",None (or less than $201)
16.5,PFE - Pfizer Inc.,Corporate SecuritiesStock,Spouse,"$1,001 - $15,000","None,",None (or less than $201)
