asset_name,last_name,first_name,state,year,chamber
Morgan Stanley SEP IRA,Whitehouse,Sheldon,RI,2024,senate
JCAPX - Janus Forty I (NASDAQ),Whitehouse,Sheldon,RI,2024,senate
JBALX - Janus Balanced I (NASDAQ),Whitehouse,Sheldon,RI,2024,senate
XLF - Financial Select Sector SPDR ETF (NYSEArca),Whitehouse,Sheldon,RI,2024,senate
GOOGL - Alphabet Inc.,Whitehouse,Sheldon,RI,2024,senate
"TJX - The TJX Companies, Inc.",Whitehouse,Sheldon,RI,2024,senate
XLV - Health Care Select Sector SPDR ETF (NYSEArca),Whitehouse,Sheldon,RI,2024,senate
SAPYX - ClearBridge Appreciation I (NASDAQ),Whitehouse,Sheldon,RI,2024,senate
AMGN - Amgen Inc.,Whitehouse,Sheldon,RI,2024,senate
"NFLX - Netflix, Inc.",Whitehouse,Sheldon,RI,2024,senate
"MORGAN STANLEY(NEWPORT, RI)Type: Brokerage Sweep Account,",Whitehouse,Sheldon,RI,2024,senate
"AMZN-Amazon.com, Inc.",Whitehouse,Sheldon,RI,2024,senate
"GS-The Goldman Sachs Group, Inc.",Whitehouse,Sheldon,RI,2024,senate
JPM-JPMorgan Chase & Co.,Whitehouse,Sheldon,RI,2024,senate
J P MORGAN CHASE & CORate/Coupon: 6.12%  Matures: 02/12/2056Filer comment:  Call date is 4/30/2024,Whitehouse,Sheldon,RI,2024,senate
VETAX-Victory Sycamore Established Value A,Whitehouse,Sheldon,RI,2024,senate
IEMG - iShares Core MSCI Emerging Markets ETF,Whitehouse,Sheldon,RI,2024,senate
NVDA-NVIDIA Corporation,Whitehouse,Sheldon,RI,2024,senate
AMBFX-American Funds American Balanced F2,Whitehouse,Sheldon,RI,2024,senate
WMT - Walmart Inc.,Whitehouse,Sheldon,RI,2024,senate
"DAL - Delta Air Lines, Inc.",Whitehouse,Sheldon,RI,2024,senate
LRCX - Lam Research Corporation,Whitehouse,Sheldon,RI,2024,senate
IAU - iShares Gold Trust,Whitehouse,Sheldon,RI,2024,senate
IHI - iShares U.S. Medical Devices ETF,Whitehouse,Sheldon,RI,2024,senate
VCSH - Vanguard Short-Term Corporate Bond Index Fund ETF,Whitehouse,Sheldon,RI,2024,senate
AMEFX - American Funds The Income Fund of America Class F-,Whitehouse,Sheldon,RI,2024,senate
NFFFX - American Funds New World Fund Class F-2,Whitehouse,Sheldon,RI,2024,senate
LMGNX - ClearBridge International Growth Fund Class I,Whitehouse,Sheldon,RI,2024,senate
