last_name,first_name,party,state,chamber,congress_status,owner,filing_year,link,triggered_terms,matched_asset_names
Arenholz,Ashley,R,IA,house,past,True,2024,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2024/10066620.pdf,"btc, bitcoin, grayscale, gbtc, bito","Grayscale Bitcoin Mini Trust ETF (BTC) [OT], Grayscale Bitcoin Trust (GBTC) [EF], ProShares Bitcoin ETF (BITO) [EF], GRAYSCALE BITCOIN TR BTC [GBTC], PROSHARES BITCOIN STRATEGY [BITO]"
Begich,Nicholas J.,R,AK,house,current,True,2024,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2024/10067366.pdf,"cryptocurrency, crypto",Cryptocurrency [OT]
Boebert,Lauren,R,CO,house,current,True,2024,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2024/10070343.pdf,crypto,Crypto Money Movement COIN
Bresnahan,Robert P.,R,PA,house,current,True,2024,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2024/10066455.pdf,"bitcoin, ethereum","Bitcoin [CT], Ethereum [CT]"
Britt,Katie Boyd,R,AL,senate,current,True,2025,https://efdsearch.senate.gov/search/view/annual/d5afe8e9-b8b3-4265-9075-7935cbb7ba0b/,"block, inc","SQ - Block, Inc. Class A Common Stock,"
Cammack,Kat,R,FL,house,current,True,2024,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2024/10072021.pdf,"bitcoin, btc, fbtc, blockchain, blkc","Brokerage Account => Fidelity Wise Origin Bitcoin Fund Common Shares of, Beneficial Interest (FBTC) [EF], Invesco Alerian Galaxy Blockchain Users and Decentralized Commerce ETF (BLKC) [EF], Fidelity Wise Origin Bitcoin Fund Common Shares of Beneficial Interest (FBTC)"
Cisneros,Gilbert Ray,D,CA,house,current,True,2024,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2024/10066139.pdf,"coinbase, block inc, marathon digital, microstrategy, mstr","Coinbase Global, Inc. - Class A Common Stock (COIN) [ST], Put Block Inc. (XYZ), strike $57.50, exp. 5/17/24 [OP], Put Block Inc. (XYZ), strike $57.50, exp. 6/21/24 [OP], Put Block Inc. (XYZ), strike $60, exp. 2/16/24 [OP], Put Block Inc. (XYZ), strike $63, exp. 1/19/24 [OP], 150 Main Street Trust ⇒ Wells Fargo Advisors ⇒ Marathon Digital Holdings, Inc. - Common Stock (MARA) [ST], 150 Main Street Trust ⇒ Wells Fargo Advisors ⇒ MicroStrategy Incorporated - Class A (MSTR) [ST]"
Collins,Mike,R,GA,house,current,True,2024,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2024/10070507.pdf,"cryptocurrency, crypto, aerodrome, ski mask dog","Cryptocurrency Assets [CT], Aerodrome, ETH Cryptocurrency, Ski Mask Dog, ETH Cryptocurrency [CT]"
Conaway,Herbert C.,D,NJ,house,current,True,2024,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2024/10071959.pdf,bitcoin,Bitcoin [CT]
Cruz,Ted,R,TX,senate,current,True,2025,https://efdsearch.senate.gov/search/view/annual/8b455ae7-a24e-462a-95b8-78f7067c0d22/,bitcoin,"Bitcoin Exchange/Platform: River Financial Inc, Bitcoin MinersDescription: Three Bitcoin Miners (Iraan, Texas), Bitcoin MinersDescription: Bitmain S21"
Dunn,Neal P.,R,FL,house,current,True,2024,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2024/10066821.pdf,"microstrategy, mstr","IRA #1 ⇒ MicroStrategy Incorporated - Class A Common Stock (MSTR), MicroStrategy Incorporated - Class A Common Stock (MSTR)"
