last_name,first_name,state,filing_year
Kennedy,Timothy M.,NY,2024
Cramer,Kevin,ND,2025
Baldwin,Tammy,WI,2025
Barrasso,John,WY,2025
Bennet,Michael F.,CO,2025
Blunt Rochester,Lisa,DE,2025
Blunt Rochester,Lisa,DE,2025
Booker,Cory A.,NJ,2025
Cantwell,Maria,WA,2025
Capito,Shelley Moore,WV,2025
Cassidy,Bill,LA,2025
Collins,Susan M.,ME,2025
Cornyn,John,TX,2025
Crapo,Mike,ID,2025
Daines,Steve,MT,2025
Ernst,Joni,IA,2025
Fetterman,John,PA,2025
Fischer,Deb,NE,2025
Gallego,Ruben,AZ,2025
Gallego,Ruben,AZ,2025
Gillibrand,Kirsten E.,NY,2025
Graham,Lindsey,SC,2025
Grassley,Chuck,IA,2025
Hawley,Josh,MO,2025
Hickenlooper,John W.,CO,2025
Hoeven,John,ND,2025
Johnson,Ron,WI,2025
Kaine,Tim,VA,2025
King,Angus S.,ME,2025
Klobuchar,Amy,MN,2025
Lankford,James,OK,2025
Lujan,Ben Ray,NM,2025
Markey,Edward J.,MA,2025
Merkley,Jeff,OR,2025
Moran,Jerry,KS,2025
Murkowski,Lisa,AK,2025
Murray,Patty,WA,2025
Ossoff,Jon,GA,2025
Peters,Gary C.,MI,2025
Reed,Jack,RI,2025
Ricketts,Pete,NE,2025
Sanders,Bernard,VT,2025
Schumer,Charles E.,NY,2025
Scott,Tim,SC,2025
Smith,Tina,MN,2025
Thune,John,SD,2025
Van Hollen,Chris,MD,2025
Warnock,Raphael G.,GA,2025
Warren,Elizabeth,MA,2025
Welch,Peter,VT,2025
Young,Todd,IN,2025
Adams,Alma S.,NC,2024
Aderholt,Robert B.,AL,2024
Aguilar,Pete,CA,2024
Alford,Mark,MO,2024
Allen,Rick W.,GA,2024
Alsobrooks,Angela D.,MD,2025
Amo,Gabe,RI,2024
Amodei,Mark E.,NV,2024
Ansari,Yassamin,AZ,2024
Arrington,Jodey C.,TX,2024
Auchincloss,Jake,MA,2024
Babin,Brian,TX,2024
Bacon,Don,NE,2024
Baird,James R.,IN,2024
Balderson,Troy,OH,2024
Balint,Becca,VT,2024
Banks,Jim,IN,2025
Barr,Andy,KY,2024
Barragan,Nanette Diaz,CA,2024
Barrett,Tom,MI,2024
Baumgartner,Michael,WA,2024
Bean,Aaron,FL,2024
Beatty,Joyce,OH,2024
Begich,Nicholas J.,AK,2024
Bell,Wesley,MO,2024
Bentz,Cliff,OR,2024
Bera,Ami,CA,2024
Bergman,Jack,MI,2024
Beyer,Donald S.,VA,2024
Bice,Stephanie I.,OK,2024
Biggs,Andy,AZ,2024
Biggs,Sheri,SC,2024
Bilirakis,Gus M.,FL,2024
Bishop,Sanford D.,GA,2024
Blackburn,Marsha,TN,2025
Blumenthal,Richard,CT,2025
Boebert,Lauren,CO,2024
Bonamici,Suzanne,OR,2024
Boozman,John,AR,2025
Bost,Mike,IL,2024
Boyle,Brendan F.,PA,2024
Brecheen,Josh,OK,2024
Bresnahan,Robert P.,PA,2024
Britt,Katie Boyd,AL,2025
Brown,Shontel M.,OH,2024
Brownley,Julia,CA,2024
Buchanan,Vern,FL,2024
Budd,Ted,NC,2025
Budzinski,Nikki,IL,2024
Burchett,Tim,TN,2024
Burlison,Eric,MO,2024
Bynum,Janelle S.,OR,2024
