Name,Office,Filing Year,Filing,Report URL
"Allen, Hon.. Richard W.",GA12,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024277.pdf
"Allen, Hon.. Richard W.",GA12,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024458.pdf
"Allen, Hon.. Richard W.",GA12,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025031.pdf
"Allen, Hon.. Richard W.",GA12,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025287.pdf
"Allen, Hon.. Richard W.",GA12,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025411.pdf
"Allen, Hon.. Richard W.",GA12,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025601.pdf
"Allen, Hon.. Richard W.",GA12,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025875.pdf
"Allen, Hon.. Richard W.",GA12,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20026031.pdf
"Auchincloss, Hon.. Jake",MA04,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025708.pdf
"Banks, Hon.. James E Hon",IN03,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025626.pdf
"Barragan, Hon.. Nanette",CA44,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024750.pdf
"Barragan, Hon.. Nanette",CA44,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024923.pdf
"Bentz, Hon.. Cliff",OR02,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024492.pdf
"Beyer, Hon.. Donald Sternoff Jr.",VA08,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024769.pdf
"Beyer, Hon.. Donald Sternoff Jr.",VA08,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025133.pdf
"Beyer, Hon.. Donald Sternoff Jr.",VA08,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025776.pdf
"Beyer, Hon.. Donald Sternoff Jr.",VA08,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20026134.pdf
"Bice, Hon.. Stephanie",OK05,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025620.pdf
"Blumenauer, Hon.. Earl",OR03,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024254.pdf
